Date & Time: 2018-12-04 12:55:19.658228
Euler test case, time = 0.7000
dx = 0.00398406374501992
dt = 0.0001
nSteps = 10000
[Pressure]   [Density]    [Velocity]    [Internal Energy]
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  0.99999999  0.00000000  2.49999999 
 1.00000000  0.99999999  0.00000001  2.49999999 
 0.99999999  0.99999997  0.00000002  2.49999997 
 0.99999998  0.99999995  0.00000003  2.49999995 
 0.99999996  0.99999989  0.00000007  2.49999989 
 0.99999991  0.99999977  0.00000014  2.49999977 
 0.99999982  0.99999954  0.00000029  2.49999954 
 0.99999964  0.99999909  0.00000058  2.49999909 
 0.99999928  0.99999820  0.00000114  2.49999820 
 0.99999860  0.99999650  0.00000221  2.49999650 
 0.99999732  0.99999330  0.00000424  2.49999330 
 0.99999493  0.99998733  0.00000801  2.49998733 
 0.99999056  0.99997640  0.00001492  2.49997640 
 0.99998268  0.99995670  0.00002738  2.49995670 
 0.99996870  0.99992175  0.00004949  2.49992175 
 0.99994430  0.99986077  0.00008807  2.49986076 
 0.99990245  0.99975616  0.00015425  2.49975613 
 0.99983190  0.99957987  0.00026580  2.49957979 
 0.99971512  0.99928815  0.00045048  2.49928790 
 0.99952539  0.99881446  0.00075054  2.49881375 
 0.99922304  0.99806029  0.00122877  2.49805835 
 0.99875079  0.99688398  0.00197591  2.49687892 
 0.99802829  0.99508829  0.00311936  2.49507557 
 0.99694637  0.99240827  0.00483253  2.49237751 
 0.99536168  0.98850232  0.00734370  2.48843086 
 0.99309291  0.98295029  0.01094285  2.48279113 
 0.98991989  0.97526377  0.01598430  2.47492430 
 0.98558714  0.96491297  0.02288327  2.46422049 
 0.97981319  0.95137285  0.03210436  2.45002326 
 0.97230620  0.93418648  0.04414128  2.43167561 
 0.96278585  0.91303761  0.05948815  2.40858018 
 0.95100977  0.88781801  0.07860447  2.38026719 
 0.93680193  0.85867291  0.10187791  2.34646096 
