Date & Time: 2018-12-04 12:57:35.075133
Euler test case, time = 0.9000
dx = 0.00398406374501992
dt = 0.0001
nSteps = 10000
[Pressure]   [Density]    [Velocity]    [Internal Energy]
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  0.99999999  0.00000001  2.49999999 
 0.99999999  0.99999998  0.00000001  2.49999998 
 0.99999999  0.99999996  0.00000002  2.49999996 
 0.99999997  0.99999993  0.00000005  2.49999993 
 0.99999994  0.99999986  0.00000009  2.49999986 
 0.99999989  0.99999973  0.00000017  2.49999973 
 0.99999979  0.99999949  0.00000033  2.49999949 
 0.99999961  0.99999903  0.00000061  2.49999903 
 0.99999928  0.99999820  0.00000114  2.49999820 
 0.99999867  0.99999668  0.00000210  2.49999668 
 0.99999758  0.99999396  0.00000382  2.49999396 
 0.99999566  0.99998914  0.00000687  2.49998914 
 0.99999229  0.99998072  0.00001219  2.49998072 
 0.99998648  0.99996619  0.00002138  2.49996619 
 0.99997658  0.99994145  0.00003703  2.49994145 
 0.99995996  0.99989990  0.00006331  2.49989989 
 0.99993243  0.99983110  0.00010684  2.49983108 
 0.99988750  0.99971881  0.00017788  2.49971877 
 0.99981526  0.99953830  0.00029212  2.49953819 
 0.99970087  0.99925257  0.00047301  2.49925228 
 0.99952258  0.99880748  0.00075497  2.49880673 
 0.99924924  0.99812565  0.00118732  2.49812379 
 0.99883720  0.99709916  0.00183918  2.49709468 
 0.99822688  0.99558162  0.00280498  2.49557113 
 0.99733913  0.99338042  0.00421042  2.49335663 
 0.99607176  0.99025065  0.00621805  2.49019855 
 0.99429702  0.98589294  0.00903182  2.48578277 
 0.99186058  0.97995766  0.01289925  2.47973298 
 0.98858297  0.97205828  0.01811031  2.47161684 
 0.98426422  0.96179569  0.02499167  2.46096091 
 0.97869216  0.94879360  0.03389579  2.44727544 
 0.97165452  0.93274230  0.04518474  2.43008847 
 0.96295431  0.91344478  0.05920947  2.40898695 
 0.95242728  0.89085673  0.07628606  2.38366040 
 0.93995961  0.86511127  0.09667158  2.35394142 
 0.92550361  0.83652142  0.12054095  2.31983642 
 0.90908967  0.80555956  0.14797108  2.28154322 
 0.89083144  0.77281579  0.17892220  2.23944874 
 0.87092491  0.73894560  0.21324833  2.19411398 
 0.84962908  0.70459872  0.25068947  2.14621303 
 0.82722681  0.67033856  0.29096996  2.09644364 
 0.80400574  0.63662433  0.33377667  2.04547652 
