Date & Time: 2018-12-04 12:58:44.363650
Euler test case, time = 1.0000
dx = 0.00398406374501992
dt = 0.0001
nSteps = 10000
[Pressure]   [Density]    [Velocity]    [Internal Energy]
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  0.99999999  0.00000000  2.49999999 
 0.99999999  0.99999999  0.00000001  2.49999999 
 0.99999999  0.99999997  0.00000002  2.49999997 
 0.99999998  0.99999995  0.00000003  2.49999995 
 0.99999996  0.99999990  0.00000007  2.49999990 
 0.99999992  0.99999980  0.00000012  2.49999980 
 0.99999985  0.99999963  0.00000023  2.49999963 
 0.99999973  0.99999932  0.00000043  2.49999932 
 0.99999950  0.99999875  0.00000079  2.49999875 
 0.99999909  0.99999773  0.00000144  2.49999773 
 0.99999837  0.99999592  0.00000258  2.49999592 
 0.99999710  0.99999276  0.00000458  2.49999276 
 0.99999492  0.99998730  0.00000804  2.49998730 
 0.99999118  0.99997796  0.00001394  2.49997796 
 0.99998488  0.99996220  0.00002391  2.49996220 
 0.99997437  0.99993593  0.00004053  2.49993593 
 0.99995707  0.99989269  0.00006787  2.49989269 
 0.99992898  0.99982248  0.00011229  2.49982246 
 0.99988397  0.99970998  0.00018347  2.49970994 
 0.99981284  0.99953225  0.00029595  2.49953214 
 0.99970203  0.99925548  0.00047117  2.49925519 
 0.99953196  0.99883089  0.00074014  2.49883017 
 0.99927488  0.99818961  0.00114675  2.49818787 
 0.99889239  0.99723660  0.00175185  2.49723250 
 0.99833250  0.99584407  0.00263781  2.49583472 
 0.99752669  0.99384502  0.00391340  2.49382434 
 0.99638698  0.99102800  0.00571854  2.49098366 
 0.99480375  0.98713476  0.00822806  2.48704278 
 0.99264467  0.98186285  0.01165391  2.48167834 
 0.98975558  0.97487512  0.01624458  2.47451759 
 0.98596381  0.96581791  0.02228108  2.46514925 
 0.98108434  0.95434821  0.03006872  2.45314227 
 0.97492918  0.94016848  0.03992463  2.43807226 
 0.96731944  0.92306503  0.05216127  2.41955435 
 0.95809940  0.90294377  0.06706720  2.39727923 
 0.94715132  0.87985648  0.08488676  2.37104832 
 0.93440923  0.85401085  0.10580011  2.34080284 
 0.91987013  0.82576180  0.12990757  2.30664310 
 0.90360076  0.79558466  0.15721566  2.26883403 
 0.88573915  0.76403569  0.18763150  2.22779704 
 0.86648912  0.73170429  0.22096976  2.18408650 
 0.84609479  0.69914630  0.25696046  2.13831882 
 0.82480977  0.66682777  0.29535939  2.09111050 
 0.80290472  0.63515642  0.33580186  2.04307283 
 0.78081757  0.60468051  0.37766971  1.99516804 
 0.75916198  0.57605470  0.41985751  1.94867850 
 0.73857557  0.54984260  0.46114037  1.90490106 
