Date & Time: 2018-12-04 12:50:46.282392
Euler test case, time = 0.3000
dx = 0.00398406374501992
dt = 0.0001
nSteps = 10000
[Pressure]   [Density]    [Velocity]    [Internal Energy]
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 0.99029620  0.99029620  0.00823552  2.47577409 
 0.97733211  0.97733211  0.01934663  2.44351319 
 0.96451377  0.96451377  0.03045774  2.41173179 
 0.95183980  0.95183980  0.04156885  2.38042186 
 0.93930884  0.93930884  0.05267996  2.34957548 
 0.92691956  0.92691956  0.06379107  2.31918485 
 0.91467060  0.91467060  0.07490219  2.28924231 
 0.90256065  0.90256065  0.08601330  2.25974034 
 0.89058839  0.89058839  0.09712441  2.23067151 
 0.87875252  0.87875252  0.10823552  2.20202855 
 0.86705172  0.86705172  0.11934663  2.17380428 
 0.85548472  0.85548472  0.13045774  2.14599165 
 0.84405024  0.84405024  0.14156885  2.11858372 
 0.83274702  0.83274702  0.15267996  2.09157369 
 0.82157378  0.82157378  0.16379107  2.06495485 
 0.81052929  0.81052929  0.17490219  2.03872059 
 0.79961231  0.79961231  0.18601330  2.01286445 
 0.78882161  0.78882161  0.19712441  1.98738005 
 0.77815596  0.77815596  0.20823552  1.96226112 
 0.76761417  0.76761417  0.21934663  1.93750151 
 0.75719502  0.75719502  0.23045774  1.91309515 
 0.74689732  0.74689732  0.24156885  1.88903610 
 0.73671990  0.73671990  0.25267996  1.86531850 
 0.72666158  0.72666158  0.26379107  1.84193660 
 0.71672120  0.71672120  0.27490219  1.81888475 
 0.70689760  0.70689760  0.28601330  1.79615740 
 0.69718964  0.69718964  0.29712441  1.77374907 
 0.68759618  0.68759618  0.30823552  1.75165441 
 0.67811609  0.67811609  0.31934663  1.72986813 
 0.66874825  0.66874825  0.33045774  1.70838507 
 0.65949156  0.65949156  0.34156885  1.68720011 
 0.65034492  0.65034492  0.35267996  1.66630827 
 0.64130722  0.64130722  0.36379107  1.64570461 
 0.63237739  0.63237739  0.37490219  1.62538431 
 0.62355435  0.62355435  0.38601330  1.60534263 
 0.61483704  0.61483704  0.39712441  1.58557489 
 0.60622439  0.60622439  0.40823552  1.56607652 
 0.59771537  0.59771537  0.41934663  1.54684302 
 0.58930892  0.58930892  0.43045774  1.52786997 
 0.58100402  0.58100402  0.44156885  1.50915301 
 0.57279963  0.57279963  0.45267996  1.49068789 
 0.56469476  0.56469476  0.46379107  1.47247042 
 0.55668838  0.55668838  0.47490219  1.45449649 
 0.54877949  0.54877949  0.48601330  1.43676204 
 0.54096712  0.54096712  0.49712441  1.41926312 
 0.53325026  0.53325026  0.50823552  1.40199582 
 0.52562796  0.52562796  0.51934663  1.38495632 
 0.51809923  0.51809923  0.53045774  1.36814086 
 0.51066312  0.51066312  0.54156885  1.35154575 
 0.50331869  0.50331869  0.55267996  1.33516736 
 0.49606498  0.49606498  0.56379107  1.31900214 
 0.48890106  0.48890106  0.57490219  1.30304660 
 0.48182600  0.48182600  0.58601330  1.28729731 
 0.47483888  0.47483888  0.59712441  1.27175089 
 0.46793879  0.46793879  0.60823552  1.25640406 
 0.46112482  0.46112482  0.61934663  1.24125355 
 0.45439608  0.45439608  0.63045774  1.22629619 
 0.44775168  0.44775168  0.64156885  1.21152886 
 0.44119072  0.44119072  0.65267996  1.19694848 
 0.43471235  0.43471235  0.66379107  1.18255204 
 0.42831568  0.42831568  0.67490219  1.16833660 
 0.42199987  0.42199987  0.68601330  1.15429924 
 0.41576404  0.41576404  0.69712441  1.14043712 
 0.40960737  0.40960737  0.70823552  1.12674746 
 0.40352901  0.40352901  0.71934663  1.11322750 
