Date & Time: 2018-12-04 12:51:52.672429
Euler test case, time = 0.4000
dx = 0.00398406374501992
dt = 0.0001
nSteps = 10000
[Pressure]   [Density]    [Velocity]    [Internal Energy]
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 1.00000000  1.00000000  0.00000000  2.50000000 
 0.99683333  0.99683333  0.00267996  2.49208690 
 0.98704144  0.98704144  0.01101330  2.46766346 
 0.97733211  0.97733211  0.01934663  2.44351319 
 0.96770477  0.96770477  0.02767996  2.41963263 
 0.95815882  0.95815882  0.03601330  2.39601839 
 0.94869370  0.94869370  0.04434663  2.37266712 
 0.93930884  0.93930884  0.05267996  2.34957548 
 0.93000367  0.93000367  0.06101330  2.32674020 
 0.92077762  0.92077762  0.06934663  2.30415804 
 0.91163013  0.91163013  0.07767996  2.28182581 
 0.90256065  0.90256065  0.08601330  2.25974034 
 0.89356862  0.89356862  0.09434663  2.23789851 
 0.88465349  0.88465349  0.10267996  2.21629725 
 0.87581470  0.87581470  0.11101330  2.19493351 
 0.86705172  0.86705172  0.11934663  2.17380428 
 0.85836400  0.85836400  0.12767996  2.15290659 
 0.84975100  0.84975100  0.13601330  2.13223753 
 0.84121218  0.84121218  0.14434663  2.11179418 
 0.83274702  0.83274702  0.15267996  2.09157369 
 0.82435497  0.82435497  0.16101330  2.07157325 
 0.81603552  0.81603552  0.16934663  2.05179005 
 0.80778814  0.80778814  0.17767996  2.03222136 
 0.79961231  0.79961231  0.18601330  2.01286445 
 0.79150751  0.79150751  0.19434663  1.99371664 
 0.78347323  0.78347323  0.20267996  1.97477529 
 0.77550895  0.77550895  0.21101330  1.95603777 
 0.76761417  0.76761417  0.21934663  1.93750151 
 0.75978837  0.75978837  0.22767996  1.91916395 
 0.75203106  0.75203106  0.23601330  1.90102258 
 0.74434174  0.74434174  0.24434663  1.88307491 
 0.73671990  0.73671990  0.25267996  1.86531850 
 0.72916506  0.72916506  0.26101330  1.84775091 
 0.72167672  0.72167672  0.26934663  1.83036977 
 0.71425440  0.71425440  0.27767996  1.81317271 
 0.70689760  0.70689760  0.28601330  1.79615740 
 0.69960585  0.69960585  0.29434663  1.77932154 
 0.69237867  0.69237867  0.30267996  1.76266286 
 0.68521557  0.68521557  0.31101330  1.74617913 
 0.67811609  0.67811609  0.31934663  1.72986813 
 0.67107975  0.67107975  0.32767996  1.71372769 
 0.66410609  0.66410609  0.33601330  1.69775564 
 0.65719463  0.65719463  0.34434663  1.68194987 
 0.65034492  0.65034492  0.35267996  1.66630827 
 0.64355649  0.64355649  0.36101330  1.65082877 
 0.63682889  0.63682889  0.36934663  1.63550934 
 0.63016166  0.63016166  0.37767996  1.62034796 
 0.62355435  0.62355435  0.38601330  1.60534263 
 0.61700651  0.61700651  0.39434663  1.59049140 
 0.61051770  0.61051770  0.40267996  1.57579232 
 0.60408746  0.60408746  0.41101330  1.56124349 
 0.59771537  0.59771537  0.41934663  1.54684302 
 0.59140097  0.59140097  0.42767996  1.53258905 
 0.58514384  0.58514384  0.43601330  1.51847974 
 0.57894354  0.57894354  0.44434663  1.50451329 
 0.57279963  0.57279963  0.45267996  1.49068789 
 0.56671170  0.56671170  0.46101330  1.47700180 
 0.56067932  0.56067932  0.46934663  1.46345327 
 0.55470205  0.55470205  0.47767996  1.45004058 
 0.54877949  0.54877949  0.48601330  1.43676204 
 0.54291122  0.54291122  0.49434663  1.42361598 
 0.53709681  0.53709681  0.50267996  1.41060076 
 0.53133586  0.53133586  0.51101330  1.39771474 
 0.52562796  0.52562796  0.51934663  1.38495632 
 0.51997269  0.51997269  0.52767996  1.37232392 
 0.51436966  0.51436966  0.53601330  1.35981599 
 0.50881846  0.50881846  0.54434663  1.34743097 
 0.50331869  0.50331869  0.55267996  1.33516736 
 0.49786995  0.49786995  0.56101330  1.32302366 
 0.49247185  0.49247185  0.56934663  1.31099838 
 0.48712400  0.48712400  0.57767996  1.29909008 
 0.48182600  0.48182600  0.58601330  1.28729731 
 0.47657746  0.47657746  0.59434663  1.27561866 
 0.47137801  0.47137801  0.60267996  1.26405273 
 0.46622726  0.46622726  0.61101330  1.25259815 
 0.46112482  0.46112482  0.61934663  1.24125355 
 0.45607033  0.45607033  0.62767996  1.23001760 
 0.45106339  0.45106339  0.63601330  1.21888897 
 0.44610365  0.44610365  0.64434663  1.20786636 
 0.44119072  0.44119072  0.65267996  1.19694848 
 0.43632425  0.43632425  0.66101330  1.18613407 
 0.43150386  0.43150386  0.66934663  1.17542188 
 0.42672918  0.42672918  0.67767996  1.16481067 
 0.42199987  0.42199987  0.68601330  1.15429924 
 0.41731555  0.41731555  0.69434663  1.14388638 
 0.41267587  0.41267587  0.70267996  1.13357091 
 0.40808047  0.40808047  0.71101330  1.12335166 
 0.40352901  0.40352901  0.71934663  1.11322750 
 0.39902113  0.39902113  0.72767996  1.10319728 
 0.39455648  0.39455648  0.73601330  1.09325990 
 0.39013472  0.39013472  0.74434663  1.08341425 
 0.38575550  0.38575550  0.75267996  1.07365924 
 0.38141849  0.38141849  0.76101330  1.06399381 
 0.37712333  0.37712333  0.76934663  1.05441690 
 0.37286971  0.37286971  0.77767996  1.04492748 
 0.36865727  0.36865727  0.78601330  1.03552452 
