Date & Time: 2018-12-04 12:53:00.682209
Euler test case, time = 0.5000
dx = 0.00398406374501992
dt = 0.0001
nSteps = 10000
[Pressure]   [Density]    [Velocity]    [Internal Energy]
 0.83274702  0.83274702  0.15267996  2.09157369 
 0.82602756  0.82602756  0.15934663  2.07555587 
 0.81935462  0.81935462  0.16601330  2.05967744 
 0.81272795  0.81272795  0.17267996  2.04393699 
 0.80614727  0.80614727  0.17934663  2.02833312 
 0.79961231  0.79961231  0.18601330  2.01286445 
 0.79312281  0.79312281  0.19267996  1.99752961 
 0.78667851  0.78667851  0.19934663  1.98232722 
 0.78027915  0.78027915  0.20601330  1.96725597 
 0.77392445  0.77392445  0.21267996  1.95231450 
 0.76761417  0.76761417  0.21934663  1.93750151 
 0.76134804  0.76134804  0.22601330  1.92281568 
 0.75512580  0.75512580  0.23267996  1.90825574 
 0.74894720  0.74894720  0.23934663  1.89382040 
 0.74281199  0.74281199  0.24601330  1.87950841 
 0.73671990  0.73671990  0.25267996  1.86531850 
 0.73067069  0.73067069  0.25934663  1.85124944 
 0.72466411  0.72466411  0.26601330  1.83730001 
 0.71869990  0.71869990  0.27267996  1.82346899 
 0.71277781  0.71277781  0.27934663  1.80975518 
 0.70689760  0.70689760  0.28601330  1.79615740 
 0.70105902  0.70105902  0.29267996  1.78267446 
 0.69526182  0.69526182  0.29934663  1.76930521 
 0.68950577  0.68950577  0.30601330  1.75604850 
 0.68379060  0.68379060  0.31267996  1.74290318 
 0.67811609  0.67811609  0.31934663  1.72986813 
 0.67248199  0.67248199  0.32601330  1.71694224 
 0.66688806  0.66688806  0.33267996  1.70412439 
 0.66133406  0.66133406  0.33934663  1.69141350 
 0.65581976  0.65581976  0.34601330  1.67880848 
 0.65034492  0.65034492  0.35267996  1.66630827 
 0.64490929  0.64490929  0.35934663  1.65391180 
 0.63951266  0.63951266  0.36601330  1.64161804 
 0.63415478  0.63415478  0.37267996  1.62942593 
 0.62883542  0.62883542  0.37934663  1.61733447 
 0.62355435  0.62355435  0.38601330  1.60534263 
 0.61831134  0.61831134  0.39267996  1.59344941 
 0.61310617  0.61310617  0.39934663  1.58165382 
 0.60793860  0.60793860  0.40601330  1.56995487 
 0.60280841  0.60280841  0.41267996  1.55835159 
 0.59771537  0.59771537  0.41934663  1.54684302 
 0.59265926  0.59265926  0.42601330  1.53542821 
 0.58763985  0.58763985  0.43267996  1.52410622 
 0.58265692  0.58265692  0.43934663  1.51287612 
 0.57771026  0.57771026  0.44601330  1.50173698 
 0.57279963  0.57279963  0.45267996  1.49068789 
 0.56792483  0.56792483  0.45934663  1.47972796 
 0.56308563  0.56308563  0.46601330  1.46885628 
 0.55828182  0.55828182  0.47267996  1.45807199 
 0.55351318  0.55351318  0.47934663  1.44737419 
 0.54877949  0.54877949  0.48601330  1.43676204 
 0.54408055  0.54408055  0.49267996  1.42623468 
 0.53941614  0.53941614  0.49934663  1.41579125 
 0.53478604  0.53478604  0.50601330  1.40543093 
 0.53019005  0.53019005  0.51267996  1.39515290 
 0.52562796  0.52562796  0.51934663  1.38495632 
 0.52109955  0.52109955  0.52601330  1.37484040 
 0.51660463  0.51660463  0.53267996  1.36480433 
 0.51214298  0.51214298  0.53934663  1.35484732 
 0.50771440  0.50771440  0.54601330  1.34496859 
 0.50331869  0.50331869  0.55267996  1.33516736 
 0.49895563  0.49895563  0.55934663  1.32544288 
 0.49462504  0.49462504  0.56601330  1.31579437 
 0.49032670  0.49032670  0.57267996  1.30622110 
 0.48606042  0.48606042  0.57934663  1.29672233 
 0.48182600  0.48182600  0.58601330  1.28729731 
 0.47762323  0.47762323  0.59267996  1.27794533 
 0.47345193  0.47345193  0.59934663  1.26866567 
 0.46931189  0.46931189  0.60601330  1.25945762 
 0.46520292  0.46520292  0.61267996  1.25032047 
 0.46112482  0.46112482  0.61934663  1.24125355 
 0.45707741  0.45707741  0.62601330  1.23225616 
 0.45306048  0.45306048  0.63267996  1.22332762 
 0.44907385  0.44907385  0.63934663  1.21446727 
 0.44511733  0.44511733  0.64601330  1.20567444 
 0.44119072  0.44119072  0.65267996  1.19694848 
 0.43729385  0.43729385  0.65934663  1.18828874 
 0.43342651  0.43342651  0.66601330  1.17969457 
 0.42958852  0.42958852  0.67267996  1.17116535 
 0.42577970  0.42577970  0.67934663  1.16270044 
 0.42199987  0.42199987  0.68601330  1.15429924 
 0.41824883  0.41824883  0.69267996  1.14596112 
 0.41452640  0.41452640  0.69934663  1.13768548 
 0.41083242  0.41083242  0.70601330  1.12947173 
 0.40716668  0.40716668  0.71267996  1.12131926 
 0.40352901  0.40352901  0.71934663  1.11322750 
 0.39991924  0.39991924  0.72601330  1.10519587 
 0.39633717  0.39633717  0.73267996  1.09722378 
 0.39278265  0.39278265  0.73934663  1.08931069 
 0.38925549  0.38925549  0.74601330  1.08145603 
 0.38575550  0.38575550  0.75267996  1.07365924 
 0.38228253  0.38228253  0.75934663  1.06591978 
 0.37883639  0.37883639  0.76601330  1.05823711 
 0.37541692  0.37541692  0.77267996  1.05061069 
 0.37202393  0.37202393  0.77934663  1.04304000 
 0.36865727  0.36865727  0.78601330  1.03552452 
 0.36531675  0.36531675  0.79267996  1.02806372 
 0.36200221  0.36200221  0.79934663  1.02065709 
 0.35871348  0.35871348  0.80601330  1.01330415 
 0.35545040  0.35545040  0.81267996  1.00600437 
 0.35221279  0.35221279  0.81934663  0.99875727 
 0.34900048  0.34900048  0.82601330  0.99156237 
 0.34581333  0.34581333  0.83267996  0.98441918 
 0.34265115  0.34265115  0.83934663  0.97732723 
 0.33951380  0.33951380  0.84601330  0.97028604 
 0.33640109  0.33640109  0.85267996  0.96329514 
 0.33331288  0.33331288  0.85934663  0.95635409 
 0.33024900  0.33024900  0.86601330  0.94946242 
 0.32720930  0.32720930  0.87267996  0.94261969 
 0.32419360  0.32419360  0.87934663  0.93582544 
 0.32120176  0.32120176  0.88601330  0.92907925 
 0.31823362  0.31823362  0.89267996  0.92238067 
 0.31528902  0.31528902  0.89934663  0.91572928 
 0.31236781  0.31236781  0.90601330  0.90912465 
 0.30946982  0.30946982  0.91267996  0.90256637 
 0.30659491  0.30659491  0.91934663  0.89605402 
 0.30374292  0.30374292  0.92601330  0.88958718 
 0.30091371  0.30091371  0.93267996  0.88316547 
 0.29810711  0.29810711  0.93934663  0.87678846 
 0.29532297  0.29532297  0.94601330  0.87045578 
 0.29256116  0.29256116  0.95267996  0.86416702 
 0.28982151  0.28982151  0.95934663  0.85792181 
 0.28710389  0.28710389  0.96601330  0.85171976 
 0.28440813  0.28440813  0.97267996  0.84556049 
 0.28173410  0.28173410  0.97934663  0.83944363 
 0.27908165  0.27908165  0.98601330  0.83336881 
 0.27645063  0.27645063  0.99267996  0.82733566 
 0.27384090  0.27384090  0.99934663  0.82134384 
 0.27125232  0.27125232  1.00601330  0.81539297 
 0.26868473  0.26868473  1.01267996  0.80948271 
 0.26613801  0.26613801  1.01934663  0.80361272 
 0.26361201  0.26361201  1.02601330  0.79778264 
 0.26110658  0.26110658  1.03267996  0.79199214 
 0.25862160  0.25862160  1.03934663  0.78624088 
 0.25615691  0.25615691  1.04601330  0.78052853 
 0.25371238  0.25371238  1.05267996  0.77485476 
 0.25128788  0.25128788  1.05934663  0.76921925 
 0.24888326  0.24888326  1.06601330  0.76362168 
 0.24649839  0.24649839  1.07267996  0.75806172 
 0.24413314  0.24413314  1.07934663  0.75253908 
 0.24178737  0.24178737  1.08601330  0.74705344 
 0.23946094  0.23946094  1.09267996  0.74160449 
 0.23715373  0.23715373  1.09934663  0.73619193 
 0.23486559  0.23486559  1.10601330  0.73081546 
 0.23259641  0.23259641  1.11267996  0.72547480 
 0.23034604  0.23034604  1.11934663  0.72016963 
 0.22811437  0.22811437  1.12601330  0.71489969 
 0.22590124  0.22590124  1.13267996  0.70966468 
 0.22370655  0.22370655  1.13934663  0.70446433 
 0.22153017  0.22153017  1.14601330  0.69929834 
 0.21937195  0.21937195  1.15267996  0.69416646 
 0.21723178  0.21723178  1.15934663  0.68906840 
 0.21510954  0.21510954  1.16601330  0.68400391 
 0.21300509  0.21300509  1.17267996  0.67897270 
 0.21091831  0.21091831  1.17934663  0.67397453 
 0.20884908  0.20884908  1.18601330  0.66900913 
 0.20679727  0.20679727  1.19267996  0.66407624 
 0.20476277  0.20476277  1.19934663  0.65917562 
 0.20274545  0.20274545  1.20601330  0.65430700 
 0.20074518  0.20074518  1.21267996  0.64947016 
 0.19876186  0.19876186  1.21934663  0.64466483 
 0.19679535  0.19679535  1.22601330  0.63989078 
 0.19484555  0.19484555  1.23267996  0.63514777 
 0.19291233  0.19291233  1.23934663  0.63043556 
 0.19099557  0.19099557  1.24601330  0.62575392 
 0.18909516  0.18909516  1.25267996  0.62110262 
 0.18721098  0.18721098  1.25934663  0.61648143 
 0.18534291  0.18534291  1.26601330  0.61189013 
 0.18349085  0.18349085  1.27267996  0.60732849 
 0.18165467  0.18165467  1.27934663  0.60279629 
 0.12144546  0.22181281  1.53852743  0.56613651 
 0.12144546  0.22181281  1.53852743  0.56613651 
 0.12144546  0.22181281  1.53852743  0.56613651 
 0.12144546  0.22181281  1.53852743  0.56613651 
 0.12144546  0.22181281  1.53852743  0.56613651 
 0.12144546  0.22181281  1.53852743  0.56613651 
 0.12144546  0.22181281  1.53852743  0.56613651 
 0.12144546  0.22181281  1.53852743  0.56613651 
 0.12144546  0.22181281  1.53852743  0.56613651 
 0.12144546  0.22181281  1.53852743  0.56613651 
 0.12144546  0.22181281  1.53852743  0.56613651 
 0.12144546  0.22181281  1.53852743  0.56613651 
 0.12144546  0.22181281  1.53852743  0.56613651 
 0.12144546  0.22181281  1.53852743  0.56613651 
 0.12144546  0.22181281  1.53852743  0.56613651 
 0.12144546  0.22181281  1.53852743  0.56613651 
 0.12144546  0.22181281  1.53852743  0.56613651 
 0.12144546  0.22181281  1.53852743  0.56613651 
 0.12144546  0.22181281  1.53852743  0.56613651 
 0.12144546  0.22181281  1.53852743  0.56613651 
 0.12144546  0.22181281  1.53852743  0.56613651 
 0.12144546  0.22181281  1.53852743  0.56613651 
 0.12144546  0.22181281  1.53852743  0.56613651 
 0.12144546  0.22181281  1.53852743  0.56613651 
 0.12144546  0.22181281  1.53852743  0.56613651 
 0.12144546  0.22181281  1.53852743  0.56613651 
 0.12144546  0.22181281  1.53852743  0.56613651 
 0.12144546  0.22181281  1.53852743  0.56613651 
 0.12144546  0.22181281  1.53852743  0.56613651 
 0.12144546  0.22181281  1.53852743  0.56613651 
 0.12144546  0.22181281  1.53852743  0.56613651 
 0.12144546  0.22181281  1.53852743  0.56613651 
 0.12144546  0.22181281  1.53852743  0.56613651 
 0.12144546  0.22181281  1.53852743  0.56613651 
 0.12144546  0.22181281  1.53852743  0.56613651 
 0.12144546  0.22181281  1.53852743  0.56613651 
 0.12144546  0.22181281  1.53852743  0.56613651 
 0.12144546  0.22181281  1.53852743  0.56613651 
 0.12144546  0.22181281  1.53852743  0.56613651 
 0.12144546  0.22181281  1.53852743  0.56613651 
 0.12144546  0.22181281  1.53852743  0.56613651 
 0.12144546  0.22181281  1.53852743  0.56613651 
 0.12144546  0.22181281  1.53852743  0.56613651 
 0.12144546  0.22181281  1.53852743  0.56613651 
 0.12144546  0.22181281  1.53852743  0.56613651 
 0.12144546  0.22181281  1.53852743  0.56613651 
 0.12144546  0.22181281  1.53852743  0.56613651 
 0.12144546  0.22181281  1.53852743  0.56613651 
