Date & Time: 2018-12-04 12:54:10.047857
Euler test case, time = 0.6000
dx = 0.00398406374501992
dt = 0.0001
nSteps = 10000
[Pressure]   [Density]    [Velocity]    [Internal Energy]
 0.70202924  0.70202924  0.29156885  1.78491369 
 0.69718964  0.69718964  0.29712441  1.77374907 
 0.69237867  0.69237867  0.30267996  1.76266286 
 0.68759618  0.68759618  0.30823552  1.75165441 
 0.68284203  0.68284203  0.31379107  1.74072305 
 0.67811609  0.67811609  0.31934663  1.72986813 
 0.67341821  0.67341821  0.32490219  1.71908902 
 0.66874825  0.66874825  0.33045774  1.70838507 
 0.66410609  0.66410609  0.33601330  1.69775564 
 0.65949156  0.65949156  0.34156885  1.68720011 
 0.65490455  0.65490455  0.34712441  1.67671786 
 0.65034492  0.65034492  0.35267996  1.66630827 
 0.64581252  0.64581252  0.35823552  1.65597072 
 0.64130722  0.64130722  0.36379107  1.64570461 
 0.63682889  0.63682889  0.36934663  1.63550934 
 0.63237739  0.63237739  0.37490219  1.62538431 
 0.62795259  0.62795259  0.38045774  1.61532894 
 0.62355435  0.62355435  0.38601330  1.60534263 
 0.61918255  0.61918255  0.39156885  1.59542481 
 0.61483704  0.61483704  0.39712441  1.58557489 
 0.61051770  0.61051770  0.40267996  1.57579232 
 0.60622439  0.60622439  0.40823552  1.56607652 
 0.60195699  0.60195699  0.41379107  1.55642694 
 0.59771537  0.59771537  0.41934663  1.54684302 
 0.59349939  0.59349939  0.42490219  1.53732421 
 0.58930892  0.58930892  0.43045774  1.52786997 
 0.58514384  0.58514384  0.43601330  1.51847974 
 0.58100402  0.58100402  0.44156885  1.50915301 
 0.57688932  0.57688932  0.44712441  1.49988924 
 0.57279963  0.57279963  0.45267996  1.49068789 
 0.56873482  0.56873482  0.45823552  1.48154846 
 0.56469476  0.56469476  0.46379107  1.47247042 
 0.56067932  0.56067932  0.46934663  1.46345327 
 0.55668838  0.55668838  0.47490219  1.45449649 
 0.55272181  0.55272181  0.48045774  1.44559958 
 0.54877949  0.54877949  0.48601330  1.43676204 
 0.54486130  0.54486130  0.49156885  1.42798338 
 0.54096712  0.54096712  0.49712441  1.41926312 
 0.53709681  0.53709681  0.50267996  1.41060076 
 0.53325026  0.53325026  0.50823552  1.40199582 
 0.52942735  0.52942735  0.51379107  1.39344783 
 0.52562796  0.52562796  0.51934663  1.38495632 
 0.52185196  0.52185196  0.52490219  1.37652082 
 0.51809923  0.51809923  0.53045774  1.36814086 
 0.51436966  0.51436966  0.53601330  1.35981599 
 0.51066312  0.51066312  0.54156885  1.35154575 
 0.50697951  0.50697951  0.54712441  1.34332969 
 0.50331869  0.50331869  0.55267996  1.33516736 
 0.49968055  0.49968055  0.55823552  1.32705833 
 0.49606498  0.49606498  0.56379107  1.31900214 
 0.49247185  0.49247185  0.56934663  1.31099838 
 0.48890106  0.48890106  0.57490219  1.30304660 
 0.48535248  0.48535248  0.58045774  1.29514639 
 0.48182600  0.48182600  0.58601330  1.28729731 
 0.47832150  0.47832150  0.59156885  1.27949895 
 0.47483888  0.47483888  0.59712441  1.27175089 
 0.47137801  0.47137801  0.60267996  1.26405273 
 0.46793879  0.46793879  0.60823552  1.25640406 
 0.46452110  0.46452110  0.61379107  1.24880446 
 0.46112482  0.46112482  0.61934663  1.24125355 
 0.45774986  0.45774986  0.62490219  1.23375093 
 0.45439608  0.45439608  0.63045774  1.22629619 
 0.45106339  0.45106339  0.63601330  1.21888897 
 0.44775168  0.44775168  0.64156885  1.21152886 
 0.44446082  0.44446082  0.64712441  1.20421549 
 0.44119072  0.44119072  0.65267996  1.19694848 
 0.43794127  0.43794127  0.65823552  1.18972746 
 0.43471235  0.43471235  0.66379107  1.18255204 
 0.43150386  0.43150386  0.66934663  1.17542188 
