Date & Time: 2018-12-04 12:55:19.661793
Euler test case, time = 0.7000
dx = 0.00398406374501992
dt = 0.0001
nSteps = 10000
[Pressure]   [Density]    [Velocity]    [Internal Energy]
 0.61980548  0.61980548  0.39077520  1.59683747 
 0.61607594  0.61607594  0.39553711  1.58838226 
 0.61236565  0.61236565  0.40029901  1.57997664 
 0.60867453  0.60867453  0.40506092  1.57162026 
 0.60500250  0.60500250  0.40982282  1.56331277 
 0.60134947  0.60134947  0.41458473  1.55505380 
 0.59771537  0.59771537  0.41934663  1.54684302 
 0.59410010  0.59410010  0.42410854  1.53868008 
 0.59050360  0.59050360  0.42887044  1.53056462 
 0.58692577  0.58692577  0.43363234  1.52249632 
 0.58336654  0.58336654  0.43839425  1.51447483 
 0.57982583  0.57982583  0.44315615  1.50649982 
 0.57630356  0.57630356  0.44791806  1.49857095 
 0.57279963  0.57279963  0.45267996  1.49068789 
 0.56931399  0.56931399  0.45744187  1.48285032 
 0.56584654  0.56584654  0.46220377  1.47505791 
 0.56239721  0.56239721  0.46696568  1.46731034 
 0.55896592  0.55896592  0.47172758  1.45960728 
 0.55555259  0.55555259  0.47648949  1.45194843 
 0.55215714  0.55215714  0.48125139  1.44433345 
 0.54877949  0.54877949  0.48601330  1.43676204 
 0.54541957  0.54541957  0.49077520  1.42923389 
 0.54207730  0.54207730  0.49553711  1.42174869 
 0.53875260  0.53875260  0.50029901  1.41430614 
 0.53544539  0.53544539  0.50506092  1.40690592 
 0.53215560  0.53215560  0.50982282  1.39954775 
 0.52888314  0.52888314  0.51458473  1.39223131 
 0.52562796  0.52562796  0.51934663  1.38495632 
 0.52238996  0.52238996  0.52410854  1.37772248 
 0.51916907  0.51916907  0.52887044  1.37052949 
 0.51596522  0.51596522  0.53363234  1.36337707 
 0.51277833  0.51277833  0.53839425  1.35626494 
 0.50960833  0.50960833  0.54315615  1.34919279 
 0.50645514  0.50645514  0.54791806  1.34216036 
 0.50331869  0.50331869  0.55267996  1.33516736 
 0.50019890  0.50019890  0.55744187  1.32821351 
 0.49709570  0.49709570  0.56220377  1.32129854 
 0.49400902  0.49400902  0.56696568  1.31442217 
 0.49093878  0.49093878  0.57172758  1.30758413 
 0.48788491  0.48788491  0.57648949  1.30078416 
 0.48484734  0.48484734  0.58125139  1.29402197 
 0.48182600  0.48182600  0.58601330  1.28729731 
 0.47882080  0.47882080  0.59077520  1.28060991 
 0.47583169  0.47583169  0.59553711  1.27395952 
 0.47285858  0.47285858  0.60029901  1.26734586 
 0.46990142  0.46990142  0.60506092  1.26076869 
 0.46696011  0.46696011  0.60982282  1.25422775 
 0.46403461  0.46403461  0.61458473  1.24772279 
 0.46112482  0.46112482  0.61934663  1.24125355 
 0.45823069  0.45823069  0.62410854  1.23481979 
 0.45535215  0.45535215  0.62887044  1.22842125 
 0.45248911  0.45248911  0.63363234  1.22205770 
 0.44964152  0.44964152  0.63839425  1.21572889 
 0.44680931  0.44680931  0.64315615  1.20943457 
 0.44399240  0.44399240  0.64791806  1.20317452 
 0.44119072  0.44119072  0.65267996  1.19694848 
 0.43840422  0.43840422  0.65744187  1.19075623 
 0.43563281  0.43563281  0.66220377  1.18459753 
 0.43287643  0.43287643  0.66696568  1.17847215 
 0.43013501  0.43013501  0.67172758  1.17237986 
 0.42740849  0.42740849  0.67648949  1.16632042 
 0.42469680  0.42469680  0.68125139  1.16029363 
