Date & Time: 2018-12-04 12:56:27.566263
Euler test case, time = 0.8000
dx = 0.00398406374501992
dt = 0.0001
nSteps = 10000
[Pressure]   [Density]    [Velocity]    [Internal Energy]
 0.56368859  0.56368859  0.46517996  1.47021045 
 0.56067932  0.56067932  0.46934663  1.46345327 
 0.55768382  0.55768382  0.47351330  1.45673005 
 0.55470205  0.55470205  0.47767996  1.45004058 
 0.55173396  0.55173396  0.48184663  1.44338465 
 0.54877949  0.54877949  0.48601330  1.43676204 
 0.54583860  0.54583860  0.49017996  1.43017256 
 0.54291122  0.54291122  0.49434663  1.42361598 
 0.53999731  0.53999731  0.49851330  1.41709212 
 0.53709681  0.53709681  0.50267996  1.41060076 
 0.53420968  0.53420968  0.50684663  1.40414170 
 0.53133586  0.53133586  0.51101330  1.39771474 
 0.52847530  0.52847530  0.51517996  1.39131968 
 0.52562796  0.52562796  0.51934663  1.38495632 
 0.52279377  0.52279377  0.52351330  1.37862447 
 0.51997269  0.51997269  0.52767996  1.37232392 
 0.51716467  0.51716467  0.53184663  1.36605449 
 0.51436966  0.51436966  0.53601330  1.35981599 
 0.51158760  0.51158760  0.54017996  1.35360821 
 0.50881846  0.50881846  0.54434663  1.34743097 
 0.50606217  0.50606217  0.54851330  1.34128409 
 0.50331869  0.50331869  0.55267996  1.33516736 
 0.50058797  0.50058797  0.55684663  1.32908061 
 0.49786995  0.49786995  0.56101330  1.32302366 
 0.49516460  0.49516460  0.56517996  1.31699631 
 0.49247185  0.49247185  0.56934663  1.31099838 
 0.48979167  0.48979167  0.57351330  1.30502970 
 0.48712400  0.48712400  0.57767996  1.29909008 
 0.48446879  0.48446879  0.58184663  1.29317934 
 0.48182600  0.48182600  0.58601330  1.28729731 
 0.47919557  0.47919557  0.59017996  1.28144381 
 0.47657746  0.47657746  0.59434663  1.27561866 
 0.47397163  0.47397163  0.59851330  1.26982169 
 0.47137801  0.47137801  0.60267996  1.26405273 
 0.46879657  0.46879657  0.60684663  1.25831161 
 0.46622726  0.46622726  0.61101330  1.25259815 
 0.46367003  0.46367003  0.61517996  1.24691219 
 0.46112482  0.46112482  0.61934663  1.24125355 
 0.45859161  0.45859161  0.62351330  1.23562208 
 0.45607033  0.45607033  0.62767996  1.23001760 
 0.45356094  0.45356094  0.63184663  1.22443995 
 0.45106339  0.45106339  0.63601330  1.21888897 
 0.44857765  0.44857765  0.64017996  1.21336449 
 0.44610365  0.44610365  0.64434663  1.20786636 
 0.44364136  0.44364136  0.64851330  1.20239441 
 0.44119072  0.44119072  0.65267996  1.19694848 
 0.43875170  0.43875170  0.65684663  1.19152842 
 0.43632425  0.43632425  0.66101330  1.18613407 
 0.43390832  0.43390832  0.66517996  1.18076528 
 0.43150386  0.43150386  0.66934663  1.17542188 
 0.42911083  0.42911083  0.67351330  1.17010373 
 0.42672918  0.42672918  0.67767996  1.16481067 
 0.42435888  0.42435888  0.68184663  1.15954256 
 0.42199987  0.42199987  0.68601330  1.15429924 
 0.41965210  0.41965210  0.69017996  1.14908056 
 0.41731555  0.41731555  0.69434663  1.14388638 
 0.41499015  0.41499015  0.69851330  1.13871654 
 0.41267587  0.41267587  0.70267996  1.13357091 
 0.41037266  0.41037266  0.70684663  1.12844933 
 0.40808047  0.40808047  0.71101330  1.12335166 
 0.40579927  0.40579927  0.71517996  1.11827777 
 0.40352901  0.40352901  0.71934663  1.11322750 
 0.40126964  0.40126964  0.72351330  1.10820072 
 0.39902113  0.39902113  0.72767996  1.10319728 
 0.39678342  0.39678342  0.73184663  1.09821706 
 0.39455648  0.39455648  0.73601330  1.09325990 
 0.39234026  0.39234026  0.74017996  1.08832567 
