Date & Time: 2018-12-04 12:57:35.078861
Euler test case, time = 0.9000
dx = 0.00398406374501992
dt = 0.0001
nSteps = 10000
[Pressure]   [Density]    [Velocity]    [Internal Energy]
 0.52310803  0.52310803  0.52305033  1.37932646 
 0.52059847  0.52059847  0.52675404  1.37372135 
 0.51809923  0.51809923  0.53045774  1.36814086 
 0.51561028  0.51561028  0.53416145  1.36258485 
 0.51313159  0.51313159  0.53786515  1.35705319 
 0.51066312  0.51066312  0.54156885  1.35154575 
 0.50820484  0.50820484  0.54527256  1.34606238 
 0.50575671  0.50575671  0.54897626  1.34060296 
 0.50331869  0.50331869  0.55267996  1.33516736 
 0.50089075  0.50089075  0.55638367  1.32975544 
 0.49847286  0.49847286  0.56008737  1.32436708 
 0.49606498  0.49606498  0.56379107  1.31900214 
 0.49366707  0.49366707  0.56749478  1.31366050 
 0.49127911  0.49127911  0.57119848  1.30834203 
 0.48890106  0.48890106  0.57490219  1.30304660 
 0.48653288  0.48653288  0.57860589  1.29777409 
 0.48417453  0.48417453  0.58230959  1.29252437 
 0.48182600  0.48182600  0.58601330  1.28729731 
 0.47948723  0.47948723  0.58971700  1.28209279 
 0.47715820  0.47715820  0.59342070  1.27691070 
 0.47483888  0.47483888  0.59712441  1.27175089 
 0.47252922  0.47252922  0.60082811  1.26661327 
 0.47022921  0.47022921  0.60453182  1.26149770 
 0.46793879  0.46793879  0.60823552  1.25640406 
 0.46565794  0.46565794  0.61193922  1.25133223 
 0.46338663  0.46338663  0.61564293  1.24628210 
 0.46112482  0.46112482  0.61934663  1.24125355 
 0.45887248  0.45887248  0.62305033  1.23624646 
 0.45662958  0.45662958  0.62675404  1.23126071 
 0.45439608  0.45439608  0.63045774  1.22629619 
 0.45217195  0.45217195  0.63416145  1.22135279 
 0.44995716  0.44995716  0.63786515  1.21643038 
 0.44775168  0.44775168  0.64156885  1.21152886 
 0.44555546  0.44555546  0.64527256  1.20664811 
 0.44336849  0.44336849  0.64897626  1.20178802 
 0.44119072  0.44119072  0.65267996  1.19694848 
 0.43902213  0.43902213  0.65638367  1.19212938 
 0.43686269  0.43686269  0.66008737  1.18733060 
 0.43471235  0.43471235  0.66379107  1.18255204 
 0.43257109  0.43257109  0.66749478  1.17779360 
 0.43043888  0.43043888  0.67119848  1.17305515 
 0.42831568  0.42831568  0.67490219  1.16833660 
 0.42620147  0.42620147  0.67860589  1.16363783 
 0.42409621  0.42409621  0.68230959  1.15895875 
 0.42199987  0.42199987  0.68601330  1.15429924 
 0.41991241  0.41991241  0.68971700  1.14965920 
 0.41783382  0.41783382  0.69342070  1.14503853 
 0.41576404  0.41576404  0.69712441  1.14043712 
 0.41370307  0.41370307  0.70082811  1.13585488 
 0.41165085  0.41165085  0.70453182  1.13129169 
 0.40960737  0.40960737  0.70823552  1.12674746 
 0.40757259  0.40757259  0.71193922  1.12222208 
 0.40554648  0.40554648  0.71564293  1.11771546 
 0.40352901  0.40352901  0.71934663  1.11322750 
 0.40152015  0.40152015  0.72305033  1.10875810 
 0.39951986  0.39951986  0.72675404  1.10430715 
 0.39752813  0.39752813  0.73045774  1.09987456 
 0.39554491  0.39554491  0.73416145  1.09546024 
 0.39357017  0.39357017  0.73786515  1.09106409 
 0.39160390  0.39160390  0.74156885  1.08668601 
 0.38964605  0.38964605  0.74527256  1.08232590 
 0.38769659  0.38769659  0.74897626  1.07798368 
 0.38575550  0.38575550  0.75267996  1.07365924 
 0.38382275  0.38382275  0.75638367  1.06935250 
 0.38189831  0.38189831  0.76008737  1.06506335 
 0.37998214  0.37998214  0.76379107  1.06079172 
 0.37807421  0.37807421  0.76749478  1.05653751 
 0.37617451  0.37617451  0.77119848  1.05230062 
 0.37428299  0.37428299  0.77490219  1.04808096 
 0.37239963  0.37239963  0.77860589  1.04387845 
 0.37052440  0.37052440  0.78230959  1.03969300 
 0.36865727  0.36865727  0.78601330  1.03552452 
 0.36679821  0.36679821  0.78971700  1.03137291 
 0.36494719  0.36494719  0.79342070  1.02723809 
 0.36310418  0.36310418  0.79712441  1.02311998 
 0.36126916  0.36126916  0.80082811  1.01901848 
 0.35944209  0.35944209  0.80453182  1.01493352 
 0.35762295  0.35762295  0.80823552  1.01086500 
 0.35581170  0.35581170  0.81193922  1.00681285 
 0.35400832  0.35400832  0.81564293  1.00277696 
 0.35221279  0.35221279  0.81934663  0.99875727 
 0.35042506  0.35042506  0.82305033  0.99475369 
 0.34864512  0.34864512  0.82675404  0.99076614 
 0.34687293  0.34687293  0.83045774  0.98679453 
 0.34510847  0.34510847  0.83416145  0.98283878 
 0.34335171  0.34335171  0.83786515  0.97889881 
 0.34160262  0.34160262  0.84156885  0.97497455 
 0.33986117  0.33986117  0.84527256  0.97106590 
 0.33812734  0.33812734  0.84897626  0.96717279 
 0.33640109  0.33640109  0.85267996  0.96329514 
 0.33468241  0.33468241  0.85638367  0.95943288 
 0.33297125  0.33297125  0.86008737  0.95558592 
 0.33126760  0.33126760  0.86379107  0.95175419 
 0.32957143  0.32957143  0.86749478  0.94793760 
 0.32788271  0.32788271  0.87119848  0.94413609 
 0.32620141  0.32620141  0.87490219  0.94034957 
 0.32452750  0.32452750  0.87860589  0.93657798 
 0.32286096  0.32286096  0.88230959  0.93282123 
 0.32120176  0.32120176  0.88601330  0.92907925 
 0.31954988  0.31954988  0.88971700  0.92535196 
 0.31790529  0.31790529  0.89342070  0.92163930 
 0.31626795  0.31626795  0.89712441  0.91794119 
 0.31463785  0.31463785  0.90082811  0.91425756 
 0.31301495  0.31301495  0.90453182  0.91058833 
 0.31139924  0.31139924  0.90823552  0.90693343 
 0.30979068  0.30979068  0.91193922  0.90329279 
 0.30818924  0.30818924  0.91564293  0.89966634 
 0.30659491  0.30659491  0.91934663  0.89605402 
 0.30500765  0.30500765  0.92305033  0.89245574 
 0.30342744  0.30342744  0.92675404  0.88887144 
 0.30185426  0.30185426  0.93045774  0.88530105 
 0.30028807  0.30028807  0.93416145  0.88174450 
 0.29872885  0.29872885  0.93786515  0.87820173 
 0.29717657  0.29717657  0.94156885  0.87467266 
 0.29563122  0.29563122  0.94527256  0.87115723 
 0.29409275  0.29409275  0.94897626  0.86765538 
 0.29256116  0.29256116  0.95267996  0.86416702 
 0.29103641  0.29103641  0.95638367  0.86069211 
 0.28951847  0.28951847  0.96008737  0.85723057 
 0.28800732  0.28800732  0.96379107  0.85378234 
 0.28650294  0.28650294  0.96749478  0.85034735 
 0.28500530  0.28500530  0.97119848  0.84692554 
 0.28351438  0.28351438  0.97490219  0.84351684 
 0.28203015  0.28203015  0.97860589  0.84012120 
 0.28055258  0.28055258  0.98230959  0.83673854 
 0.27908165  0.27908165  0.98601330  0.83336881 
 0.27761733  0.27761733  0.98971700  0.83001194 
 0.27615961  0.27615961  0.99342070  0.82666787 
 0.27470845  0.27470845  0.99712441  0.82333655 
 0.27326384  0.27326384  1.00082811  0.82001790 
 0.27182574  0.27182574  1.00453182  0.81671187 
 0.27039413  0.27039413  1.00823552  0.81341839 
 0.26896899  0.26896899  1.01193922  0.81013742 
 0.26755029  0.26755029  1.01564293  0.80686888 
 0.26613801  0.26613801  1.01934663  0.80361272 
 0.26473213  0.26473213  1.02305033  0.80036888 
 0.26333262  0.26333262  1.02675404  0.79713730 
 0.26193945  0.26193945  1.03045774  0.79391793 
 0.26055260  0.26055260  1.03416145  0.79071070 
 0.25917206  0.25917206  1.03786515  0.78751556 
 0.25779779  0.25779779  1.04156885  0.78433245 
 0.25642977  0.25642977  1.04527256  0.78116132 
 0.25506797  0.25506797  1.04897626  0.77800211 
 0.25371238  0.25371238  1.05267996  0.77485476 
 0.25236297  0.25236297  1.05638367  0.77171922 
 0.25101972  0.25101972  1.06008737  0.76859543 
 0.24968260  0.24968260  1.06379107  0.76548334 
 0.24835159  0.24835159  1.06749478  0.76238289 
 0.24702666  0.24702666  1.07119848  0.75929403 
 0.24570780  0.24570780  1.07490219  0.75621671 
 0.24439498  0.24439498  1.07860589  0.75315088 
 0.24308818  0.24308818  1.08230959  0.75009647 
 0.24178737  0.24178737  1.08601330  0.74705344 
 0.24049253  0.24049253  1.08971700  0.74402173 
 0.23920364  0.23920364  1.09342070  0.74100130 
 0.23792067  0.23792067  1.09712441  0.73799209 
 0.23664361  0.23664361  1.10082811  0.73499405 
 0.23537243  0.23537243  1.10453182  0.73200713 
 0.23410710  0.23410710  1.10823552  0.72903128 
 0.23284761  0.23284761  1.11193922  0.72606644 
 0.23159393  0.23159393  1.11564293  0.72311258 
 0.23034604  0.23034604  1.11934663  0.72016963 
 0.22910392  0.22910392  1.12305033  0.71723756 
 0.22786755  0.22786755  1.12675404  0.71431630 
 0.22663690  0.22663690  1.13045774  0.71140582 
 0.22541195  0.22541195  1.13416145  0.70850606 
 0.22419268  0.22419268  1.13786515  0.70561698 
 0.22297906  0.22297906  1.14156885  0.70273853 
 0.22177109  0.22177109  1.14527256  0.69987065 
 0.22056872  0.22056872  1.14897626  0.69701331 
 0.21937195  0.21937195  1.15267996  0.69416646 
 0.21818075  0.21818075  1.15638367  0.69133005 
 0.21699509  0.21699509  1.16008737  0.68850403 
 0.21581497  0.21581497  1.16379107  0.68568836 
 0.21464035  0.21464035  1.16749478  0.68288299 
 0.21347121  0.21347121  1.17119848  0.68008788 
 0.21230754  0.21230754  1.17490219  0.67730299 
 0.21114930  0.21114930  1.17860589  0.67452826 
 0.20999649  0.20999649  1.18230959  0.67176365 
 0.20884908  0.20884908  1.18601330  0.66900913 
 0.20770704  0.20770704  1.18971700  0.66626464 
 0.20657036  0.20657036  1.19342070  0.66353014 
 0.20543902  0.20543902  1.19712441  0.66080559 
 0.20431299  0.20431299  1.20082811  0.65809094 
 0.20319226  0.20319226  1.20453182  0.65538616 
 0.20207680  0.20207680  1.20823552  0.65269120 
 0.20096660  0.20096660  1.21193922  0.65000602 
 0.19986162  0.19986162  1.21564293  0.64733058 
 0.19876186  0.19876186  1.21934663  0.64466483 
 0.19766729  0.19766729  1.22305033  0.64200873 
 0.19657789  0.19657789  1.22675404  0.63936225 
 0.19549364  0.19549364  1.23045774  0.63672534 
 0.19441451  0.19441451  1.23416145  0.63409796 
 0.19334050  0.19334050  1.23786515  0.63148007 
 0.19227158  0.19227158  1.24156885  0.62887163 
 0.19120773  0.19120773  1.24527256  0.62627260 
 0.19014893  0.19014893  1.24897626  0.62368295 
 0.18909516  0.18909516  1.25267996  0.62110262 
 0.18804639  0.18804639  1.25638367  0.61853159 
 0.18700262  0.18700262  1.26008737  0.61596982 
 0.18596382  0.18596382  1.26379107  0.61341726 
 0.18492996  0.18492996  1.26749478  0.61087388 
