Date & Time: 2018-12-04 12:58:44.367335
Euler test case, time = 1.0000
dx = 0.00398406374501992
dt = 0.0001
nSteps = 10000
[Pressure]   [Density]    [Velocity]    [Internal Energy]
 0.49247185  0.49247185  0.56934663  1.31099838 
 0.49032670  0.49032670  0.57267996  1.30622110 
 0.48818957  0.48818957  0.57601330  1.30146245 
 0.48606042  0.48606042  0.57934663  1.29672233 
 0.48393924  0.48393924  0.58267996  1.29200064 
 0.48182600  0.48182600  0.58601330  1.28729731 
 0.47972067  0.47972067  0.58934663  1.28261223 
 0.47762323  0.47762323  0.59267996  1.27794533 
 0.47553366  0.47553366  0.59601330  1.27329650 
 0.47345193  0.47345193  0.59934663  1.26866567 
 0.47137801  0.47137801  0.60267996  1.26405273 
 0.46931189  0.46931189  0.60601330  1.25945762 
 0.46725353  0.46725353  0.60934663  1.25488022 
 0.46520292  0.46520292  0.61267996  1.25032047 
 0.46316002  0.46316002  0.61601330  1.24577828 
 0.46112482  0.46112482  0.61934663  1.24125355 
 0.45909729  0.45909729  0.62267996  1.23674621 
 0.45707741  0.45707741  0.62601330  1.23225616 
 0.45506515  0.45506515  0.62934663  1.22778333 
 0.45306048  0.45306048  0.63267996  1.22332762 
 0.45106339  0.45106339  0.63601330  1.21888897 
 0.44907385  0.44907385  0.63934663  1.21446727 
 0.44709184  0.44709184  0.64267996  1.21006246 
 0.44511733  0.44511733  0.64601330  1.20567444 
 0.44315030  0.44315030  0.64934663  1.20130314 
 0.44119072  0.44119072  0.65267996  1.19694848 
 0.43923858  0.43923858  0.65601330  1.19261037 
 0.43729385  0.43729385  0.65934663  1.18828874 
 0.43535650  0.43535650  0.66267996  1.18398349 
 0.43342651  0.43342651  0.66601330  1.17969457 
 0.43150386  0.43150386  0.66934663  1.17542188 
 0.42958852  0.42958852  0.67267996  1.17116535 
 0.42768048  0.42768048  0.67601330  1.16692489 
 0.42577970  0.42577970  0.67934663  1.16270044 
 0.42388617  0.42388617  0.68267996  1.15849192 
 0.42199987  0.42199987  0.68601330  1.15429924 
 0.42012076  0.42012076  0.68934663  1.15012233 
 0.41824883  0.41824883  0.69267996  1.14596112 
 0.41638405  0.41638405  0.69601330  1.14181553 
 0.41452640  0.41452640  0.69934663  1.13768548 
 0.41267587  0.41267587  0.70267996  1.13357091 
 0.41083242  0.41083242  0.70601330  1.12947173 
 0.40899603  0.40899603  0.70934663  1.12538787 
 0.40716668  0.40716668  0.71267996  1.12131926 
 0.40534435  0.40534435  0.71601330  1.11726583 
 0.40352901  0.40352901  0.71934663  1.11322750 
 0.40172065  0.40172065  0.72267996  1.10920420 
 0.39991924  0.39991924  0.72601330  1.10519587 
 0.39812475  0.39812475  0.72934663  1.10120242 
 0.39633717  0.39633717  0.73267996  1.09722378 
 0.39455648  0.39455648  0.73601330  1.09325990 
 0.39278265  0.39278265  0.73934663  1.08931069 
 0.39101566  0.39101566  0.74267996  1.08537609 
 0.38925549  0.38925549  0.74601330  1.08145603 
 0.38750211  0.38750211  0.74934663  1.07755043 
 0.38575550  0.38575550  0.75267996  1.07365924 
 0.38401565  0.38401565  0.75601330  1.06978238 
 0.38228253  0.38228253  0.75934663  1.06591978 
 0.38055612  0.38055612  0.76267996  1.06207138 
 0.37883639  0.37883639  0.76601330  1.05823711 
 0.37712333  0.37712333  0.76934663  1.05441690 
 0.37541692  0.37541692  0.77267996  1.05061069 
 0.37371713  0.37371713  0.77601330  1.04681841 
 0.37202393  0.37202393  0.77934663  1.04304000 
 0.37033732  0.37033732  0.78267996  1.03927539 
 0.36865727  0.36865727  0.78601330  1.03552452 
 0.36698375  0.36698375  0.78934663  1.03178731 
 0.36531675  0.36531675  0.79267996  1.02806372 
 0.36365624  0.36365624  0.79601330  1.02435366 
 0.36200221  0.36200221  0.79934663  1.02065709 
 0.36035463  0.36035463  0.80267996  1.01697394 
 0.35871348  0.35871348  0.80601330  1.01330415 
 0.35707874  0.35707874  0.80934663  1.00964764 
 0.35545040  0.35545040  0.81267996  1.00600437 
 0.35382842  0.35382842  0.81601330  1.00237427 
 0.35221279  0.35221279  0.81934663  0.99875727 
 0.35060348  0.35060348  0.82267996  0.99515333 
 0.34900048  0.34900048  0.82601330  0.99156237 
 0.34740377  0.34740377  0.82934663  0.98798434 
 0.34581333  0.34581333  0.83267996  0.98441918 
 0.34422913  0.34422913  0.83601330  0.98086683 
 0.34265115  0.34265115  0.83934663  0.97732723 
 0.34107938  0.34107938  0.84267996  0.97380032 
 0.33951380  0.33951380  0.84601330  0.97028604 
 0.33795437  0.33795437  0.84934663  0.96678433 
 0.33640109  0.33640109  0.85267996  0.96329514 
 0.33485394  0.33485394  0.85601330  0.95981842 
 0.33331288  0.33331288  0.85934663  0.95635409 
 0.33177791  0.33177791  0.86267996  0.95290211 
 0.33024900  0.33024900  0.86601330  0.94946242 
 0.32872614  0.32872614  0.86934663  0.94603497 
 0.32720930  0.32720930  0.87267996  0.94261969 
 0.32569846  0.32569846  0.87601330  0.93921653 
 0.32419360  0.32419360  0.87934663  0.93582544 
 0.32269471  0.32269471  0.88267996  0.93244637 
 0.32120176  0.32120176  0.88601330  0.92907925 
 0.31971474  0.31971474  0.88934663  0.92572403 
 0.31823362  0.31823362  0.89267996  0.92238067 
 0.31675839  0.31675839  0.89601330  0.91904910 
 0.31528902  0.31528902  0.89934663  0.91572928 
 0.31382550  0.31382550  0.90267996  0.91242115 
 0.31236781  0.31236781  0.90601330  0.90912465 
 0.31091592  0.31091592  0.90934663  0.90583974 
 0.30946982  0.30946982  0.91267996  0.90256637 
 0.30802949  0.30802949  0.91601330  0.89930448 
 0.30659491  0.30659491  0.91934663  0.89605402 
 0.30516606  0.30516606  0.92267996  0.89281494 
 0.30374292  0.30374292  0.92601330  0.88958718 
 0.30232548  0.30232548  0.92934663  0.88637071 
 0.30091371  0.30091371  0.93267996  0.88316547 
 0.29950759  0.29950759  0.93601330  0.87997140 
 0.29810711  0.29810711  0.93934663  0.87678846 
