Date & Time: 2018-11-19 20:22:35.896070
Euler test case, time = 0.40
dx = 0.01
dt = 0.001
nSteps = 2000
[Pressure]   [Density]    [Velocity]    [Internal Energy]
 0.58858066  0.25056180  1.06673828  1.61401261 
 0.58822078  0.25028619  1.06780729  1.61324165 
 0.58632164  0.25008311  1.07345653  1.60989059 
 0.58631766  0.25042276  1.07352902  1.61009581 
 0.58684068  0.25120735  1.07185960  1.61140562 
 0.59059821  0.25474229  1.06081736  1.61983053 
 0.59067181  0.25580154  1.06047296  1.62051709 
 0.59146087  0.25147882  1.05833707  1.61949004 
 0.59149384  0.25111527  1.05789479  1.61925134 
 0.59208249  0.23905719  1.05660282  1.61364909 
 0.59209089  0.23601254  1.05625235  1.61188316 
 0.59250566  0.22174818  1.05559095  1.60480806 
 0.59251350  0.21718174  1.05540555  1.60224103 
 0.59272277  0.20458708  1.05522272  1.59571028 
 0.59272677  0.20022670  1.05520108  1.59328806 
 0.59283151  0.19104894  1.05511921  1.58842393 
 0.59283708  0.18837054  1.05509231  1.58694162 
 0.59292214  0.18293455  1.05498424  1.58410767 
 0.59296941  0.18057317  1.05492142  1.58289977 
 0.59299948  0.17883898  1.05486232  1.58199885 
 0.59300836  0.17765433  1.05482982  1.58135586 
 0.59300391  0.17658967  1.05480553  1.58074792 
 0.59289152  0.17566782  1.05464569  1.57992449 
 0.59295293  0.17523799  1.05470218  1.57984940 
 0.59319071  0.17492139  1.05493958  1.58031157 
 0.59270227  0.17470074  1.05400148  1.57879486 
 0.59219887  0.17456361  1.05304209  1.57728375 
 0.59321617  0.17454743  1.05435968  1.58006036 
 0.59399730  0.17453599  1.05546940  1.58221116 
 0.58997413  0.17420732  1.04962121  1.57089783 
 0.58939246  0.17412817  1.04874244  1.56923952 
 0.59906748  0.17472129  1.06259651  1.59630859 
 0.59401993  0.17435272  1.05475151  1.58203359 
 0.56615881  0.17245649  1.01343865  1.50395842 
 0.59322805  0.17408798  1.05259896  1.57951177 
 0.65444315  0.17811076  1.14135322  1.75211919 
 0.51497063  0.16715728  0.92760861  1.35934247 
 0.22148669  0.14376294  0.38737308  0.56450312 
 0.12607214  0.13146991  0.11094790  0.31598952 
 0.10385704  0.12634669  0.01881856  0.25966498 
 0.10050513  0.12519420  0.00251846  0.25126322 
 0.10006350  0.12502476  0.00031715  0.25015876 
 0.10000788  0.12500308  0.00003945  0.25001969 
 0.10000098  0.12500038  0.00000487  0.25000245 
 0.10000012  0.12500005  0.00000061  0.25000030 
 0.10000002  0.12500001  0.00000007  0.25000004 
 0.10000000  0.12500000  0.00000001  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
