Date & Time: 2018-11-19 20:22:43.249381
Euler test case, time = 0.70
dx = 0.01
dt = 0.001
nSteps = 2000
[Pressure]   [Density]    [Velocity]    [Internal Energy]
 0.58765286  0.24989838  1.06966137  1.61209595 
 0.58770007  0.24993108  1.06952546  1.61219635 
 0.58790388  0.24993196  1.06890639  1.61254093 
 0.58969836  0.25097211  1.06358439  1.61619720 
 0.58978397  0.25108304  1.06332136  1.61640374 
 0.59162300  0.25187192  1.05789005  1.61999638 
 0.59162095  0.25169146  1.05789672  1.61989206 
 0.59212521  0.25249587  1.05641255  1.62120667 
 0.59214141  0.25230674  1.05636507  1.62112898 
 0.59253986  0.25455798  1.05518409  1.62306379 
 0.59253929  0.25515198  1.05517016  1.62338929 
 0.59268744  0.25489614  1.05472140  1.62349658 
 0.59268867  0.25524649  1.05466204  1.62367855 
 0.59277710  0.25114854  1.05442973  1.62155899 
 0.59277650  0.25055601  1.05437853  1.62121456 
 0.59285989  0.24342746  1.05415388  1.61740293 
 0.59288852  0.23742796  1.05415218  1.61414064 
 0.59288988  0.23368456  1.05411791  1.61205571 
 0.59293769  0.22627467  1.05410162  1.60805453 
 0.59293844  0.22205016  1.05407029  1.60570209 
 0.59299294  0.21406881  1.05406153  1.60140247 
 0.59299403  0.21012563  1.05402725  1.59920706 
 0.59305275  0.20257953  1.05398539  1.59515318 
 0.59305187  0.19955381  1.05394208  1.59346125 
 0.59311306  0.19260360  1.05387026  1.58973953 
 0.59311325  0.19066767  1.05383068  1.58865698 
 0.59318641  0.18502205  1.05365712  1.58567114 
 0.59320411  0.18166033  1.05363336  1.58384477 
 0.59320793  0.18060033  1.05359095  1.58325788 
 0.59328224  0.17716676  1.05340007  1.58150229 
 0.59328254  0.17675916  1.05339752  1.58127642 
 0.59334056  0.17560908  1.05323631  1.58075356 
 0.59334368  0.17547445  1.05323050  1.58068561 
 0.59339778  0.17498355  1.05306866  1.58051877 
 0.59339920  0.17492724  1.05305598  1.58048877 
 0.59346242  0.17469979  1.05286736  1.58048601 
 0.59347227  0.17466915  1.05287050  1.58049421 
 0.59354080  0.17454521  1.05269881  1.58056530 
 0.59354647  0.17452304  1.05268155  1.58056402 
 0.59357674  0.17443338  1.05252331  1.58056095 
 0.59358631  0.17439528  1.05247790  1.58055546 
 0.59363442  0.17433077  1.05241870  1.58062912 
 0.59365986  0.17429026  1.05239702  1.58066632 
 0.59367592  0.17424361  1.05235817  1.58067351 
 0.59367830  0.17419926  1.05231047  1.58064617 
 0.59367851  0.17414183  1.05225738  1.58060516 
 0.59370821  0.17407354  1.05225114  1.58064046 
 0.59374223  0.17402509  1.05227038  1.58070220 
 0.59376642  0.17398479  1.05228100  1.58074232 
 0.59377133  0.17394202  1.05226108  1.58072728 
 0.59372465  0.17388842  1.05216928  1.58056409 
 0.59377911  0.17385122  1.05222757  1.58069032 
 0.59393622  0.17382608  1.05244006  1.58110805 
 0.59374352  0.17378452  1.05213548  1.58054759 
 0.59349644  0.17374630  1.05175766  1.57983966 
 0.59426884  0.17377532  1.05287944  1.58199186 
 0.59492820  0.17380329  1.05383456  1.58383063 
 0.59180357  0.17359132  1.04922602  1.57506013 
 0.59072251  0.17351464  1.04762349  1.57202373 
 0.60170134  0.17420219  1.06365952  1.60279705 
 0.59887253  0.17401274  1.05957162  1.59486267 
 0.56862047  0.17206593  1.01486345  1.51016065 
 0.59322460  0.17351347  1.05014113  1.57873651 
 0.66280842  0.17804849  1.14993648  1.77474261 
 0.54938139  0.16934381  0.98012175  1.45479259 
 0.23694392  0.14508410  0.42318891  0.60535127 
 0.13012702  0.13215432  0.12538072  0.32635629 
 0.10444778  0.12652687  0.02162484  0.26114903 
 0.10057522  0.12522057  0.00286635  0.25143857 
 0.10007102  0.12502768  0.00035481  0.25017755 
 0.10000864  0.12500338  0.00004322  0.25002161 
 0.10000105  0.12500041  0.00000524  0.25000262 
 0.10000013  0.12500005  0.00000063  0.25000032 
 0.10000002  0.12500001  0.00000008  0.25000004 
 0.10000000  0.12500000  0.00000001  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
