Date & Time: 2018-11-19 20:22:45.709627
Euler test case, time = 0.80
dx = 0.01
dt = 0.001
nSteps = 2000
[Pressure]   [Density]    [Velocity]    [Internal Energy]
 0.58797623  0.25009431  1.06873967  1.61276999 
 0.58804633  0.25013376  1.06853894  1.61291412 
 0.58836493  0.25029209  1.06757277  1.61354273 
 0.59055385  0.25150009  1.06108624  1.61796712 
 0.59057816  0.25154052  1.06100976  1.61803023 
 0.59184548  0.25212855  1.05726422  1.62052930 
 0.59184399  0.25214134  1.05726498  1.62053294 
 0.59228343  0.25205635  1.05596554  1.62123796 
 0.59229402  0.25176151  1.05593062  1.62109077 
 0.59261212  0.25287502  1.05499235  1.62225638 
 0.59261179  0.25288962  1.05498575  1.62226190 
 0.59274803  0.25454356  1.05458779  1.62341607 
 0.59274956  0.25510458  1.05457327  1.62372796 
 0.59282645  0.25471347  1.05435916  1.62364520 
 0.59282829  0.25518867  1.05432102  1.62390368 
 0.59292766  0.25061070  1.05405515  1.62153743 
 0.59294043  0.24763529  1.05404081  1.61991272 
 0.59294099  0.24552117  1.05399658  1.61872829 
 0.59298735  0.23938951  1.05393764  1.61542346 
 0.59298698  0.23643390  1.05388650  1.61376826 
 0.59304290  0.22907304  1.05383915  1.60980886 
 0.59304366  0.22560747  1.05378922  1.60787450 
 0.59310137  0.21803051  1.05374183  1.60380089 
 0.59310171  0.21449493  1.05369512  1.60182829 
 0.59316191  0.20718732  1.05364088  1.59791022 
 0.59316248  0.20454711  1.05358636  1.59643437 
 0.59324419  0.19710199  1.05342260  1.59247243 
 0.59326466  0.19237026  1.05342454  1.58989861 
 0.59326588  0.19041037  1.05336725  1.58880272 
 0.59333586  0.18473350  1.05323963  1.58580335 
 0.59333741  0.18333711  1.05320904  1.58502679 
 0.59340114  0.17926140  1.05305835  1.58289719 
 0.59340259  0.17860744  1.05304515  1.58253573 
 0.59347321  0.17631406  1.05284852  1.58140422 
 0.59347352  0.17608462  1.05284767  1.58127765 
 0.59353845  0.17525521  1.05265386  1.58094455 
 0.59353952  0.17516986  1.05265115  1.58089944 
 0.59358955  0.17483842  1.05249664  1.58081242 
 0.59358958  0.17480026  1.05249206  1.58079053 
 0.59362947  0.17462669  1.05237115  1.58077189 
 0.59363161  0.17460509  1.05237012  1.58076510 
 0.59365877  0.17447919  1.05229350  1.58074921 
 0.59365961  0.17446144  1.05228856  1.58074058 
 0.59367719  0.17437246  1.05222606  1.58072381 
 0.59367721  0.17434333  1.05221669  1.58070601 
 0.59369291  0.17426726  1.05219317  1.58069882 
 0.59370320  0.17422104  1.05218229  1.58069698 
 0.59370980  0.17417385  1.05216765  1.58068467 
 0.59371145  0.17412931  1.05214988  1.58066089 
 0.59371105  0.17407685  1.05212798  1.58062682 
 0.59371676  0.17401481  1.05211341  1.58060410 
 0.59372860  0.17395979  1.05211233  1.58060304 
 0.59373755  0.17391948  1.05210982  1.58060266 
 0.59374311  0.17388415  1.05210490  1.58059611 
 0.59374530  0.17385242  1.05209475  1.58058217 
 0.59373819  0.17381773  1.05207103  1.58054084 
 0.59374062  0.17378958  1.05206124  1.58052956 
 0.59377537  0.17376425  1.05209879  1.58060928 
 0.59379342  0.17375144  1.05211574  1.58065041 
 0.59376199  0.17373399  1.05205877  1.58055178 
 0.59372897  0.17371939  1.05200132  1.58045064 
 0.59393197  0.17372121  1.05228844  1.58101162 
 0.59398010  0.17371708  1.05234632  1.58114024 
 0.59335021  0.17366874  1.05141719  1.57936902 
 0.59364723  0.17368195  1.05185160  1.58019822 
 0.59525832  0.17377959  1.05419839  1.58470941 
 0.59350717  0.17366417  1.05160558  1.57979330 
 0.58977212  0.17342070  1.04613680  1.56932630 
 0.59749337  0.17390379  1.05742913  1.59095923 
 0.60437518  0.17434878  1.06751753  1.61028133 
 0.57765841  0.17261124  1.02791572  1.53533747 
 0.56574311  0.17181927  1.01071562  1.50211842 
 0.65147312  0.17719684  1.13301156  1.74241795 
 0.64774359  0.17701004  1.13126457  1.73262411 
 0.31899382  0.15210968  0.59613870  0.82451302 
 0.15803483  0.13636458  0.21537716  0.39824987 
 0.10948545  0.12792443  0.04467215  0.27384128 
 0.10127578  0.12547836  0.00632221  0.25319197 
 0.10015909  0.12506184  0.00079457  0.25039777 
 0.10001941  0.12500758  0.00009707  0.25004853 
 0.10000235  0.12500092  0.00001177  0.25000588 
 0.10000028  0.12500011  0.00000142  0.25000071 
 0.10000003  0.12500001  0.00000017  0.25000009 
 0.10000000  0.12500000  0.00000002  0.25000001 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
