Date & Time: 2018-11-19 20:22:48.219657
Euler test case, time = 0.90
dx = 0.01
dt = 0.001
nSteps = 2000
[Pressure]   [Density]    [Velocity]    [Internal Energy]
 0.58844891  0.25035529  1.06737507  1.61373585 
 0.58854691  0.25040902  1.06709047  1.61393540 
 0.58899803  0.25065845  1.06573514  1.61484294 
 0.59113902  0.25183811  1.05939983  1.61917004 
 0.59115765  0.25184590  1.05934268  1.61920574 
 0.59201428  0.25235394  1.05681016  1.62095616 
 0.59203318  0.25243025  1.05675369  1.62103095 
 0.59242743  0.25235097  1.05558524  1.62166089 
 0.59243584  0.25227785  1.05555919  1.62163425 
 0.59267821  0.25225339  1.05483870  1.62203477 
 0.59268050  0.25206966  1.05482864  1.62193560 
 0.59278731  0.25293855  1.05450832  1.62260056 
 0.59278932  0.25290705  1.05449342  1.62258410 
 0.59286617  0.25470331  1.05426750  1.62371423 
 0.59286780  0.25560184  1.05425395  1.62421401 
 0.59297025  0.25370516  1.05394908  1.62333457 
 0.59297209  0.25268190  1.05395121  1.62277140 
 0.59297182  0.25211815  1.05391269  1.62244739 
 0.59301886  0.24804688  1.05381885  1.62027942 
 0.59301932  0.24666176  1.05376328  1.61949702 
 0.59307853  0.24080817  1.05367539  1.61637278 
 0.59308054  0.23843266  1.05361554  1.61504409 
 0.59314355  0.23167423  1.05354228  1.61143243 
 0.59314632  0.22865842  1.05348785  1.60975255 
 0.59320994  0.22171047  1.05341866  1.60603990 
 0.59321099  0.21919536  1.05336071  1.60463364 
 0.59330246  0.21110612  1.05317895  1.60033411 
 0.59332860  0.20542652  1.05318620  1.59725118 
 0.59332886  0.20268338  1.05313848  1.59572028 
 0.59339439  0.19613772  1.05304913  1.59223577 
 0.59339491  0.19402794  1.05299388  1.59105599 
 0.59346531  0.18816341  1.05287170  1.58795651 
 0.59346747  0.18668804  1.05282271  1.58713452 
 0.59353897  0.18180805  1.05266139  1.58457782 
 0.59353965  0.18081232  1.05263930  1.58402362 
 0.59359607  0.17764293  1.05249014  1.58238086 
 0.59359679  0.17714128  1.05248296  1.58210348 
 0.59363443  0.17577482  1.05237185  1.58142020 
 0.59363505  0.17557804  1.05236768  1.58131201 
 0.59366216  0.17505108  1.05228611  1.58107295 
 0.59366269  0.17497994  1.05228363  1.58103445 
 0.59368221  0.17472431  1.05222593  1.58093110 
 0.59368269  0.17469554  1.05222520  1.58091625 
 0.59369761  0.17453981  1.05218176  1.58085935 
 0.59369857  0.17452264  1.05218251  1.58085238 
 0.59370929  0.17440521  1.05215015  1.58080825 
 0.59370975  0.17439497  1.05214875  1.58080348 
 0.59371698  0.17429757  1.05212059  1.58076248 
 0.59371713  0.17427911  1.05211789  1.58075212 
 0.59372379  0.17419365  1.05209949  1.58071812 
 0.59372698  0.17415542  1.05209368  1.58070386 
 0.59373038  0.17409993  1.05208161  1.58067943 
 0.59373121  0.17405748  1.05207198  1.58065627 
 0.59373097  0.17400934  1.05205943  1.58062672 
 0.59373506  0.17395200  1.05204862  1.58060324 
 0.59374041  0.17390959  1.05204555  1.58059258 
 0.59374470  0.17387778  1.05204256  1.58058517 
 0.59374862  0.17384352  1.05203589  1.58057478 
 0.59374999  0.17381638  1.05202896  1.58056191 
 0.59375025  0.17379027  1.05202085  1.58054662 
 0.59374972  0.17376777  1.05201138  1.58053112 
 0.59375363  0.17374648  1.05200717  1.58052835 
 0.59376239  0.17373170  1.05201126  1.58054283 
 0.59376888  0.17372275  1.05201412  1.58055460 
 0.59377030  0.17371434  1.05200808  1.58055239 
 0.59376184  0.17370474  1.05198729  1.58052213 
 0.59376869  0.17369827  1.05198458  1.58053520 
 0.59379939  0.17369381  1.05201509  1.58061504 
 0.59378364  0.17368832  1.05197291  1.58056493 
 0.59372938  0.17368029  1.05187617  1.58040716 
 0.59387160  0.17368476  1.05206947  1.58080052 
 0.59395405  0.17368527  1.05218630  1.58102827 
 0.59361040  0.17365639  1.05169583  1.58006354 
 0.59342844  0.17363870  1.05144918  1.57955384 
 0.59463737  0.17371085  1.05322325  1.58294035 
 0.59508363  0.17373731  1.05387976  1.58419084 
 0.59064940  0.17345068  1.04742649  1.57177007 
 0.59275456  0.17358321  1.05053539  1.57767176 
 0.60235730  0.17420651  1.06446719  1.60458911 
 0.59296621  0.17359456  1.05054723  1.57820930 
 0.56325953  0.17167153  1.00698065  1.49518715 
 0.61432635  0.17481165  1.08017388  1.63779885 
 0.67153756  0.17868184  1.16377993  1.79984579 
 0.46761595  0.16299912  0.84864495  1.22773573 
 0.20128708  0.14156044  0.33561356  0.51119014 
 0.11981363  0.13023735  0.08734980  0.30003094 
 0.10280679  0.12600598  0.01377661  0.25702892 
 0.10035684  0.12513781  0.00178062  0.25089231 
 0.10004380  0.12501709  0.00021894  0.25010950 
 0.10000532  0.12500208  0.00002659  0.25001330 
 0.10000064  0.12500025  0.00000322  0.25000161 
 0.10000008  0.12500003  0.00000039  0.25000019 
 0.10000001  0.12500000  0.00000005  0.25000002 
 0.10000000  0.12500000  0.00000001  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
