Date & Time: 2018-11-19 20:22:50.663770
Euler test case, time = 1.00
dx = 0.01
dt = 0.001
nSteps = 2000
[Pressure]   [Density]    [Velocity]    [Internal Energy]
 0.58902559  0.25067045  1.06569409  1.61490769 
 0.58913076  0.25072772  1.06538671  1.61512099 
 0.58966169  0.25102952  1.06380174  1.61619603 
 0.59149805  0.25202836  1.05837457  1.61990076 
 0.59152898  0.25203295  1.05828204  1.61995597 
 0.59218506  0.25245086  1.05634362  1.62131278 
 0.59219446  0.25248813  1.05631592  1.62134969 
 0.59255030  0.25264561  1.05526195  1.62204603 
 0.59255147  0.25268700  1.05525781  1.62207089 
 0.59273410  0.25249208  1.05471373  1.62227400 
 0.59273577  0.25244489  1.05470754  1.62225028 
 0.59282452  0.25219894  1.05444040  1.62226431 
 0.59282615  0.25184818  1.05443152  1.62207103 
 0.59290899  0.25330952  1.05418195  1.62302386 
 0.59291233  0.25367227  1.05417445  1.62323177 
 0.59300843  0.25412505  1.05388080  1.62364493 
 0.59300864  0.25411875  1.05389277  1.62364519 
 0.59300875  0.25460639  1.05385989  1.62390743 
 0.59305651  0.25252309  1.05373345  1.62283630 
 0.59305731  0.25233093  1.05369454  1.62272128 
 0.59311363  0.24851873  1.05356430  1.62071169 
 0.59311377  0.24752445  1.05351015  1.62014611 
 0.59317759  0.24209612  1.05338924  1.61726239 
 0.59317612  0.24043881  1.05333161  1.61632463 
 0.59324541  0.23409558  1.05322523  1.61295270 
 0.59324427  0.23249820  1.05315933  1.61204774 
 0.59334765  0.22452909  1.05293553  1.60783381 
 0.59337392  0.21903621  1.05293726  1.60485500 
 0.59337373  0.21613002  1.05288704  1.60323206 
 0.59344267  0.20912317  1.05280774  1.59950318 
 0.59344386  0.20654866  1.05274609  1.59806594 
 0.59351889  0.19976548  1.05264307  1.59447304 
 0.59351924  0.19756039  1.05258971  1.59324113 
 0.59358570  0.19141349  1.05248937  1.58998186 
 0.59358529  0.18965135  1.05245408  1.58899778 
 0.59363391  0.18455976  1.05237744  1.58628458 
 0.59363392  0.18329908  1.05235766  1.58558269 
 0.59366732  0.17961219  1.05229251  1.58361234 
 0.59366743  0.17886205  1.05228572  1.58319602 
 0.59368931  0.17667334  1.05223172  1.58202889 
 0.59368982  0.17633659  1.05223005  1.58184345 
 0.59370418  0.17538717  1.05218717  1.58134583 
 0.59370458  0.17526390  1.05218656  1.58127849 
 0.59371469  0.17486920  1.05215325  1.58107914 
 0.59371511  0.17481728  1.05215178  1.58105119 
 0.59372208  0.17461886  1.05212494  1.58095384 
 0.59372216  0.17459554  1.05212290  1.58094078 
 0.59372850  0.17446008  1.05209967  1.58087737 
 0.59372883  0.17444325  1.05209751  1.58086848 
 0.59373345  0.17433381  1.05207928  1.58081613 
 0.59373358  0.17431899  1.05207675  1.58080779 
 0.59373837  0.17422373  1.05206062  1.58076408 
 0.59373846  0.17421135  1.05205943  1.58075724 
 0.59374496  0.17411447  1.05204194  1.58071667 
 0.59374559  0.17407629  1.05204090  1.58069693 
 0.59374741  0.17405604  1.05203724  1.58068961 
 0.59375119  0.17397214  1.05202400  1.58065019 
 0.59375123  0.17395395  1.05202182  1.58063983 
 0.59375413  0.17390030  1.05201245  1.58061568 
 0.59375513  0.17387386  1.05200922  1.58060298 
 0.59375798  0.17383949  1.05200340  1.58059000 
 0.59375971  0.17380952  1.05199621  1.58057642 
 0.59376077  0.17379082  1.05199069  1.58056773 
 0.59376131  0.17376866  1.05197987  1.58055482 
 0.59376242  0.17374869  1.05196926  1.58054463 
 0.59376699  0.17373275  1.05195906  1.58054535 
 0.59377198  0.17372248  1.05195384  1.58055119 
 0.59377550  0.17371406  1.05194906  1.58055447 
 0.59377607  0.17370794  1.05194638  1.58055202 
 0.59377544  0.17370084  1.05194421  1.58054611 
 0.59377223  0.17369120  1.05194537  1.58053298 
 0.59377074  0.17368603  1.05195069  1.58052737 
 0.59377412  0.17368068  1.05196470  1.58053540 
 0.59377478  0.17367510  1.05197609  1.58053604 
 0.59376698  0.17366775  1.05197264  1.58051185 
 0.59376409  0.17366358  1.05197223  1.58050224 
 0.59378471  0.17366046  1.05200382  1.58055783 
 0.59379546  0.17365859  1.05201859  1.58058637 
 0.59372527  0.17365253  1.05191305  1.58038827 
 0.59372586  0.17365251  1.05190791  1.58038879 
 0.59394995  0.17366786  1.05222888  1.58101616 
 0.59383353  0.17366165  1.05205318  1.58068957 
 0.59328805  0.17362819  1.05124341  1.57915949 
 0.59410880  0.17368355  1.05238599  1.58145067 
 0.59508897  0.17375042  1.05371088  1.58418055 
 0.59249384  0.17358579  1.04973273  1.57687505 
 0.59010905  0.17342704  1.04605611  1.57015746 
 0.60064021  0.17407304  1.06127979  1.59963105 
 0.60374378  0.17423263  1.06601002  1.60835646 
 0.56850195  0.17193234  1.01428477  1.50969460 
 0.57909742  0.17257698  1.02956881  1.53921037 
 0.66061223  0.17767249  1.14577757  1.76815535 
 0.59822512  0.17310243  1.05537327  1.59196466 
 0.26989185  0.14797868  0.49625806  0.69295113 
 0.14034883  0.13381615  0.16000848  0.35258511 
 0.10616549  0.12703206  0.02967649  0.26546966 
 0.10080784  0.12530742  0.00401697  0.25202061 
 0.10009981  0.12503887  0.00049858  0.25024955 
 0.10001274  0.12500498  0.00006374  0.25003186 
 0.10000001  0.12500000  0.00000005  0.25000002 
