Date & Time: 2018-11-19 20:23:07.639485
Euler test case, time = 1.70
dx = 0.01
dt = 0.001
nSteps = 2000
[Pressure]   [Density]    [Velocity]    [Internal Energy]
 0.59186370  0.25222373  1.05736710  1.62065550 
 0.59190147  0.25224455  1.05725607  1.62073194 
 0.59214780  0.25238061  1.05652987  1.62123010 
 0.59264198  0.25265494  1.05507567  1.62223074 
 0.59264388  0.25265684  1.05507002  1.62223505 
 0.59277973  0.25272900  1.05467020  1.62250826 
 0.59278609  0.25273078  1.05465151  1.62252017 
 0.59289898  0.25279552  1.05431924  1.62274982 
 0.59290196  0.25279617  1.05431046  1.62275529 
 0.59298021  0.25285156  1.05408004  1.62292029 
 0.59298232  0.25286097  1.05407385  1.62292914 
 0.59305218  0.25287832  1.05386805  1.62305858 
 0.59305235  0.25287467  1.05386755  1.62305683 
 0.59310300  0.25288669  1.05371818  1.62315034 
 0.59310439  0.25287836  1.05371405  1.62314808 
 0.59317053  0.25294332  1.05351925  1.62329758 
 0.59317074  0.25295249  1.05351823  1.62330292 
 0.59318488  0.25292455  1.05347667  1.62331170 
 0.59327543  0.25308366  1.05321005  1.62355527 
 0.59327635  0.25310228  1.05320723  1.62356715 
 0.59334827  0.25322331  1.05299544  1.62375759 
 0.59335061  0.25333700  1.05298814  1.62382452 
 0.59345136  0.25296126  1.05269182  1.62378918 
 0.59345278  0.25288978  1.05268748  1.62375198 
 0.59355270  0.25269137  1.05239351  1.62381364 
 0.59355303  0.25255956  1.05239224  1.62374114 
 0.59361821  0.25303598  1.05219991  1.62411672 
 0.59361848  0.25314660  1.05220030  1.62417872 
 0.59362757  0.25320472  1.05217070  1.62422574 
 0.59368192  0.25401610  1.05201175  1.62476825 
 0.59368241  0.25420709  1.05200842  1.62487429 
 0.59371000  0.25429151  1.05192942  1.62496882 
 0.59371034  0.25469415  1.05191933  1.62518975 
 0.59375240  0.25251617  1.05180162  1.62405863 
 0.59375437  0.25146304  1.05180039  1.62348070 
 0.59375423  0.25089707  1.05178551  1.62316336 
 0.59377085  0.24791124  1.05175734  1.62154603 
 0.59377084  0.24667488  1.05174251  1.62085832 
 0.59378467  0.24297587  1.05173258  1.61884450 
 0.59378500  0.24091833  1.05172522  1.61770551 
 0.59379544  0.23690128  1.05172982  1.61551108 
 0.59379557  0.23421763  1.05173216  1.61402774 
 0.59380363  0.22994896  1.05174815  1.61169088 
 0.59380337  0.22693296  1.05175842  1.61002456 
 0.59380946  0.22256163  1.05178230  1.60762761 
 0.59380914  0.21936313  1.05179839  1.60586137 
 0.59381370  0.21512457  1.05182550  1.60353437 
 0.59381360  0.21184862  1.05184482  1.60172628 
 0.59381628  0.20794228  1.05187065  1.59957767 
 0.59381617  0.20478519  1.05189066  1.59783518 
 0.59381693  0.20161954  1.05190953  1.59608972 
 0.59381523  0.19829391  1.05193320  1.59425046 
 0.59381445  0.19553848  1.05194777  1.59272699 
 0.59381350  0.19294843  1.05196100  1.59129423 
 0.59381199  0.18996263  1.05198241  1.58964267 
 0.59381190  0.18791981  1.05199020  1.58851363 
 0.59381205  0.18578237  1.05199705  1.58733260 
 0.59381245  0.18386178  1.05200220  1.58627184 
 0.59381191  0.18195303  1.05200839  1.58521544 
 0.59381177  0.18031203  1.05201177  1.58430769 
 0.59381180  0.17883382  1.05201454  1.58349029 
 0.59381198  0.17765035  1.05201556  1.58283605 
 0.59381198  0.17699900  1.05201400  1.58247530 
 0.59381414  0.17608696  1.05200809  1.58197493 
 0.59381528  0.17576891  1.05200247  1.58180074 
 0.59382526  0.17494645  1.05197193  1.58136495 
 0.59382703  0.17487234  1.05196609  1.58132729 
 0.59384750  0.17449291  1.05190297  1.58115695 
 0.59385080  0.17444091  1.05189342  1.58113466 
 0.59387454  0.17431472  1.05181969  1.58111069 
 0.59387429  0.17425819  1.05181839  1.58107855 
 0.59387432  0.17421906  1.05181800  1.58105691 
 0.59387203  0.17414700  1.05181946  1.58101159 
 0.59386937  0.17413001  1.05182795  1.58099711 
 0.59385043  0.17403284  1.05188535  1.58090652 
 0.59383989  0.17402550  1.05191516  1.58088154 
 0.59377297  0.17392679  1.05210680  1.58069469 
 0.59376874  0.17390985  1.05212256  1.58067763 
 0.59375664  0.17386069  1.05214973  1.58062516 
 0.59376865  0.17383987  1.05213210  1.58064042 
 0.59378669  0.17383060  1.05206541  1.58066820 
 0.59390160  0.17382376  1.05164828  1.58087541 
 0.59402002  0.17384676  1.05138572  1.58113618 
 0.59458094  0.17395954  1.04974080  1.58230020 
 0.59471840  0.17399576  1.04929030  1.58258154 
 0.59603005  0.17431861  1.04537423  1.58532345 
 0.59609347  0.17433281  1.04519653  1.58545739 
 0.59705661  0.17456780  1.04238579  1.58748143 
 0.59705299  0.17456348  1.04240554  1.58747363 
 0.59730528  0.17462001  1.04163401  1.58799467 
 0.59730288  0.17461732  1.04162624  1.58798581 
 0.59734826  0.17462064  1.04148966  1.58807621 
 0.59734806  0.17461707  1.04149588  1.58807490 
 0.59734909  0.17461279  1.04148624  1.58807341 
 0.59734907  0.17461015  1.04148151  1.58807106 
 0.59734724  0.17460639  1.04147630  1.58806351 
 0.59734703  0.17460316  1.04147500  1.58806100 
 0.59734680  0.17460052  1.04147434  1.58805887 
 0.59734824  0.17459717  1.04147632  1.58806102 
 0.59734601  0.17459546  1.04147304  1.58805391 
