Date & Time: 2018-11-19 20:23:12.400422
Euler test case, time = 1.90
dx = 0.01
dt = 0.001
nSteps = 2000
[Pressure]   [Density]    [Velocity]    [Internal Energy]
 0.59221364  0.25241760  1.05633801  1.62136420 
 0.59223432  0.25242908  1.05627717  1.62140607 
 0.59246965  0.25255857  1.05558440  1.62188190 
 0.59275326  0.25271477  1.05475028  1.62245551 
 0.59275660  0.25271640  1.05474044  1.62246215 
 0.59285562  0.25277223  1.05444924  1.62266313 
 0.59286152  0.25277638  1.05443191  1.62267555 
 0.59296178  0.25282943  1.05413710  1.62287711 
 0.59296356  0.25282974  1.05413187  1.62288034 
 0.59303161  0.25286636  1.05393174  1.62301748 
 0.59303304  0.25286503  1.05392756  1.62301919 
 0.59309294  0.25290818  1.05375138  1.62314595 
 0.59309362  0.25291200  1.05374937  1.62314924 
 0.59314709  0.25293859  1.05359209  1.62325577 
 0.59314906  0.25294009  1.05358628  1.62325998 
 0.59322289  0.25297172  1.05336924  1.62340425 
 0.59322323  0.25296922  1.05336808  1.62340342 
 0.59323873  0.25299283  1.05332256  1.62344313 
 0.59333564  0.25300060  1.05303769  1.62361382 
 0.59333758  0.25297887  1.05303198  1.62360510 
 0.59341848  0.25306790  1.05279419  1.62379334 
 0.59342258  0.25305192  1.05278207  1.62379152 
 0.59352902  0.25328497  1.05246938  1.62410338 
 0.59352912  0.25334714  1.05246904  1.62413798 
 0.59360208  0.25330685  1.05225459  1.62424089 
 0.59360274  0.25331908  1.05225256  1.62424879 
 0.59365290  0.25312911  1.05210503  1.62422972 
 0.59365368  0.25309285  1.05210270  1.62421097 
 0.59366194  0.25298392  1.05207810  1.62416479 
 0.59370835  0.25281198  1.05194180  1.62414942 
 0.59370835  0.25265315  1.05194105  1.62406133 
 0.59373842  0.25329261  1.05185281  1.62446679 
 0.59374006  0.25341380  1.05184828  1.62453673 
 0.59377206  0.25384988  1.05175335  1.62483262 
 0.59377228  0.25392840  1.05175599  1.62487732 
 0.59377267  0.25431105  1.05174860  1.62508796 
 0.59378500  0.25338283  1.05171570  1.62459661 
 0.59378508  0.25327836  1.05170877  1.62453721 
 0.59379490  0.25156024  1.05168762  1.62360596 
 0.59379483  0.25099348  1.05167864  1.62328997 
 0.59380343  0.24849947  1.05166792  1.62192945 
 0.59380351  0.24727722  1.05166131  1.62125203 
 0.59381025  0.24432180  1.05166072  1.61963438 
 0.59381014  0.24242400  1.05166082  1.61858467 
 0.59381472  0.23909219  1.05167168  1.61675638 
 0.59381474  0.23660744  1.05168278  1.61538510 
 0.59381545  0.23372852  1.05169849  1.61379865 
 0.59381392  0.23031016  1.05172434  1.61191060 
 0.59381408  0.22714294  1.05174012  1.61016310 
 0.59381771  0.22330685  1.05176342  1.60805600 
 0.59381772  0.22013648  1.05178081  1.60630650 
 0.59382106  0.21615934  1.05180600  1.60412074 
 0.59382082  0.21295904  1.05182585  1.60235434 
 0.59382296  0.20920830  1.05185086  1.60029041 
 0.59382291  0.20608457  1.05187076  1.59856657 
 0.59382341  0.20287260  1.05189107  1.59679524 
 0.59382338  0.19986324  1.05190931  1.59513411 
 0.59382363  0.19698080  1.05192599  1.59354345 
 0.59382351  0.19439836  1.05193902  1.59211701 
 0.59382456  0.19181740  1.05195067  1.59069400 
 0.59382433  0.19002151  1.05195232  1.58970007 
 0.59383129  0.18744143  1.05195051  1.58828955 
 0.59383130  0.18646904  1.05193589  1.58774869 
 0.59385371  0.18361485  1.05189554  1.58621776 
 0.59385372  0.18301188  1.05187791  1.58588079 
 0.59387270  0.18010842  1.05184240  1.58431525 
 0.59387280  0.17905460  1.05184376  1.58373280 
 0.59387226  0.17791980  1.05184632  1.58310416 
 0.59387159  0.17719119  1.05185630  1.58270128 
 0.59386313  0.17654040  1.05187378  1.58232336 
 0.59383484  0.17540370  1.05195802  1.58163935 
 0.59382044  0.17509088  1.05200455  1.58143882 
 0.59380927  0.17471521  1.05203767  1.58120910 
 0.59380971  0.17458713  1.05204073  1.58113990 
 0.59382370  0.17443314  1.05201522  1.58108496 
 0.59384179  0.17432067  1.05190208  1.58104721 
 0.59389970  0.17429133  1.05177736  1.58115290 
 0.59414025  0.17423032  1.05108393  1.58159349 
 0.59422931  0.17425150  1.05079560  1.58177503 
 0.59491775  0.17433498  1.04873605  1.58316532 
 0.59502992  0.17436084  1.04840319  1.58339908 
 0.59631240  0.17461556  1.04463427  1.58605654 
 0.59632050  0.17461184  1.04461747  1.58607172 
 0.59705769  0.17474103  1.04243147  1.58758656 
 0.59705787  0.17473061  1.04242298  1.58757981 
 0.59730158  0.17475087  1.04170423  1.58806921 
 0.59730291  0.17474121  1.04170543  1.58806750 
 0.59735794  0.17471953  1.04154326  1.58816380 
 0.59735808  0.17471091  1.04154062  1.58815899 
 0.59736592  0.17468856  1.04151159  1.58816118 
 0.59736580  0.17468011  1.04151088  1.58815618 
 0.59736677  0.17466366  1.04150780  1.58814912 
 0.59736692  0.17465582  1.04150666  1.58814505 
 0.59736692  0.17464795  1.04150515  1.58814049 
 0.59736665  0.17464147  1.04150409  1.58813610 
 0.59736586  0.17463080  1.04150230  1.58812803 
 0.59736578  0.17462802  1.04150215  1.58812629 
 0.59736517  0.17462091  1.04150117  1.58812073 
 0.59736518  0.17461765  1.04150117  1.58811900 
 0.59736454  0.17461574  1.04150023  1.58811618 
