Date & Time: 2018-11-19 20:23:14.832179
Euler test case, time = 2.00
dx = 0.01
dt = 0.001
nSteps = 2000
[Pressure]   [Density]    [Velocity]    [Internal Energy]
 0.59230206  0.25246666  1.05607732  1.62154309 
 0.59231799  0.25247551  1.05603020  1.62157529 
 0.59271977  0.25269715  1.05484864  1.62238820 
 0.59276180  0.25272007  1.05472514  1.62247311 
 0.59277949  0.25272944  1.05467318  1.62250868 
 0.59289936  0.25279601  1.05432085  1.62275148 
 0.59289930  0.25279612  1.05432105  1.62275143 
 0.59299025  0.25284659  1.05405377  1.62293561 
 0.59299038  0.25284733  1.05405339  1.62293625 
 0.59305400  0.25287897  1.05386641  1.62306304 
 0.59305501  0.25287786  1.05386346  1.62306416 
 0.59311367  0.25291302  1.05369105  1.62318439 
 0.59311465  0.25291328  1.05368816  1.62318622 
 0.59317143  0.25295132  1.05352131  1.62330480 
 0.59317316  0.25295517  1.05351620  1.62330991 
 0.59325044  0.25299193  1.05328912  1.62346300 
 0.59325052  0.25298879  1.05328883  1.62346137 
 0.59326596  0.25301469  1.05324345  1.62350226 
 0.59336947  0.25305141  1.05293937  1.62370037 
 0.59337060  0.25305392  1.05293605  1.62370368 
 0.59345844  0.25305448  1.05267801  1.62385486 
 0.59346202  0.25302454  1.05266748  1.62384442 
 0.59355776  0.25316283  1.05238631  1.62408545 
 0.59355882  0.25316816  1.05238316  1.62409022 
 0.59362205  0.25332443  1.05219739  1.62428533 
 0.59362258  0.25337528  1.05219587  1.62431438 
 0.59366806  0.25330384  1.05206214  1.62435288 
 0.59366831  0.25326959  1.05206155  1.62433441 
 0.59367632  0.25338367  1.05203756  1.62441117 
 0.59372098  0.25304489  1.05190644  1.62430045 
 0.59372189  0.25295418  1.05190375  1.62425180 
 0.59375163  0.25290393  1.05181629  1.62427509 
 0.59375273  0.25281041  1.05181268  1.62422515 
 0.59377653  0.25328586  1.05174274  1.62452903 
 0.59377661  0.25338770  1.05174287  1.62458559 
 0.59377833  0.25369164  1.05173673  1.62475635 
 0.59379122  0.25393957  1.05169971  1.62491580 
 0.59379122  0.25410124  1.05169723  1.62500455 
 0.59379974  0.25330726  1.05167491  1.62458081 
 0.59379968  0.25320220  1.05166932  1.62452107 
 0.59380661  0.25154466  1.05165572  1.62361818 
 0.59380657  0.25092303  1.05164995  1.62327280 
 0.59381158  0.24871469  1.05164571  1.62206305 
 0.59381142  0.24745967  1.05164377  1.62136814 
 0.59381471  0.24485295  1.05164885  1.61993621 
 0.59381474  0.24296233  1.05165407  1.61889214 
 0.59381590  0.24055912  1.05166349  1.61756848 
 0.59381571  0.23807150  1.05167579  1.61619544 
 0.59381544  0.23519145  1.05168354  1.61460398 
 0.59382024  0.23142137  1.05170186  1.61253550 
 0.59382025  0.22865012  1.05171451  1.61100598 
 0.59382345  0.22499446  1.05173575  1.60899722 
 0.59382311  0.22203831  1.05175209  1.60736522 
 0.59382635  0.21816254  1.05177810  1.60523562 
 0.59382612  0.21515696  1.05179690  1.60357686 
 0.59382856  0.21145770  1.05182284  1.60154253 
 0.59382843  0.20854134  1.05184102  1.59993296 
 0.59383065  0.20511045  1.05186333  1.59804540 
 0.59383044  0.20260307  1.05187416  1.59666010 
 0.59383570  0.19932157  1.05188769  1.59486069 
 0.59383596  0.19741257  1.05188344  1.59380434 
 0.59384923  0.19411392  1.05187543  1.59201096 
 0.59384993  0.19265197  1.05185954  1.59120070 
 0.59386672  0.18917386  1.05184009  1.58931472 
 0.59386692  0.18758462  1.05183920  1.58843591 
 0.59386923  0.18567352  1.05184544  1.58738569 
 0.59385979  0.18464202  1.05185655  1.58679364 
 0.59385507  0.18195830  1.05189582  1.58530471 
 0.59383807  0.18040841  1.05193165  1.58441156 
 0.59382122  0.17851567  1.05199523  1.58333417 
 0.59382174  0.17777215  1.05199906  1.58292476 
 0.59382174  0.17710204  1.05198225  1.58255081 
 0.59384726  0.17641760  1.05194651  1.58222924 
 0.59390016  0.17549550  1.05176873  1.58181849 
 0.59394438  0.17528534  1.05160206  1.58178208 
 0.59423650  0.17482425  1.05076154  1.58210296 
 0.59432591  0.17479240  1.05051871  1.58226431 
 0.59507400  0.17471036  1.04830106  1.58368268 
 0.59518836  0.17471918  1.04794175  1.58390761 
 0.59638894  0.17487579  1.04439785  1.58634671 
 0.59640441  0.17486369  1.04436065  1.58637199 
 0.59706553  0.17493270  1.04242250  1.58770866 
 0.59707245  0.17491558  1.04240271  1.58771306 
 0.59729621  0.17490461  1.04173667  1.58814510 
 0.59729680  0.17489055  1.04173077  1.58813786 
 0.59735919  0.17484473  1.04154854  1.58823581 
 0.59735957  0.17483044  1.04155109  1.58822947 
 0.59736970  0.17478675  1.04152154  1.58822572 
 0.59736983  0.17477388  1.04151982  1.58821875 
 0.59737115  0.17473910  1.04151409  1.58820214 
 0.59737118  0.17472292  1.04151351  1.58819332 
 0.59737135  0.17470228  1.04151224  1.58818234 
 0.59737138  0.17469300  1.04151168  1.58817725 
 0.59737136  0.17467876  1.04151073  1.58816933 
 0.59737120  0.17467067  1.04151030  1.58816446 
 0.59737052  0.17465176  1.04150894  1.58815226 
 0.59737048  0.17464796  1.04150891  1.58815008 
 0.59736988  0.17463625  1.04150805  1.58814208 
 0.59736989  0.17463186  1.04150806  1.58813973 
 0.59736917  0.17462889  1.04150701  1.58813612 
