Date & Time: 2018-11-19 20:24:03.412672
Euler test case, time = 0.30
dx = 0.01
dt = 1e-05
nSteps = 1000000
[Pressure]   [Density]    [Velocity]    [Internal Energy]
 0.59063392  0.24948292  1.08098602  1.62234902 
 0.58987605  0.24901503  1.08323445  1.62078686 
 0.58777436  0.24855153  1.08952062  1.61695809 
 0.58777758  0.24842415  1.08975529  1.61695405 
 0.58949562  0.25474825  1.08417666  1.62345958 
 0.59495381  0.25139274  1.06835336  1.63085172 
 0.59495432  0.25161263  1.06794919  1.63086985 
 0.59608722  0.23647858  1.06511359  1.62435662 
 0.59608724  0.23338888  1.06479462  1.62252481 
 0.59657857  0.21641360  1.06362816  1.61386131 
 0.59659186  0.21151678  1.06340702  1.61107489 
 0.59667410  0.19938843  1.06278683  1.60429145 
 0.59667873  0.19378135  1.06245411  1.60106787 
 0.59668202  0.18848566  1.06213846  1.59802397 
 0.59668243  0.18406501  1.06183742  1.59547261 
 0.59640540  0.17997934  1.06109717  1.59233533 
 0.59620497  0.17817404  1.06057697  1.59071959 
 0.59632991  0.17686559  1.06051044  1.59028360 
 0.59638682  0.17607773  1.06037636  1.58995777 
 0.59427225  0.17531606  1.05703672  1.58362326 
 0.59263543  0.17498585  1.05449925  1.57887796 
 0.59297643  0.17482792  1.05480023  1.57969816 
 0.59409190  0.17474570  1.05625281  1.58270901 
 0.58308483  0.17389687  1.03985211  1.55172875 
 0.57430022  0.17324499  1.02682117  1.52708199 
 0.61033943  0.17546149  1.07884710  1.62795936 
 0.62712888  0.17657860  1.10402260  1.67543503 
 0.42258013  0.16060356  0.77813548  1.10507264 
 0.20050337  0.14179853  0.33447621  0.50919022 
 0.12266868  0.13089418  0.09857470  0.30730765 
 0.10384932  0.12635102  0.01879270  0.25964561 
 0.10058965  0.12522632  0.00292916  0.25147466 
 0.10008633  0.12503364  0.00043512  0.25021585 
 0.10001278  0.12500499  0.00006248  0.25003195 
 0.10000178  0.12500070  0.00000939  0.25000446 
 0.10000028  0.12500011  0.00000126  0.25000070 
 0.10000003  0.12500001  0.00000021  0.25000009 
 0.10000001  0.12500000  0.00000002  0.25000002 
 0.10000000  0.12500000  0.00000001  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
