Date & Time: 2018-11-19 20:28:27.390022
Euler test case, time = 0.40
dx = 0.01
dt = 1e-05
nSteps = 1000000
[Pressure]   [Density]    [Velocity]    [Internal Energy]
 0.58919230  0.24859563  1.08546445  1.61943254 
 0.58917891  0.24857874  1.08551900  1.61940384 
 0.58921533  0.24857380  1.08533516  1.61944237 
 0.58974935  0.24845899  1.08390017  1.62032310 
 0.59103985  0.25003529  1.07984272  1.62337775 
 0.59552708  0.25501089  1.06659941  1.63387227 
 0.59552776  0.25635219  1.06646011  1.63459883 
 0.59627622  0.25176961  1.06438160  1.63330648 
 0.59627644  0.25138112  1.06403778  1.63299498 
 0.59669687  0.23957131  1.06315913  1.62713678 
 0.59669689  0.23661296  1.06290819  1.62540179 
 0.59701873  0.22295368  1.06229914  1.61834615 
 0.59707677  0.21605245  1.06228869  1.61459490 
 0.59707681  0.21054269  1.06208976  1.61144175 
 0.59725167  0.19722495  1.06193200  1.60433442 
 0.59725168  0.19352778  1.06189040  1.60224125 
 0.59737190  0.18652551  1.06165953  1.59854815 
 0.59739705  0.18368653  1.06162443  1.59700426 
 0.59742627  0.18207800  1.06155711  1.59615784 
 0.59747361  0.17938568  1.06128863  1.59470809 
 0.59748864  0.17803915  1.06115416  1.59396192 
 0.59750014  0.17674322  1.06097745  1.59322790 
 0.59750860  0.17599385  1.06081406  1.59279676 
 0.59751203  0.17559401  1.06068015  1.59255543 
 0.59749765  0.17528359  1.06047784  1.59230724 
 0.59727363  0.17502636  1.05999064  1.59151215 
 0.59725733  0.17490523  1.05980654  1.59136921 
 0.59741197  0.17479124  1.05987637  1.59170473 
 0.59726588  0.17469636  1.05949421  1.59121549 
 0.59590677  0.17452084  1.05737192  1.58732717 
 0.59603587  0.17446903  1.05740700  1.58762742 
 0.59834787  0.17454391  1.06062837  1.59404473 
 0.59357790  0.17417174  1.05349450  1.58059707 
 0.58058647  0.17327009  1.03433290  1.54415220 
 0.60136710  0.17451451  1.06419394  1.60223736 
 0.63989639  0.17697581  1.11963000  1.71066687 
 0.52388938  0.16809353  0.94263957  1.38440482 
 0.24538802  0.14620651  0.44283141  0.62780558 
 0.13739054  0.13347009  0.15084847  0.34499494 
 0.10661874  0.12717843  0.03174343  0.26661091 
 0.10102300  0.12538739  0.00508476  0.25255912 
 0.10015014  0.12505839  0.00074778  0.25037539 
 0.10002151  0.12500840  0.00010839  0.25005377 
 0.10000313  0.12500122  0.00001533  0.25000782 
 0.10000043  0.12500017  0.00000227  0.25000108 
 0.10000007  0.12500003  0.00000030  0.25000017 
 0.10000001  0.12500000  0.00000005  0.25000002 
 0.10000000  0.12500000  0.00000001  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
