Date & Time: 2018-11-19 20:37:25.690982
Euler test case, time = 0.60
dx = 0.01
dt = 1e-05
nSteps = 1000000
[Pressure]   [Density]    [Velocity]    [Internal Energy]
 0.58981958  0.24881400  1.08396789  1.62072549 
 0.58991013  0.24884584  1.08372106  1.62090399 
 0.59027487  0.24934158  1.08257166  1.62179652 
 0.59360462  0.25082070  1.07268942  1.62831655 
 0.59370322  0.25075609  1.07237932  1.62844249 
 0.59627784  0.25211101  1.06479021  1.63361359 
 0.59627806  0.25185298  1.06477980  1.63346506 
 0.59672055  0.25375101  1.06348359  1.63529724 
 0.59672963  0.25422429  1.06345189  1.63557901 
 0.59703785  0.25537042  1.06257435  1.63675943 
 0.59704507  0.25663576  1.06248715  1.63746802 
 0.59733009  0.25028889  1.06168169  1.63438404 
 0.59733008  0.24811537  1.06164175  1.63314854 
 0.59738201  0.24366849  1.06153131  1.63074379 
 0.59738202  0.24046563  1.06133998  1.62889040 
 0.59748983  0.23068177  1.06117272  1.62360850 
 0.59748979  0.22700358  1.06105728  1.62150961 
 0.59759777  0.21736154  1.06093875  1.61632451 
 0.59759778  0.21288444  1.06087271  1.61378993 
 0.59768605  0.20348768  1.06079278  1.60870558 
 0.59768608  0.20009594  1.06072612  1.60678317 
 0.59775814  0.19289024  1.06060155  1.60288412 
 0.59775816  0.19056333  1.06053386  1.60156175 
 0.59783082  0.18475280  1.06037379  1.59844439 
 0.59783082  0.18334937  1.06033505  1.59764787 
 0.59790518  0.17925784  1.06014113  1.59549682 
 0.59790536  0.17862704  1.06013001  1.59514069 
 0.59797222  0.17654563  1.05993382  1.59410150 
 0.59797223  0.17632832  1.05993036  1.59397881 
 0.59803352  0.17551461  1.05974315  1.59364012 
 0.59803375  0.17543269  1.05974088  1.59359428 
 0.59809081  0.17505812  1.05956584  1.59349414 
 0.59809098  0.17502573  1.05956215  1.59347568 
 0.59814437  0.17481899  1.05939854  1.59346282 
 0.59814439  0.17479897  1.05939326  1.59345064 
 0.59819423  0.17465672  1.05924661  1.59346829 
 0.59819959  0.17463355  1.05923434  1.59346642 
 0.59824227  0.17453002  1.05912188  1.59349426 
 0.59825988  0.17449361  1.05908772  1.59351153 
 0.59828740  0.17441800  1.05900247  1.59352219 
 0.59830270  0.17437145  1.05894347  1.59352346 
 0.59831677  0.17431674  1.05886859  1.59351413 
 0.59832266  0.17427612  1.05880772  1.59349485 
 0.59832452  0.17423270  1.05872714  1.59346029 
 0.59828278  0.17417912  1.05858818  1.59330028 
 0.59832579  0.17413816  1.05856796  1.59338114 
 0.59848397  0.17410405  1.05873294  1.59378789 
 0.59819307  0.17404800  1.05823842  1.59293811 
 0.59747582  0.17396552  1.05713899  1.59089652 
 0.59892295  0.17402523  1.05917658  1.59492291 
 0.60123462  0.17414383  1.06248446  1.60137970 
 0.59316596  0.17359462  1.05063772  1.57872521 
 0.58470725  0.17303241  1.03830005  1.55503840 
 0.62318118  0.17539695  1.09331019  1.66278132 
 0.64615125  0.17692469  1.12692041  1.72772086 
 0.45390771  0.16235534  0.82740274  1.19034312 
 0.20969124  0.14258040  0.35707540  0.53331780 
 0.12500039  0.13128841  0.10717462  0.31325499 
 0.10417740  0.12645004  0.02033880  0.26046966 
 0.10062450  0.12523929  0.00310963  0.25156185 
 0.10008958  0.12503490  0.00044794  0.25022396 
 0.10001271  0.12500496  0.00006340  0.25003177 
 0.10000178  0.12500070  0.00000898  0.25000446 
 0.10000025  0.12500010  0.00000125  0.25000064 
 0.10000003  0.12500001  0.00000018  0.25000009 
 0.10000001  0.12500000  0.00000002  0.25000001 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
