Date & Time: 2018-11-19 20:51:08.491575
Euler test case, time = 0.90
dx = 0.01
dt = 1e-05
nSteps = 1000000
[Pressure]   [Density]    [Velocity]    [Internal Energy]
 0.59219309  0.25004822  1.07722081  1.62556129 
 0.59236150  0.25014317  1.07673221  1.62590577 
 0.59319837  0.25056789  1.07422306  1.62756799 
 0.59615781  0.25217667  1.06548971  1.63353861 
 0.59615781  0.25214248  1.06548766  1.63351866 
 0.59682395  0.25273640  1.06351545  1.63499052 
 0.59682409  0.25288159  1.06351525  1.63507293 
 0.59714940  0.25273443  1.06254222  1.63554158 
 0.59715195  0.25269650  1.06253475  1.63552453 
 0.59739953  0.25245031  1.06178995  1.63580480 
 0.59739955  0.25220861  1.06178699  1.63566782 
 0.59752430  0.25307370  1.06140333  1.63636427 
 0.59752452  0.25304563  1.06139705  1.63634731 
 0.59764243  0.25458974  1.06103540  1.63741413 
 0.59764252  0.25511556  1.06102500  1.63770754 
 0.59774618  0.25435918  1.06070960  1.63745582 
 0.59774618  0.25461280  1.06067089  1.63758803 
 0.59783523  0.25128957  1.06042711  1.63587633 
 0.59783524  0.25077832  1.06036012  1.63557110 
 0.59792140  0.24542526  1.06016500  1.63272634 
 0.59792143  0.24390991  1.06008581  1.63185435 
 0.59800430  0.23720663  1.05993731  1.62825767 
 0.59800432  0.23480245  1.05985951  1.62688786 
 0.59808292  0.22732819  1.05974950  1.62285991 
 0.59808293  0.22435695  1.05968092  1.62117519 
 0.59815538  0.21670894  1.05959737  1.61704306 
 0.59815539  0.21359790  1.05953894  1.61528341 
 0.59822098  0.20630022  1.05946648  1.61133526 
 0.59822099  0.20345523  1.05941506  1.60972752 
 0.59828040  0.19687124  1.05934022  1.60616562 
 0.59828042  0.19456213  1.05929526  1.60486077 
 0.59833363  0.18891327  1.05921269  1.60180795 
 0.59833364  0.18727488  1.05917613  1.60088165 
 0.59838330  0.18265553  1.05907774  1.59839564 
 0.59838330  0.18166893  1.05905570  1.59783810 
 0.59842877  0.17834998  1.05894434  1.59606948 
 0.59842877  0.17782921  1.05893924  1.59577653 
 0.59846624  0.17617608  1.05883323  1.59492354 
 0.59846663  0.17599225  1.05883415  1.59482164 
 0.59850009  0.17532044  1.05873401  1.59451011 
 0.59850043  0.17526612  1.05873835  1.59448132 
 0.59852772  0.17494984  1.05865213  1.59435631 
 0.59852949  0.17492832  1.05865471  1.59434917 
 0.59855427  0.17473878  1.05856750  1.59428876 
 0.59855554  0.17473035  1.05857277  1.59428819 
 0.59857401  0.17458502  1.05849490  1.59423856 
 0.59857674  0.17455037  1.05848369  1.59422390 
 0.59858425  0.17446088  1.05844217  1.59418487 
 0.59858693  0.17442018  1.05842180  1.59416501 
 0.59858694  0.17438497  1.05839476  1.59414032 
 0.59859718  0.17432439  1.05835265  1.59412422 
 0.59860108  0.17426339  1.05831886  1.59409357 
 0.59860112  0.17421931  1.05829528  1.59406466 
 0.59860112  0.17418171  1.05827677  1.59404018 
 0.59859839  0.17414298  1.05825224  1.59400714 
 0.59860330  0.17410404  1.05821945  1.59399157 
 0.59860330  0.17406137  1.05819822  1.59396377 
 0.59860330  0.17403274  1.05818461  1.59394522 
 0.59860233  0.17399688  1.05816198  1.59391856 
 0.59860232  0.17397600  1.05814705  1.59390411 
 0.59860097  0.17395320  1.05813053  1.59388493 
 0.59860339  0.17392542  1.05811133  1.59387188 
 0.59860345  0.17391041  1.05810467  1.59386240 
 0.59860454  0.17387918  1.05808550  1.59384414 
 0.59860454  0.17386688  1.05807738  1.59383575 
 0.59860417  0.17385350  1.05806716  1.59382546 
 0.59860443  0.17384344  1.05805935  1.59381904 
 0.59860448  0.17383199  1.05805066  1.59381114 
 0.59860098  0.17382005  1.05803805  1.59379340 
 0.59860158  0.17381137  1.05803138  1.59378881 
 0.59861719  0.17380294  1.05804670  1.59382593 
 0.59862090  0.17379761  1.05804529  1.59383196 
 0.59857694  0.17378825  1.05797453  1.59370383 
 0.59857328  0.17378346  1.05796266  1.59368981 
 0.59878286  0.17379181  1.05826199  1.59427347 
 0.59872171  0.17378450  1.05816881  1.59409936 
 0.59786439  0.17372597  1.05691987  1.59169385 
 0.59848568  0.17376283  1.05782231  1.59343347 
 0.60174084  0.17396798  1.06254881  1.60255790 
 0.59764464  0.17370256  1.05657824  1.59106868 
 0.58530453  0.17291347  1.03856238  1.55651458 
 0.60830001  0.17432703  1.07155324  1.62083348 
 0.65118145  0.17708083  1.13291266  1.74159446 
 0.53729115  0.16857491  0.96126975  1.42111281 
 0.25033146  0.14647660  0.45307453  0.64086275 
 0.13849670  0.13359289  0.15433749  0.34783286 
 0.10672587  0.12720211  0.03224122  0.26688079 
 0.10102362  0.12538738  0.00508286  0.25256067 
 0.10014726  0.12505727  0.00073557  0.25036817 
 0.10002082  0.12500813  0.00010407  0.25005205 
 0.10000292  0.12500114  0.00001463  0.25000731 
 0.10000041  0.12500016  0.00000205  0.25000103 
 0.10000006  0.12500002  0.00000029  0.25000014 
 0.10000001  0.12500000  0.00000004  0.25000002 
 0.10000000  0.12500000  0.00000001  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
