Date & Time: 2018-11-19 21:00:24.312648
Euler test case, time = 1.10
dx = 0.01
dt = 1e-05
nSteps = 1000000
[Pressure]   [Density]    [Velocity]    [Internal Energy]
 0.59392104  0.25097510  1.07218613  1.62906097 
 0.59405201  0.25104372  1.07180334  1.62932482 
 0.59477465  0.25147939  1.06965816  1.63080402 
 0.59670864  0.25252450  1.06396549  1.63470333 
 0.59670862  0.25252286  1.06396493  1.63470218 
 0.59705835  0.25267290  1.06293211  1.63538390 
 0.59707232  0.25263975  1.06289151  1.63538921 
 0.59736747  0.25293840  1.06201812  1.63606106 
 0.59736749  0.25296852  1.06201795  1.63607806 
 0.59752631  0.25313614  1.06154432  1.63644233 
 0.59752631  0.25325087  1.06154418  1.63650696 
 0.59764258  0.25282823  1.06119443  1.63646563 
 0.59764343  0.25272865  1.06119189  1.63641102 
 0.59776301  0.25256453  1.06083209  1.63652112 
 0.59776302  0.25232070  1.06082984  1.63638336 
 0.59786730  0.25335851  1.06051552  1.63714354 
 0.59786732  0.25341149  1.06051179  1.63717239 
 0.59796454  0.25461600  1.06021968  1.63801391 
 0.59796471  0.25503915  1.06021232  1.63825018 
 0.59805015  0.25442311  1.05995807  1.63804897 
 0.59805016  0.25469033  1.05993082  1.63819175 
 0.59812853  0.25190435  1.05971662  1.63676552 
 0.59812854  0.25160815  1.05966732  1.63658610 
 0.59820329  0.24709720  1.05949130  1.63419423 
 0.59820331  0.24602491  1.05942963  1.63357635 
 0.59827384  0.24030214  1.05929267  1.63050624 
 0.59827386  0.23845352  1.05922946  1.62945315 
 0.59833894  0.23197365  1.05912874  1.62595600 
 0.59833894  0.22950827  1.05907193  1.62455941 
 0.59839730  0.22271288  1.05900079  1.62087757 
 0.59839730  0.21989695  1.05895348  1.61928755 
 0.59844813  0.21319589  1.05890237  1.61564585 
 0.59844814  0.21032571  1.05886399  1.61402821 
 0.59849130  0.20405596  1.05882314  1.61061247 
 0.59849131  0.20140015  1.05879105  1.60911695 
 0.59852731  0.19579434  1.05875295  1.60605687 
 0.59852732  0.19354417  1.05872640  1.60479028 
 0.59855660  0.18877981  1.05868676  1.60218537 
 0.59855660  0.18711502  1.05866204  1.60124752 
 0.59858494  0.18314406  1.05860751  1.59908254 
 0.59858495  0.18207419  1.05858808  1.59847933 
 0.59860827  0.17894751  1.05853034  1.59677482 
 0.59860828  0.17824803  1.05852293  1.59638155 
 0.59862270  0.17652661  1.05847396  1.59544405 
 0.59862270  0.17626639  1.05847183  1.59529788 
 0.59863532  0.17541415  1.05842206  1.59484278 
 0.59863603  0.17534075  1.05841925  1.59480293 
 0.59865137  0.17494146  1.05835919  1.59460651 
 0.59865137  0.17488737  1.05835822  1.59457604 
 0.59865557  0.17469876  1.05833311  1.59447626 
 0.59865557  0.17464553  1.05832579  1.59444509 
 0.59865957  0.17460514  1.05831225  1.59442996 
 0.59866835  0.17452028  1.05827360  1.59439726 
 0.59866835  0.17447594  1.05826738  1.59437128 
 0.59866986  0.17444652  1.05826054  1.59435731 
 0.59867344  0.17432140  1.05824137  1.59429267 
 0.59867344  0.17430024  1.05823793  1.59428019 
 0.59867870  0.17424267  1.05821751  1.59425733 
 0.59868027  0.17419374  1.05820987  1.59423247 
 0.59868079  0.17418102  1.05820586  1.59422590 
 0.59868551  0.17410763  1.05818921  1.59419354 
 0.59868551  0.17409908  1.05818832  1.59418860 
 0.59869002  0.17405109  1.05817594  1.59417072 
 0.59869115  0.17403595  1.05817430  1.59416476 
 0.59869357  0.17400049  1.05816711  1.59414963 
 0.59869451  0.17397768  1.05816226  1.59413832 
 0.59869506  0.17395681  1.05815749  1.59412714 
 0.59869528  0.17393163  1.05815095  1.59411238 
 0.59869528  0.17391577  1.05814731  1.59410284 
 0.59869486  0.17388795  1.05813958  1.59408479 
 0.59869486  0.17387609  1.05813733  1.59407773 
 0.59869291  0.17385363  1.05812767  1.59405851 
 0.59869050  0.17384756  1.05812357  1.59404834 
 0.59868811  0.17383077  1.05811607  1.59403158 
 0.59868788  0.17382519  1.05811527  1.59402774 
 0.59868059  0.17381073  1.05810105  1.59399881 
 0.59867727  0.17380708  1.05809525  1.59398739 
 0.59867230  0.17379759  1.05808400  1.59396758 
 0.59867042  0.17379385  1.05807994  1.59396004 
 0.59866572  0.17378730  1.05806949  1.59394270 
 0.59866100  0.17378382  1.05806097  1.59392739 
 0.59865315  0.17377941  1.05804708  1.59390275 
 0.59864786  0.17377668  1.05803776  1.59388628 
 0.59864478  0.17377432  1.05803173  1.59387615 
 0.59864454  0.17377250  1.05803015  1.59387422 
 0.59864322  0.17377002  1.05802668  1.59386890 
 0.59863676  0.17376778  1.05801598  1.59384953 
 0.59863093  0.17376636  1.05800675  1.59383248 
 0.59863010  0.17376534  1.05800482  1.59382947 
 0.59863649  0.17376450  1.05801472  1.59384680 
 0.59864066  0.17376358  1.05802734  1.59385902 
 0.59855363  0.17375558  1.05793393  1.59361979 
 0.59863742  0.17375461  1.05818026  1.59387402 
 0.59848202  0.17371871  1.05851317  1.59352662 
 0.59852171  0.17364062  1.06035643  1.59392120 
 0.59555204  0.17336927  1.05929496  1.58614944 
 0.60084259  0.17390873  1.06831902  1.60134798 
 0.59388944  0.17437476  1.05248377  1.58130300 
 0.60380942  0.17600822  1.05347530  1.60719140 
 0.60199520  0.17529623  1.04269778  1.60028067 
