Date & Time: 2018-11-19 21:05:03.191217
Euler test case, time = 1.20
dx = 0.01
dt = 1e-05
nSteps = 1000000
[Pressure]   [Density]    [Velocity]    [Internal Energy]
 0.59460674  0.25134068  1.07018033  1.63044532 
 0.59471587  0.25140020  1.06986087  1.63066630 
 0.59534745  0.25174840  1.06799166  1.63194153 
 0.59688614  0.25261962  1.06346662  1.63506685 
 0.59688633  0.25263094  1.06346567  1.63507348 
 0.59716016  0.25275174  1.06265834  1.63560944 
 0.59717500  0.25274750  1.06261503  1.63563252 
 0.59744039  0.25288120  1.06183209  1.63616116 
 0.59744039  0.25284871  1.06183201  1.63614283 
 0.59757348  0.25309896  1.06143692  1.63651047 
 0.59757479  0.25316280  1.06143338  1.63654874 
 0.59769549  0.25321893  1.06107396  1.63678552 
 0.59769589  0.25331329  1.06107250  1.63683925 
 0.59781286  0.25285682  1.06072393  1.63678120 
 0.59781286  0.25274225  1.06072370  1.63671669 
 0.59791366  0.25262970  1.06042221  1.63682461 
 0.59791398  0.25239861  1.06041905  1.63669463 
 0.59800976  0.25343067  1.06013304  1.63743750 
 0.59800979  0.25348604  1.06012968  1.63746778 
 0.59809984  0.25462606  1.05986167  1.63826119 
 0.59810011  0.25501666  1.05985511  1.63847946 
 0.59818067  0.25449974  1.05961777  1.63832654 
 0.59818068  0.25476468  1.05959493  1.63846914 
 0.59825339  0.25223648  1.05939696  1.63717875 
 0.59825339  0.25201285  1.05935469  1.63704197 
 0.59832176  0.24785272  1.05919306  1.63483613 
 0.59832175  0.24692169  1.05913953  1.63429985 
 0.59838514  0.24161609  1.05901532  1.63145071 
 0.59838515  0.23994907  1.05896002  1.63050188 
 0.59844269  0.23390743  1.05887080  1.62723610 
 0.59844269  0.23161185  1.05882142  1.62593708 
 0.59849331  0.22522551  1.05876211  1.62246960 
 0.59849331  0.22251174  1.05872244  1.62093922 
 0.59853626  0.21615150  1.05868524  1.61747351 
 0.59853627  0.21327999  1.05865511  1.61585751 
 0.59857185  0.20726406  1.05863045  1.61256988 
 0.59857186  0.20451423  1.05860622  1.61102379 
 0.59860190  0.19904764  1.05858337  1.60803103 
 0.59860190  0.19664058  1.05856132  1.60667776 
 0.59862725  0.19179278  1.05853647  1.60401998 
 0.59862726  0.18975316  1.05852009  1.60287401 
 0.59864403  0.18582687  1.05849973  1.60071230 
 0.59864404  0.18434192  1.05848598  1.59987775 
 0.59866113  0.18120682  1.05845029  1.59815736 
 0.59866113  0.18038294  1.05843615  1.59769317 
 0.59867553  0.17776983  1.05839805  1.59625829 
 0.59867553  0.17714426  1.05839203  1.59590677 
 0.59868109  0.17609541  1.05836552  1.59532828 
 0.59868397  0.17566757  1.05835932  1.59509469 
 0.59868666  0.17529835  1.05833974  1.59489099 
 0.59869209  0.17500613  1.05831457  1.59473626 
 0.59869435  0.17480723  1.05829855  1.59462757 
 0.59869435  0.17472481  1.05829310  1.59458041 
 0.59869415  0.17466388  1.05828299  1.59454392 
 0.59869954  0.17463024  1.05826476  1.59453516 
 0.59870170  0.17451655  1.05824640  1.59447352 
 0.59870162  0.17444427  1.05823798  1.59443130 
 0.59870180  0.17438470  1.05823073  1.59439705 
 0.59870180  0.17434260  1.05822260  1.59437198 
 0.59870463  0.17428849  1.05820694  1.59434586 
 0.59870482  0.17424418  1.05820064  1.59432037 
 0.59870487  0.17420599  1.05819385  1.59429786 
 0.59870543  0.17415450  1.05818334  1.59426850 
 0.59870543  0.17412073  1.05817761  1.59424853 
 0.59870543  0.17409076  1.05817282  1.59423087 
 0.59870506  0.17404705  1.05816400  1.59420384 
 0.59870481  0.17403092  1.05816051  1.59419356 
 0.59870438  0.17399599  1.05815339  1.59417162 
 0.59870436  0.17397808  1.05815036  1.59416099 
 0.59870360  0.17395092  1.05814570  1.59414302 
 0.59870395  0.17392887  1.05814222  1.59413090 
 0.59870391  0.17390843  1.05813997  1.59411895 
 0.59870416  0.17389248  1.05813831  1.59411034 
 0.59870454  0.17386766  1.05813532  1.59409683 
 0.59870482  0.17386006  1.05813443  1.59409314 
 0.59870519  0.17384196  1.05813133  1.59408334 
 0.59870530  0.17383455  1.05812992  1.59407922 
 0.59870542  0.17382446  1.05812744  1.59407341 
 0.59870544  0.17381606  1.05812544  1.59406839 
 0.59870521  0.17380797  1.05812279  1.59406280 
 0.59870521  0.17380214  1.05812134  1.59405927 
 0.59870402  0.17379458  1.05811733  1.59405134 
 0.59870402  0.17379139  1.05811676  1.59404945 
 0.59870044  0.17378481  1.05811018  1.59403558 
 0.59870043  0.17378333  1.05811098  1.59403489 
 0.59869203  0.17377774  1.05810563  1.59400977 
 0.59869197  0.17377696  1.05811263  1.59401046 
 0.59866578  0.17376840  1.05814278  1.59394575 
 0.59865819  0.17376557  1.05817767  1.59393162 
 0.59855917  0.17373745  1.05844880  1.59371815 
 0.59850418  0.17372517  1.05856107  1.59359446 
 0.59817793  0.17363644  1.05952362  1.59290612 
 0.59814691  0.17362904  1.05958753  1.59283617 
 0.59814691  0.17363616  1.05946767  1.59281812 
 0.59848371  0.17370708  1.05882922  1.59358246 
 0.59902804  0.17392275  1.05674560  1.59468084 
 0.60056377  0.17419564  1.05218742  1.59783527 
 0.60182991  0.17487970  1.04871806  1.60074196 
 0.60182995  0.17500573  1.04883508  1.60083285 
 0.60180065  0.17510806  1.04878342  1.60080639 
