Date & Time: 2018-11-19 21:09:40.875543
Euler test case, time = 1.30
dx = 0.01
dt = 1e-05
nSteps = 1000000
[Pressure]   [Density]    [Velocity]    [Internal Energy]
 0.59517486  0.25165587  1.06851650  1.63159836 
 0.59526433  0.25170610  1.06825435  1.63178022 
 0.59580739  0.25199128  1.06665075  1.63286923 
 0.59702712  0.25267582  1.06306624  1.63534352 
 0.59702723  0.25267883  1.06306568  1.63534534 
 0.59724980  0.25281475  1.06241044  1.63580252 
 0.59726409  0.25283566  1.06236863  1.63583882 
 0.59750150  0.25291728  1.06166972  1.63629066 
 0.59750152  0.25289682  1.06166963  1.63627917 
 0.59761601  0.25298299  1.06133106  1.63652303 
 0.59761879  0.25295264  1.06132305  1.63651074 
 0.59774501  0.25323653  1.06094975  1.63688586 
 0.59774503  0.25331374  1.06094978  1.63692937 
 0.59785653  0.25329539  1.06061944  1.63710903 
 0.59785654  0.25337225  1.06061892  1.63715215 
 0.59795614  0.25289158  1.06032349  1.63705156 
 0.59795630  0.25276579  1.06032281  1.63698109 
 0.59805066  0.25269610  1.06004246  1.63710270 
 0.59805069  0.25248860  1.06004022  1.63698559 
 0.59813909  0.25347114  1.05977829  1.63768824 
 0.59813910  0.25351729  1.05977528  1.63771339 
 0.59822363  0.25462497  1.05952579  1.63847942 
 0.59822369  0.25497975  1.05952086  1.63867738 
 0.59829761  0.25458416  1.05930475  1.63858183 
 0.59829761  0.25485154  1.05928550  1.63872668 
 0.59836371  0.25255092  1.05910604  1.63755315 
 0.59836372  0.25237197  1.05906995  1.63744318 
 0.59842447  0.24854447  1.05892633  1.63541073 
 0.59842449  0.24771176  1.05888028  1.63493183 
 0.59847984  0.24279709  1.05877224  1.63228721 
 0.59847986  0.24125665  1.05872495  1.63141176 
 0.59852910  0.23563427  1.05865045  1.62836521 
 0.59852911  0.23345997  1.05860907  1.62713661 
 0.59857165  0.22748698  1.05856310  1.62388506 
 0.59857167  0.22486063  1.05853087  1.62240594 
 0.59860769  0.21885533  1.05850521  1.61912562 
 0.59860769  0.21601125  1.05848168  1.61752694 
 0.59863741  0.21023699  1.05846852  1.61436363 
 0.59863741  0.20738898  1.05845247  1.61276471 
 0.59866059  0.20208789  1.05844628  1.60985188 
 0.59866059  0.19944071  1.05843490  1.60836663 
 0.59867852  0.19480007  1.05842897  1.60581081 
 0.59867851  0.19257305  1.05841747  1.60456102 
 0.59869394  0.18853932  1.05840504  1.60233773 
 0.59869394  0.18672660  1.05839485  1.60132038 
 0.59870386  0.18347443  1.05838457  1.59952164 
 0.59870386  0.18207835  1.05837780  1.59873841 
 0.59871092  0.17972122  1.05836205  1.59743288 
 0.59871158  0.17894880  1.05835290  1.59700021 
 0.59871983  0.17701583  1.05832670  1.59593333 
 0.59871983  0.17644061  1.05832149  1.59561022 
 0.59872114  0.17574545  1.05831213  1.59522246 
 0.59872385  0.17540867  1.05830239  1.59503882 
 0.59872676  0.17501001  1.05827956  1.59481863 
 0.59872669  0.17486511  1.05827266  1.59473604 
 0.59872763  0.17474368  1.05826535  1.59466903 
 0.59872840  0.17467588  1.05825873  1.59463177 
 0.59873010  0.17456397  1.05824171  1.59457021 
 0.59873010  0.17451600  1.05823678  1.59454244 
 0.59872964  0.17445277  1.05822951  1.59450455 
 0.59873010  0.17439659  1.05822280  1.59447299 
 0.59873012  0.17433809  1.05821524  1.59443888 
 0.59873012  0.17430430  1.05821092  1.59441917 
 0.59872914  0.17422787  1.05819842  1.59437163 
 0.59872886  0.17422091  1.05819735  1.59436685 
 0.59872775  0.17414101  1.05818616  1.59431727 
 0.59872743  0.17413298  1.05818517  1.59431178 
 0.59872670  0.17407349  1.05817676  1.59427512 
 0.59872488  0.17405059  1.05817243  1.59425695 
 0.59872488  0.17402724  1.05816990  1.59424340 
 0.59872359  0.17398737  1.05816533  1.59421700 
 0.59872132  0.17396463  1.05815955  1.59419753 
 0.59872131  0.17395135  1.05815795  1.59418979 
 0.59871948  0.17391891  1.05815174  1.59416591 
 0.59871913  0.17391483  1.05815044  1.59416251 
 0.59871758  0.17387992  1.05814348  1.59413781 
 0.59871741  0.17387658  1.05814300  1.59413543 
 0.59871544  0.17385028  1.05813690  1.59411467 
 0.59871446  0.17384627  1.05813515  1.59410965 
 0.59871342  0.17382978  1.05813169  1.59409718 
 0.59871129  0.17381902  1.05812929  1.59408537 
 0.59871007  0.17381563  1.05812932  1.59408044 
 0.59870945  0.17380703  1.05813380  1.59407489 
 0.59870161  0.17379837  1.05814387  1.59405230 
 0.59869971  0.17379632  1.05815893  1.59404917 
 0.59866832  0.17377857  1.05824542  1.59397666 
 0.59864752  0.17377273  1.05829701  1.59393088 
 0.59851416  0.17373003  1.05870252  1.59364814 
 0.59844068  0.17371007  1.05889940  1.59348946 
 0.59836264  0.17368464  1.05915208  1.59332658 
 0.59838309  0.17368841  1.05910017  1.59337028 
 0.59844702  0.17371071  1.05875878  1.59347980 
 0.59889506  0.17381315  1.05771911  1.59446609 
 0.59930149  0.17392906  1.05644841  1.59531339 
 0.60110609  0.17440316  1.05096877  1.59908245 
 0.60125339  0.17444338  1.05048572  1.59938439 
 0.60184501  0.17463209  1.04884144  1.60066614 
 0.60184507  0.17464546  1.04887441  1.60067969 
 0.60184936  0.17469308  1.04886032  1.60071401 
 0.60182966  0.17472204  1.04882845  1.60067485 
