Date & Time: 2018-11-19 21:14:19.530902
Euler test case, time = 1.40
dx = 0.01
dt = 1e-05
nSteps = 1000000
[Pressure]   [Density]    [Velocity]    [Internal Energy]
 0.59563974  0.25191598  1.06715413  1.63254257 
 0.59571241  0.25195628  1.06694112  1.63268991 
 0.59617634  0.25220829  1.06557348  1.63362542 
 0.59714231  0.25273240  1.06273633  1.63557485 
 0.59714240  0.25272868  1.06273591  1.63557286 
 0.59732880  0.25284688  1.06218781  1.63595835 
 0.59734190  0.25286155  1.06214943  1.63598908 
 0.59755437  0.25297525  1.06152485  1.63641661 
 0.59755441  0.25298293  1.06152471  1.63642099 
 0.59765784  0.25298034  1.06121979  1.63659623 
 0.59766189  0.25294515  1.06120802  1.63658339 
 0.59779017  0.25309434  1.06083007  1.63688660 
 0.59779018  0.25307871  1.06083002  1.63687782 
 0.59789615  0.25334969  1.06051740  1.63721121 
 0.59789630  0.25343676  1.06051696  1.63726043 
 0.59799510  0.25336067  1.06022518  1.63738626 
 0.59799510  0.25342742  1.06022463  1.63742364 
 0.59808863  0.25293746  1.05994853  1.63730804 
 0.59808864  0.25281211  1.05994821  1.63723756 
 0.59817560  0.25275180  1.05969118  1.63735223 
 0.59817564  0.25255296  1.05968897  1.63724011 
 0.59825769  0.25349656  1.05944730  1.63791012 
 0.59825769  0.25353525  1.05944454  1.63793110 
 0.59833406  0.25461366  1.05922050  1.63866681 
 0.59833423  0.25494471  1.05921613  1.63885175 
 0.59840100  0.25465114  1.05902192  1.63880162 
 0.59840100  0.25490918  1.05900593  1.63894201 
 0.59845905  0.25283377  1.05884887  1.63788129 
 0.59845905  0.25268754  1.05881829  1.63779115 
 0.59851146  0.24916111  1.05869508  1.63591293 
 0.59851146  0.24839529  1.05865617  1.63547352 
 0.59855828  0.24385080  1.05856621  1.63302072 
 0.59855827  0.24240587  1.05852655  1.63220096 
 0.59859952  0.23718634  1.05846661  1.62936484 
 0.59859951  0.23511568  1.05843242  1.62819637 
 0.59863492  0.22953004  1.05839805  1.62514781 
 0.59863491  0.22697264  1.05837289  1.62370933 
 0.59866414  0.22131149  1.05835860  1.62060839 
 0.59866413  0.21846023  1.05834306  1.61900789 
 0.59868736  0.21299212  1.05834181  1.61600330 
 0.59868736  0.21007348  1.05833334  1.61436683 
 0.59870554  0.20499018  1.05833766  1.61156641 
 0.59870554  0.20219394  1.05833330  1.60999948 
 0.59871910  0.19765336  1.05833887  1.60749165 
 0.59871910  0.19513067  1.05833682  1.60607842 
 0.59872873  0.19122935  1.05834036  1.60391832 
 0.59872873  0.18910416  1.05833732  1.60272751 
 0.59873586  0.18596004  1.05833619  1.60098428 
 0.59873585  0.18439781  1.05833136  1.60010842 
 0.59874218  0.18173341  1.05832071  1.59863003 
 0.59874359  0.18025369  1.05831883  1.59780453 
 0.59874359  0.17933399  1.05830977  1.59728776 
 0.59874892  0.17720511  1.05829564  1.59610623 
 0.59874895  0.17640199  1.05829316  1.59565611 
 0.59874897  0.17599027  1.05828810  1.59542466 
 0.59875144  0.17544306  1.05827324  1.59512166 
 0.59875226  0.17513420  1.05826599  1.59494940 
 0.59875257  0.17490219  1.05825912  1.59481898 
 0.59875257  0.17478738  1.05825473  1.59475388 
 0.59875239  0.17467850  1.05824821  1.59469127 
 0.59875239  0.17459250  1.05824137  1.59464186 
 0.59875239  0.17452689  1.05823597  1.59460410 
 0.59875238  0.17446738  1.05823122  1.59456988 
 0.59875177  0.17438259  1.05822296  1.59451935 
 0.59875177  0.17435722  1.05822062  1.59450472 
 0.59875133  0.17428206  1.05821349  1.59446022 
 0.59875133  0.17426209  1.05821248  1.59444886 
 0.59874936  0.17417895  1.05820399  1.59439582 
 0.59874869  0.17417172  1.05820297  1.59438990 
 0.59874646  0.17409927  1.05819515  1.59434233 
 0.59874593  0.17409146  1.05819357  1.59433635 
 0.59874549  0.17404206  1.05818897  1.59430673 
 0.59874343  0.17400832  1.05818365  1.59428171 
 0.59874288  0.17399152  1.05818109  1.59427047 
 0.59874288  0.17396497  1.05817921  1.59425526 
 0.59874035  0.17393746  1.05817364  1.59423251 
 0.59873804  0.17392304  1.05816980  1.59421794 
 0.59873804  0.17390526  1.05816971  1.59420798 
 0.59873380  0.17387753  1.05816686  1.59418133 
 0.59873093  0.17387257  1.05816720  1.59417144 
 0.59872661  0.17384909  1.05817813  1.59414949 
 0.59871569  0.17383547  1.05819409  1.59411752 
 0.59870592  0.17382867  1.05822318  1.59409464 
 0.59866069  0.17380080  1.05834874  1.59398903 
 0.59863709  0.17379419  1.05840781  1.59393719 
 0.59849923  0.17374491  1.05880777  1.59363851 
 0.59848626  0.17373760  1.05883639  1.59360725 
 0.59848411  0.17373222  1.05883099  1.59359787 
 0.59855576  0.17374381  1.05870533  1.59376037 
 0.59864060  0.17377141  1.05826563  1.59390708 
 0.59919834  0.17391077  1.05666616  1.59508531 
 0.59956477  0.17400224  1.05569084  1.59587320 
 0.60117572  0.17442296  1.05091622  1.59925783 
 0.60117568  0.17442527  1.05085733  1.59924821 
 0.60178786  0.17458335  1.04903122  1.60053120 
 0.60178781  0.17458148  1.04904332  1.60053226 
 0.60185351  0.17460669  1.04887272  1.60067915 
 0.60185378  0.17461302  1.04887638  1.60068399 
 0.60185348  0.17462455  1.04887085  1.60068855 
 0.60184931  0.17463383  1.04886410  1.60068201 
