Date & Time: 2018-11-19 21:18:56.461558
Euler test case, time = 1.50
dx = 0.01
dt = 1e-05
nSteps = 1000000
[Pressure]   [Density]    [Velocity]    [Internal Energy]
 0.59601746  0.25212282  1.06604679  1.63330685 
 0.59607611  0.25215457  1.06587481  1.63342530 
 0.59647378  0.25237894  1.06470406  1.63423217 
 0.59723866  0.25279167  1.06245858  1.63577456 
 0.59723879  0.25278967  1.06245810  1.63577363 
 0.59739852  0.25287559  1.06198882  1.63609542 
 0.59741024  0.25287821  1.06195447  1.63611697 
 0.59760208  0.25300365  1.06139113  1.63651596 
 0.59760211  0.25301400  1.06139101  1.63652185 
 0.59769956  0.25304355  1.06110434  1.63670514 
 0.59770410  0.25304758  1.06109111  1.63671519 
 0.59783272  0.25305882  1.06071301  1.63694158 
 0.59783272  0.25302041  1.06071302  1.63691997 
 0.59793314  0.25318692  1.06041753  1.63718535 
 0.59793380  0.25318010  1.06041559  1.63718263 
 0.59803195  0.25344750  1.06012671  1.63750073 
 0.59803196  0.25353700  1.06012659  1.63755100 
 0.59812334  0.25342647  1.05985753  1.63764508 
 0.59812337  0.25348643  1.05985685  1.63767864 
 0.59820998  0.25298918  1.05960204  1.63754756 
 0.59820998  0.25286481  1.05960172  1.63747766 
 0.59828970  0.25280566  1.05936694  1.63758088 
 0.59828974  0.25261901  1.05936491  1.63747569 
 0.59836347  0.25350550  1.05914863  1.63809938 
 0.59836348  0.25353340  1.05914603  1.63811437 
 0.59843188  0.25458716  1.05894631  1.63882256 
 0.59843195  0.25489092  1.05894296  1.63899213 
 0.59848991  0.25470070  1.05877507  1.63898512 
 0.59848992  0.25495280  1.05876177  1.63912284 
 0.59853942  0.25307161  1.05862833  1.63815645 
 0.59853942  0.25294026  1.05860270  1.63807599 
 0.59858327  0.24970322  1.05850056  1.63634485 
 0.59858327  0.24898654  1.05846793  1.63593475 
 0.59862212  0.24479055  1.05839500  1.63366250 
 0.59862213  0.24341591  1.05836219  1.63288411 
 0.59865590  0.23857724  1.05831606  1.63024692 
 0.59865590  0.23657287  1.05828888  1.62911765 
 0.59868429  0.23137857  1.05826619  1.62627431 
 0.59868429  0.22886984  1.05824807  1.62486512 
 0.59870745  0.22355615  1.05824303  1.62194648 
 0.59870745  0.22068073  1.05823388  1.62033428 
 0.59872538  0.21558547  1.05824189  1.61752794 
 0.59872538  0.21270873  1.05824212  1.61591719 
 0.59873547  0.20783851  1.05825357  1.61321792 
 0.59873989  0.20449244  1.05826593  1.61135800 
 0.59873989  0.20140022  1.05826607  1.60962651 
 0.59874912  0.19695525  1.05828251  1.60716400 
 0.59874913  0.19453117  1.05828441  1.60580695 
 0.59875655  0.19104869  1.05828969  1.60387646 
 0.59875655  0.18896032  1.05828925  1.60270690 
 0.59876227  0.18587000  1.05829243  1.60099127 
 0.59876226  0.18417035  1.05829219  1.60003943 
 0.59876535  0.18178353  1.05829216  1.59871054 
 0.59876535  0.18062020  1.05828938  1.59805855 
 0.59876816  0.17882401  1.05828359  1.59705864 
 0.59876816  0.17797732  1.05827946  1.59658373 
 0.59876986  0.17666057  1.05827316  1.59584945 
 0.59876986  0.17604280  1.05827073  1.59550306 
 0.59876958  0.17558610  1.05826650  1.59524584 
 0.59877051  0.17523212  1.05826045  1.59504883 
 0.59877051  0.17502500  1.05825715  1.59493223 
 0.59877031  0.17486099  1.05825282  1.59483910 
 0.59877052  0.17472497  1.05824774  1.59476253 
 0.59877052  0.17464085  1.05824428  1.59471479 
 0.59877052  0.17454701  1.05823947  1.59466136 
 0.59876975  0.17446964  1.05823455  1.59461521 
 0.59876975  0.17441523  1.05823203  1.59458426 
 0.59876885  0.17432536  1.05822740  1.59453084 
 0.59876708  0.17426500  1.05822247  1.59449170 
 0.59876651  0.17423364  1.05821994  1.59447226 
 0.59876651  0.17419240  1.05821787  1.59444879 
 0.59876531  0.17414149  1.05821336  1.59441644 
 0.59876507  0.17412600  1.05821229  1.59440698 
 0.59876280  0.17406000  1.05820715  1.59436341 
 0.59876259  0.17405411  1.05820719  1.59435959 
 0.59875896  0.17399875  1.05820425  1.59431898 
 0.59875875  0.17399691  1.05820611  1.59431776 
 0.59875129  0.17394887  1.05821468  1.59427380 
 0.59874978  0.17394664  1.05822138  1.59427000 
 0.59872767  0.17390170  1.05827094  1.59419869 
 0.59872023  0.17389815  1.05829136  1.59418184 
 0.59865213  0.17384704  1.05847920  1.59401753 
 0.59862472  0.17383492  1.05855565  1.59395630 
 0.59856795  0.17379746  1.05871746  1.59382316 
 0.59856998  0.17379093  1.05870803  1.59382283 
 0.59858085  0.17378800  1.05862275  1.59383267 
 0.59871710  0.17380919  1.05832538  1.59413047 
 0.59884270  0.17384224  1.05789704  1.59438417 
 0.59951973  0.17401151  1.05582620  1.59579065 
 0.59973289  0.17406731  1.05519559  1.59623878 
 0.60120982  0.17444392  1.05087995  1.59934802 
 0.60121010  0.17444185  1.05089859  1.59935098 
 0.60176909  0.17458372  1.04921922  1.60051892 
 0.60176912  0.17458317  1.04919893  1.60051499 
 0.60186583  0.17460512  1.04890265  1.60071458 
 0.60186584  0.17460327  1.04891403  1.60071566 
 0.60186705  0.17460393  1.04890196  1.60071683 
 0.60186705  0.17460478  1.04889500  1.60071602 
 0.60186592  0.17460805  1.04889056  1.60071419 
 0.60186069  0.17460989  1.04888280  1.60070072 
