Date & Time: 2018-11-19 21:23:34.321349
Euler test case, time = 1.60
dx = 0.01
dt = 1e-05
nSteps = 1000000
[Pressure]   [Density]    [Velocity]    [Internal Energy]
 0.59632255  0.25228762  1.06515212  1.63392270 
 0.59636938  0.25231300  1.06501476  1.63401728 
 0.59671759  0.25250792  1.06399073  1.63472309 
 0.59732087  0.25284074  1.06222031  1.63594380 
 0.59732090  0.25284194  1.06222017  1.63594451 
 0.59746061  0.25291165  1.06181005  1.63622295 
 0.59747099  0.25291322  1.06177959  1.63624162 
 0.59764658  0.25301628  1.06126437  1.63660029 
 0.59764660  0.25301594  1.06126430  1.63660013 
 0.59774119  0.25308529  1.06098646  1.63680106 
 0.59774586  0.25310324  1.06097281  1.63681916 
 0.59787319  0.25312546  1.06059907  1.63704963 
 0.59787319  0.25312016  1.06059906  1.63704666 
 0.59796851  0.25311938  1.06031907  1.63720938 
 0.59796957  0.25307538  1.06031597  1.63718645 
 0.59806703  0.25327465  1.06002971  1.63746526 
 0.59806706  0.25327584  1.06002956  1.63746595 
 0.59815681  0.25353456  1.05976591  1.63776484 
 0.59815690  0.25362809  1.05976550  1.63781747 
 0.59824144  0.25348797  1.05951713  1.63788342 
 0.59824145  0.25353944  1.05951648  1.63791216 
 0.59831990  0.25304762  1.05928624  1.63777051 
 0.59831990  0.25292758  1.05928592  1.63770308 
 0.59839177  0.25285541  1.05907483  1.63778572 
 0.59839177  0.25267855  1.05907307  1.63768607 
 0.59845665  0.25350263  1.05888333  1.63825951 
 0.59845665  0.25352039  1.05888094  1.63826882 
 0.59851551  0.25455001  1.05870973  1.63894705 
 0.59851554  0.25483312  1.05870711  1.63910506 
 0.59856469  0.25472147  1.05856517  1.63912711 
 0.59856471  0.25496000  1.05855412  1.63925780 
 0.59860555  0.25326343  1.05844460  1.63838001 
 0.59860555  0.25314116  1.05842341  1.63830586 
 0.59864172  0.25017104  1.05833988  1.63671050 
 0.59864173  0.24947819  1.05831214  1.63631518 
 0.59867243  0.24562406  1.05825800  1.63421949 
 0.59867243  0.24433186  1.05823519  1.63349002 
 0.59869669  0.23996541  1.05820007  1.63109684 
 0.59869996  0.23839046  1.05819186  1.63022115 
 0.59870035  0.23439573  1.05814759  1.62797455 
 0.59872655  0.22867575  1.05816434  1.62484185 
 0.59872655  0.22664179  1.05815430  1.62370070 
 0.59874364  0.22181087  1.05816068  1.62104036 
 0.59874364  0.21885394  1.05816193  1.61938520 
 0.59875569  0.21401139  1.05817897  1.61670807 
 0.59875568  0.21099045  1.05818456  1.61501796 
 0.59876414  0.20664576  1.05820139  1.61261031 
 0.59876414  0.20370596  1.05820903  1.61096597 
 0.59877098  0.19970209  1.05822544  1.60874474 
 0.59877098  0.19701994  1.05823310  1.60724455 
 0.59877603  0.19349067  1.05824652  1.60528380 
 0.59877604  0.19114968  1.05825254  1.60397420 
 0.59877945  0.18819348  1.05826162  1.60232922 
 0.59877945  0.18626038  1.05826507  1.60124744 
 0.59878178  0.18382063  1.05826968  1.59988801 
 0.59878178  0.18227115  1.05827070  1.59902055 
 0.59878317  0.18042476  1.05827199  1.59799034 
 0.59878306  0.17925546  1.05827171  1.59733525 
 0.59878393  0.17790308  1.05826999  1.59657979 
 0.59878394  0.17704172  1.05826862  1.59609723 
 0.59878389  0.17640146  1.05826622  1.59573813 
 0.59878408  0.17585385  1.05826273  1.59543131 
 0.59878408  0.17554119  1.05826038  1.59525580 
 0.59878408  0.17514275  1.05825582  1.59503184 
 0.59878401  0.17499216  1.05825390  1.59494699 
 0.59878354  0.17476260  1.05824900  1.59481638 
 0.59878352  0.17470711  1.05824789  1.59478504 
 0.59878320  0.17453547  1.05824310  1.59468726 
 0.59878296  0.17450148  1.05824254  1.59466753 
 0.59878157  0.17436296  1.05823712  1.59458548 
 0.59878140  0.17435333  1.05823699  1.59457965 
 0.59877983  0.17425437  1.05823307  1.59451957 
 0.59877971  0.17425065  1.05823380  1.59451733 
 0.59877644  0.17416386  1.05823480  1.59446074 
 0.59877609  0.17416094  1.05823776  1.59445877 
 0.59876671  0.17408210  1.05825583  1.59439453 
 0.59876420  0.17407794  1.05826489  1.59438759 
 0.59873520  0.17400938  1.05833901  1.59429035 
 0.59872679  0.17400502  1.05836179  1.59427107 
 0.59865325  0.17393334  1.05856963  1.59408534 
 0.59864736  0.17392243  1.05858342  1.59406703 
 0.59863347  0.17388664  1.05861473  1.59401802 
 0.59865079  0.17387874  1.05858499  1.59405143 
 0.59867785  0.17387279  1.05844237  1.59408949 
 0.59884497  0.17389348  1.05796791  1.59443158 
 0.59901248  0.17393385  1.05750889  1.59478850 
 0.59977329  0.17411046  1.05523624  1.59637126 
 0.59994114  0.17415428  1.05471379  1.59671929 
 0.60123992  0.17447796  1.05087623  1.59944136 
 0.60123997  0.17447540  1.05088518  1.59944173 
 0.60178149  0.17460482  1.04929149  1.60057479 
 0.60178152  0.17460206  1.04928897  1.60057287 
 0.60188001  0.17462069  1.04897786  1.60077236 
 0.60188000  0.17461875  1.04897002  1.60076984 
 0.60188963  0.17461520  1.04893783  1.60078606 
 0.60188979  0.17461243  1.04893419  1.60078427 
 0.60188981  0.17461067  1.04893085  1.60078273 
 0.60188839  0.17460871  1.04892503  1.60077703 
 0.60188839  0.17460786  1.04892460  1.60077649 
 0.60188312  0.17460722  1.04891686  1.60076156 
