Date & Time: 2018-11-19 21:28:09.520760
Euler test case, time = 1.70
dx = 0.01
dt = 1e-05
nSteps = 1000000
[Pressure]   [Density]    [Velocity]    [Internal Energy]
 0.59656281  0.25241901  1.06444732  1.63440848 
 0.59659715  0.25243802  1.06434658  1.63447801 
 0.59693445  0.25262187  1.06335560  1.63515907 
 0.59739186  0.25287738  1.06201372  1.63608645 
 0.59739190  0.25287867  1.06201358  1.63608724 
 0.59751677  0.25294658  1.06164723  1.63633933 
 0.59752594  0.25295220  1.06162034  1.63635819 
 0.59768910  0.25303542  1.06114184  1.63668449 
 0.59768910  0.25303105  1.06114183  1.63668202 
 0.59778270  0.25309705  1.06086724  1.63687944 
 0.59778723  0.25310315  1.06085398  1.63689063 
 0.59791171  0.25318240  1.06048894  1.63714840 
 0.59791174  0.25319708  1.06048885  1.63715670 
 0.59800262  0.25318320  1.06022223  1.63730453 
 0.59800403  0.25317176  1.06021813  1.63730051 
 0.59810120  0.25318185  1.05993310  1.63747261 
 0.59810121  0.25313787  1.05993302  1.63744791 
 0.59818883  0.25335306  1.05967598  1.63771882 
 0.59818898  0.25336105  1.05967545  1.63772355 
 0.59827151  0.25360899  1.05943338  1.63800402 
 0.59827153  0.25369967  1.05943313  1.63805490 
 0.59834798  0.25354961  1.05920890  1.63810159 
 0.59834799  0.25359963  1.05920825  1.63812950 
 0.59841827  0.25310790  1.05900238  1.63797417 
 0.59841828  0.25299538  1.05900204  1.63791100 
 0.59848057  0.25289867  1.05881947  1.63796360 
 0.59848063  0.25272572  1.05881770  1.63786632 
 0.59853625  0.25349604  1.05865544  1.63839363 
 0.59853625  0.25350802  1.05865325  1.63839977 
 0.59858535  0.25449767  1.05851090  1.63903874 
 0.59858548  0.25475941  1.05850847  1.63918504 
 0.59862599  0.25472015  1.05839173  1.63923284 
 0.59862599  0.25494892  1.05838328  1.63935871 
 0.59865746  0.25340374  1.05829852  1.63854922 
 0.59865747  0.25327473  1.05828435  1.63847319 
 0.59868146  0.25077397  1.05822822  1.63711789 
 0.59868147  0.25045728  1.05821320  1.63693661 
 0.59871272  0.24669082  1.05813296  1.63488492 
 0.59872109  0.24379423  1.05812638  1.63328256 
 0.59872109  0.24208246  1.05811007  1.63232011 
 0.59873863  0.23798353  1.05809548  1.63006570 
 0.59873863  0.23578479  1.05808321  1.62883183 
 0.59875449  0.23118487  1.05808505  1.62629703 
 0.59875448  0.22850128  1.05808283  1.62479428 
 0.59876721  0.22381690  1.05809612  1.62220709 
 0.59876721  0.22089999  1.05810079  1.62057533 
 0.59877666  0.21638740  1.05811936  1.61807712 
 0.59877666  0.21334853  1.05812880  1.61637805 
 0.59878334  0.20911802  1.05814940  1.61403099 
 0.59878334  0.20608834  1.05816170  1.61233753 
 0.59878790  0.20223762  1.05818157  1.61019735 
 0.59878789  0.19937486  1.05819422  1.60859723 
 0.59879094  0.19597144  1.05821124  1.60670285 
 0.59879094  0.19339569  1.05822219  1.60526291 
 0.59879291  0.19048658  1.05823511  1.60364156 
 0.59879291  0.18826889  1.05824343  1.60240147 
 0.59879394  0.18587475  1.05825218  1.60106521 
 0.59879394  0.18405810  1.05825785  1.60004908 
 0.59879404  0.18235489  1.05826175  1.59909636 
 0.59879404  0.18069451  1.05826531  1.59816729 
 0.59879404  0.17944487  1.05826630  1.59746773 
 0.59879407  0.17824769  1.05826637  1.59679745 
 0.59879403  0.17758438  1.05826599  1.59642584 
 0.59879378  0.17659366  1.05826408  1.59587009 
 0.59879394  0.17612158  1.05826221  1.59560579 
 0.59879395  0.17569403  1.05826011  1.59536601 
 0.59879395  0.17544958  1.05825904  1.59522893 
 0.59879371  0.17497442  1.05825503  1.59496152 
 0.59879346  0.17490497  1.05825508  1.59492203 
 0.59879211  0.17461925  1.05825292  1.59475826 
 0.59879189  0.17459851  1.05825402  1.59474629 
 0.59878800  0.17442223  1.05825894  1.59463877 
 0.59878700  0.17441085  1.05826274  1.59463061 
 0.59877488  0.17428875  1.05829169  1.59453727 
 0.59877120  0.17428280  1.05830269  1.59452677 
 0.59873468  0.17417847  1.05840363  1.59439565 
 0.59872158  0.17416441  1.05844225  1.59436214 
 0.59868345  0.17408130  1.05854715  1.59423958 
 0.59868345  0.17405408  1.05854742  1.59422440 
 0.59868346  0.17402558  1.05852688  1.59420466 
 0.59872092  0.17400479  1.05844837  1.59427222 
 0.59876624  0.17400088  1.05829002  1.59435417 
 0.59900336  0.17402148  1.05755659  1.59482348 
 0.59914215  0.17405640  1.05716166  1.59511729 
 0.59996089  0.17422908  1.05475822  1.59681845 
 0.60011323  0.17426664  1.05431066  1.59713796 
 0.60129062  0.17454319  1.05082417  1.59959458 
 0.60129063  0.17453935  1.05081632  1.59959104 
 0.60178660  0.17464583  1.04935432  1.60062164 
 0.60178656  0.17464053  1.04935790  1.60061930 
 0.60189691  0.17465380  1.04902512  1.60084150 
 0.60189692  0.17464992  1.04901977  1.60083839 
 0.60190933  0.17464119  1.04897200  1.60085588 
 0.60190933  0.17463603  1.04896783  1.60085227 
 0.60190933  0.17463046  1.04896320  1.60084835 
 0.60190915  0.17462570  1.04895838  1.60084441 
 0.60190915  0.17462243  1.04895677  1.60084231 
 0.60190763  0.17461739  1.04895314  1.60083507 
 0.60190763  0.17461490  1.04895296  1.60083367 
 0.60190379  0.17461317  1.04894733  1.60082208 
