Date & Time: 2018-11-19 21:32:44.399442
Euler test case, time = 1.80
dx = 0.01
dt = 1e-05
nSteps = 1000000
[Pressure]   [Density]    [Velocity]    [Internal Energy]
 0.59670240  0.25249771  1.06403691  1.63469174 
 0.59672369  0.25250981  1.06397402  1.63473493 
 0.59728212  0.25281425  1.06233575  1.63586298 
 0.59740937  0.25288406  1.06196271  1.63612028 
 0.59743226  0.25289610  1.06189563  1.63616628 
 0.59757676  0.25297942  1.06147206  1.63646076 
 0.59758029  0.25298322  1.06146171  1.63646895 
 0.59773025  0.25306142  1.06102221  1.63676987 
 0.59773028  0.25306042  1.06102214  1.63676936 
 0.59782381  0.25310879  1.06074801  1.63695680 
 0.59782795  0.25310576  1.06073591  1.63696219 
 0.59794856  0.25319500  1.06038245  1.63721902 
 0.59794857  0.25320166  1.06038244  1.63722278 
 0.59803595  0.25325272  1.06012633  1.63740118 
 0.59803761  0.25327007  1.06012148  1.63741377 
 0.59813450  0.25324227  1.05983756  1.63756415 
 0.59813450  0.25322508  1.05983754  1.63755450 
 0.59821956  0.25323867  1.05958828  1.63770788 
 0.59821973  0.25319383  1.05958770  1.63768299 
 0.59830055  0.25342257  1.05935088  1.63794985 
 0.59830056  0.25343431  1.05935076  1.63795643 
 0.59837500  0.25367473  1.05913265  1.63821883 
 0.59837501  0.25376543  1.05913242  1.63826967 
 0.59844256  0.25360669  1.05893457  1.63829636 
 0.59844257  0.25365351  1.05893392  1.63832248 
 0.59850314  0.25316685  1.05875677  1.63815354 
 0.59850314  0.25305898  1.05875647  1.63809303 
 0.59855620  0.25294367  1.05860118  1.63811945 
 0.59855621  0.25278134  1.05859980  1.63802814 
 0.59860227  0.25348043  1.05846568  1.63849901 
 0.59860227  0.25348185  1.05846374  1.63849930 
 0.59864183  0.25444042  1.05834932  1.63910436 
 0.59864184  0.25469228  1.05834799  1.63924507 
 0.59867162  0.25465536  1.05826202  1.63927568 
 0.59867163  0.25481212  1.05825621  1.63936190 
 0.59869359  0.25370997  1.05819777  1.63878396 
 0.59869359  0.25382143  1.05818333  1.63884250 
 0.59872973  0.25086741  1.05808911  1.63725396 
 0.59873367  0.24917655  1.05808557  1.63631637 
 0.59873367  0.24811949  1.05807143  1.63572095 
 0.59874929  0.24473250  1.05805228  1.63385913 
 0.59874929  0.24314095  1.05803854  1.63296474 
 0.59876413  0.23914457  1.05803105  1.63076311 
 0.59876413  0.23699693  1.05802375  1.62955919 
 0.59877623  0.23274768  1.05802873  1.62721234 
 0.59877623  0.23014197  1.05802911  1.62575399 
 0.59878566  0.22581251  1.05804350  1.62335774 
 0.59878566  0.22288443  1.05805111  1.62172060 
 0.59879268  0.21862309  1.05807152  1.61935766 
 0.59879268  0.21553029  1.05808464  1.61762943 
 0.59879761  0.21148506  1.05810761  1.61538249 
 0.59879761  0.20839145  1.05812391  1.61365429 
 0.59880061  0.20465840  1.05814683  1.61157694 
 0.59880061  0.20173337  1.05816412  1.60994309 
 0.59880139  0.19873565  1.05818088  1.60827027 
 0.59880093  0.19541079  1.05820427  1.60641246 
 0.59880092  0.19300568  1.05821584  1.60506819 
 0.59880123  0.19062115  1.05822650  1.60373598 
 0.59880025  0.18801663  1.05824160  1.60227820 
 0.59880024  0.18592792  1.05824937  1.60111018 
 0.59880024  0.18415596  1.05825425  1.60011892 
 0.59880059  0.18244785  1.05825893  1.59916424 
 0.59880018  0.18099181  1.05826279  1.59834864 
 0.59880010  0.17975379  1.05826443  1.59765551 
 0.59880007  0.17870347  1.05826510  1.59706743 
 0.59880005  0.17779869  1.05826530  1.59656077 
 0.59879982  0.17696071  1.05826513  1.59609091 
 0.59879934  0.17612625  1.05826575  1.59562257 
 0.59879853  0.17588399  1.05826774  1.59548527 
 0.59879432  0.17519274  1.05827770  1.59508950 
 0.59879269  0.17512400  1.05828282  1.59504787 
 0.59877726  0.17473773  1.05832406  1.59480064 
 0.59877276  0.17470263  1.05833676  1.59477208 
 0.59873159  0.17446857  1.05845455  1.59455981 
 0.59872624  0.17442817  1.05847004  1.59452668 
 0.59871358  0.17431702  1.05850218  1.59443869 
 0.59871848  0.17427254  1.05849875  1.59442538 
 0.59872148  0.17423787  1.05846001  1.59440632 
 0.59878546  0.17418520  1.05828024  1.59450363 
 0.59884931  0.17419235  1.05811356  1.59463654 
 0.59916521  0.17419898  1.05716248  1.59525476 
 0.59926257  0.17422245  1.05685554  1.59545474 
 0.60012055  0.17438470  1.05432259  1.59722405 
 0.60024933  0.17441498  1.05395102  1.59749452 
 0.60134316  0.17464985  1.05073297  1.59976808 
 0.60134312  0.17464355  1.05073080  1.59976412 
 0.60179127  0.17472198  1.04940347  1.60068426 
 0.60179129  0.17471386  1.04940074  1.60067934 
 0.60190766  0.17471523  1.04905398  1.60090745 
 0.60190766  0.17470828  1.04905447  1.60090371 
 0.60192389  0.17468956  1.04899945  1.60092390 
 0.60192389  0.17468220  1.04899539  1.60091911 
 0.60192466  0.17466683  1.04898725  1.60091109 
 0.60192466  0.17465866  1.04898420  1.60090603 
 0.60192466  0.17465266  1.04898185  1.60090230 
 0.60192434  0.17464364  1.04897797  1.60089584 
 0.60192434  0.17463942  1.04897769  1.60089347 
 0.60192264  0.17463017  1.04897493  1.60088362 
 0.60192264  0.17462653  1.04897490  1.60088161 
 0.60191990  0.17462397  1.04897090  1.60087262 
