Date & Time: 2018-11-19 21:37:18.772654
Euler test case, time = 1.90
dx = 0.01
dt = 1e-05
nSteps = 1000000
[Pressure]   [Density]    [Velocity]    [Internal Energy]
 0.59689382  0.25260502  1.06347162  1.63507915 
 0.59693228  0.25262645  1.06335824  1.63515694 
 0.59743841  0.25290276  1.06187442  1.63617972 
 0.59743844  0.25290236  1.06187476  1.63617968 
 0.59745847  0.25291128  1.06181600  1.63621900 
 0.59763841  0.25301135  1.06128936  1.63658381 
 0.59763842  0.25301154  1.06128942  1.63658395 
 0.59776927  0.25308533  1.06090666  1.63684985 
 0.59776928  0.25308706  1.06090677  1.63685087 
 0.59786478  0.25313249  1.06062748  1.63704020 
 0.59786796  0.25313129  1.06061827  1.63704500 
 0.59798385  0.25319717  1.06027916  1.63728072 
 0.59798386  0.25319277  1.06027919  1.63727830 
 0.59806882  0.25326831  1.06003056  1.63746638 
 0.59807064  0.25328037  1.06002527  1.63747629 
 0.59816681  0.25332476  1.05974374  1.63766607 
 0.59816682  0.25333917  1.05974373  1.63767418 
 0.59824918  0.25329391  1.05950261  1.63778996 
 0.59824951  0.25327217  1.05950165  1.63777833 
 0.59832856  0.25329271  1.05927023  1.63792537 
 0.59832856  0.25324976  1.05927015  1.63790125 
 0.59840070  0.25348201  1.05905897  1.63815520 
 0.59840071  0.25349645  1.05905885  1.63816329 
 0.59846584  0.25372896  1.05886822  1.63840529 
 0.59846585  0.25381645  1.05886801  1.63845430 
 0.59852365  0.25365912  1.05869887  1.63846518 
 0.59852366  0.25370563  1.05869828  1.63849111 
 0.59857500  0.25322536  1.05854830  1.63831012 
 0.59857501  0.25312603  1.05854802  1.63825441 
 0.59861840  0.25298256  1.05842120  1.63824855 
 0.59861841  0.25282393  1.05842001  1.63815940 
 0.59865430  0.25347716  1.05831569  1.63858702 
 0.59865430  0.25349565  1.05831419  1.63859699 
 0.59868320  0.25430959  1.05823083  1.63910263 
 0.59868321  0.25445546  1.05822914  1.63918387 
 0.59870620  0.25480226  1.05816407  1.63941798 
 0.59870621  0.25522491  1.05815697  1.63965270 
 0.59874294  0.25336054  1.05805427  1.63867322 
 0.59874350  0.25249912  1.05805563  1.63819281 
 0.59874350  0.25202813  1.05804534  1.63792644 
 0.59875667  0.24960519  1.05802169  1.63659693 
 0.59875667  0.24867585  1.05800807  1.63607320 
 0.59877029  0.24544134  1.05799270  1.63429293 
 0.59877029  0.24391424  1.05798241  1.63343560 
 0.59878193  0.24023952  1.05797930  1.63140731 
 0.59878193  0.23815368  1.05797510  1.63023889 
 0.59879150  0.23421258  1.05798284  1.62805906 
 0.59879149  0.23167828  1.05798599  1.62664146 
 0.59879892  0.22757335  1.05800247  1.62436659 
 0.59879892  0.22468173  1.05801318  1.62275074 
 0.59880355  0.22096988  1.05803249  1.62068934 
 0.59880354  0.21741407  1.05805683  1.61870467 
 0.59880354  0.21417105  1.05807489  1.61689350 
 0.59880559  0.21081469  1.05809686  1.61502477 
 0.59880279  0.20740913  1.05812587  1.61311776 
 0.59880278  0.20392829  1.05815065  1.61117444 
 0.59880277  0.20104543  1.05816706  1.60956398 
 0.59880443  0.19808377  1.05818502  1.60791377 
 0.59880124  0.19565809  1.05820260  1.60655135 
 0.59879915  0.19290979  1.05821644  1.60501018 
 0.59879810  0.19035764  1.05823323  1.60358197 
 0.59879765  0.18821534  1.05824209  1.60238308 
 0.59879741  0.18612554  1.05825177  1.60121423 
 0.59879725  0.18446091  1.05825717  1.60028277 
 0.59879702  0.18275918  1.05826106  1.59933006 
 0.59879681  0.18090235  1.05826449  1.59829044 
 0.59879666  0.17913671  1.05827284  1.59730296 
 0.59879666  0.17859421  1.05828030  1.59700058 
 0.59878899  0.17823251  1.05829309  1.59678127 
 0.59877386  0.17655476  1.05834681  1.59581397 
 0.59876668  0.17633645  1.05836551  1.59567725 
 0.59873634  0.17543192  1.05845782  1.59511193 
 0.59873634  0.17522731  1.05845874  1.59499749 
 0.59873493  0.17492882  1.05845972  1.59482694 
 0.59874506  0.17479167  1.05844104  1.59477199 
 0.59876250  0.17465787  1.05838182  1.59472967 
 0.59884563  0.17450330  1.05811704  1.59480205 
 0.59892033  0.17450491  1.05791033  1.59495152 
 0.59929662  0.17445998  1.05680700  1.59566358 
 0.59938516  0.17447514  1.05654382  1.59584487 
 0.60026899  0.17460295  1.05392827  1.59764389 
 0.60037419  0.17462497  1.05361238  1.59786097 
 0.60138387  0.17480748  1.05064341  1.59994043 
 0.60138388  0.17479696  1.05064575  1.59993509 
 0.60179950  0.17484538  1.04942138  1.60077606 
 0.60179953  0.17483327  1.04941921  1.60076907 
 0.60191196  0.17481653  1.04908402  1.60097946 
 0.60191198  0.17480669  1.04908336  1.60097396 
 0.60193474  0.17477338  1.04901427  1.60099987 
 0.60193474  0.17476301  1.04901496  1.60099429 
 0.60193614  0.17473279  1.04900520  1.60097937 
 0.60193614  0.17471931  1.04900243  1.60097144 
 0.60193614  0.17470794  1.04900027  1.60096479 
 0.60193589  0.17469068  1.04899651  1.60095397 
 0.60193589  0.17468542  1.04899574  1.60095093 
 0.60193511  0.17466779  1.04899288  1.60093878 
 0.60193511  0.17466200  1.04899295  1.60093560 
 0.60193383  0.17464876  1.04899119  1.60092480 
 0.60193383  0.17464326  1.04899120  1.60092177 
 0.60193175  0.17463969  1.04898817  1.60091407 
