Date & Time: 2018-11-19 21:41:58.110163
Euler test case, time = 2.00
dx = 0.01
dt = 1e-05
nSteps = 1000000
[Pressure]   [Density]    [Velocity]    [Internal Energy]
 0.59708528  0.25271167  1.06290766  1.63546656 
 0.59711152  0.25272629  1.06283043  1.63551968 
 0.59748346  0.25292939  1.06173999  1.63627126 
 0.59748350  0.25292907  1.06174023  1.63627124 
 0.59750694  0.25294191  1.06167129  1.63631857 
 0.59768999  0.25304021  1.06113531  1.63668763 
 0.59768999  0.25303934  1.06113524  1.63668713 
 0.59780422  0.25310408  1.06080109  1.63691944 
 0.59780460  0.25310524  1.06079990  1.63692071 
 0.59790647  0.25316040  1.06050216  1.63712648 
 0.59790803  0.25316263  1.06049755  1.63713038 
 0.59801736  0.25321354  1.06017812  1.63734657 
 0.59801736  0.25320920  1.06017814  1.63734415 
 0.59810104  0.25326325  1.05993388  1.63751815 
 0.59810284  0.25326052  1.05992867  1.63751972 
 0.59819782  0.25334617  1.05965137  1.63773081 
 0.59819782  0.25335927  1.05965148  1.63773820 
 0.59827751  0.25338538  1.05941880  1.63788963 
 0.59827797  0.25339944  1.05941755  1.63789832 
 0.59835550  0.25334294  1.05919110  1.63799967 
 0.59835552  0.25331871  1.05919112  1.63798613 
 0.59842527  0.25334043  1.05898728  1.63811801 
 0.59842530  0.25329775  1.05898718  1.63809411 
 0.59848759  0.25353123  1.05880513  1.63833188 
 0.59848760  0.25354687  1.05880502  1.63834066 
 0.59854353  0.25377418  1.05864156  1.63856398 
 0.59854354  0.25386080  1.05864137  1.63861249 
 0.59859181  0.25370408  1.05850032  1.63860747 
 0.59859182  0.25374839  1.05849980  1.63863216 
 0.59863307  0.25327644  1.05837949  1.63843865 
 0.59863308  0.25317551  1.05837929  1.63838208 
 0.59866666  0.25304775  1.05828124  1.63836823 
 0.59866667  0.25293368  1.05828030  1.63830412 
 0.59869221  0.25338623  1.05820642  1.63860158 
 0.59869222  0.25330235  1.05820391  1.63855396 
 0.59871825  0.25441179  1.05812980  1.63922026 
 0.59871964  0.25481196  1.05812577  1.63944669 
 0.59875188  0.25438152  1.05803076  1.63926073 
 0.59875188  0.25415226  1.05803371  1.63913321 
 0.59875188  0.25409843  1.05802592  1.63910099 
 0.59876329  0.25259912  1.05799976  1.63828334 
 0.59876329  0.25226188  1.05798923  1.63809178 
 0.59877542  0.24989657  1.05796773  1.63679263 
 0.59877542  0.24900831  1.05795706  1.63629271 
 0.59878590  0.24605980  1.05794671  1.63466612 
 0.59878590  0.24457496  1.05793950  1.63383331 
 0.59879460  0.24122396  1.05794002  1.63197989 
 0.59879460  0.23919830  1.05793920  1.63084608 
 0.59880118  0.23554904  1.05794980  1.62882300 
 0.59880118  0.23305446  1.05795765  1.62742890 
 0.59880455  0.22972156  1.05797291  1.62557580 
 0.59880452  0.22620623  1.05799702  1.62361415 
 0.59880452  0.22324488  1.05801426  1.62196081 
 0.59880510  0.22019963  1.05803514  1.62026271 
 0.59879804  0.21709595  1.05806625  1.61851502 
 0.59879404  0.21395033  1.05809291  1.61675029 
 0.59878935  0.21009511  1.05811859  1.61458619 
 0.59878664  0.20652052  1.05814529  1.61258418 
 0.59878561  0.20322502  1.05817210  1.61074241 
 0.59878532  0.20063256  1.05818668  1.60929336 
 0.59878524  0.19785021  1.05820282  1.60773876 
 0.59878522  0.19503518  1.05822057  1.60616625 
 0.59878521  0.19303142  1.05822957  1.60504612 
 0.59878415  0.19090583  1.05824034  1.60385547 
 0.59878076  0.18840674  1.05825534  1.60245067 
 0.59877729  0.18547948  1.05826706  1.60080517 
 0.59877470  0.18262758  1.05829220  1.59920660 
 0.59877344  0.18192521  1.05830693  1.59881295 
 0.59874497  0.18057981  1.05839166  1.59800454 
 0.59874095  0.17938553  1.05840805  1.59732869 
 0.59874101  0.17841501  1.05841711  1.59678695 
 0.59874109  0.17763480  1.05840752  1.59634832 
 0.59876321  0.17668598  1.05835636  1.59586260 
 0.59878824  0.17631415  1.05829027  1.59570462 
 0.59891862  0.17551601  1.05790426  1.59551192 
 0.59897597  0.17543673  1.05772634  1.59557792 
 0.59940200  0.17505166  1.05648015  1.59619698 
 0.59948736  0.17503044  1.05623342  1.59635292 
 0.60039708  0.17499147  1.05355829  1.59811167 
 0.60048361  0.17499093  1.05329994  1.59828007 
 0.60141696  0.17506938  1.05055510  1.60015146 
 0.60141697  0.17504712  1.05055541  1.60013926 
 0.60180266  0.17504367  1.04942503  1.60089383 
 0.60180267  0.17502330  1.04942642  1.60088290 
 0.60191341  0.17497583  1.04910030  1.60107373 
 0.60191341  0.17496044  1.04909956  1.60106512 
 0.60193857  0.17490629  1.04902453  1.60108445 
 0.60193857  0.17489234  1.04902513  1.60107689 
 0.60194275  0.17484180  1.04901238  1.60105718 
 0.60194275  0.17482798  1.04901228  1.60104956 
 0.60194309  0.17478949  1.04900990  1.60102880 
 0.60194312  0.17477121  1.04900856  1.60101857 
 0.60194312  0.17475784  1.04900737  1.60101100 
 0.60194305  0.17473699  1.04900531  1.60099897 
 0.60194305  0.17472922  1.04900504  1.60099465 
 0.60194235  0.17470023  1.04900336  1.60097665 
 0.60194235  0.17469470  1.04900347  1.60097363 
 0.60194121  0.17467374  1.04900193  1.60095897 
 0.60194121  0.17466766  1.04900193  1.60095562 
 0.60194002  0.17466259  1.04900019  1.60094952 
