Date & Time: 2018-11-19 21:46:36.738821
Euler test case, time = 2.10
dx = 0.01
dt = 1e-05
nSteps = 1000000
[Pressure]   [Density]    [Velocity]    [Internal Energy]
 0.59721956  0.25278650  1.06251265  1.63573843 
 0.59723866  0.25279715  1.06245648  1.63577710 
 0.59753279  0.25295777  1.06159425  1.63637144 
 0.59753283  0.25295748  1.06159435  1.63637141 
 0.59755798  0.25297208  1.06152048  1.63642267 
 0.59773663  0.25306812  1.06099722  1.63678287 
 0.59773665  0.25306775  1.06099711  1.63678270 
 0.59783750  0.25312202  1.06070196  1.63698609 
 0.59783915  0.25312225  1.06069703  1.63698905 
 0.59794738  0.25318431  1.06038038  1.63720949 
 0.59794786  0.25318621  1.06037892  1.63721136 
 0.59804993  0.25323833  1.06008040  1.63741570 
 0.59804994  0.25323893  1.06008031  1.63741604 
 0.59813325  0.25327449  1.05983684  1.63757894 
 0.59813486  0.25326921  1.05983203  1.63757871 
 0.59822757  0.25333533  1.05956121  1.63777491 
 0.59822758  0.25333323  1.05956111  1.63777373 
 0.59830450  0.25341121  1.05933662  1.63794953 
 0.59830509  0.25342752  1.05933484  1.63795967 
 0.59838103  0.25344146  1.05911336  1.63809789 
 0.59838104  0.25345323  1.05911330  1.63810451 
 0.59844796  0.25338662  1.05891831  1.63818211 
 0.59844797  0.25336010  1.05891830  1.63816728 
 0.59850837  0.25338174  1.05874238  1.63828322 
 0.59850838  0.25334029  1.05874234  1.63826000 
 0.59856161  0.25357112  1.05858738  1.63848084 
 0.59856161  0.25358747  1.05858738  1.63849001 
 0.59860746  0.25380957  1.05845392  1.63869320 
 0.59860746  0.25389562  1.05845383  1.63874140 
 0.59864639  0.25373254  1.05834048  1.63871694 
 0.59864640  0.25376294  1.05834012  1.63873387 
 0.59867696  0.25335735  1.05825134  1.63855932 
 0.59867696  0.25330448  1.05825100  1.63852963 
 0.59870171  0.25301343  1.05817927  1.63840932 
 0.59870184  0.25279833  1.05817786  1.63828884 
 0.59873093  0.25350688  1.05809343  1.63873563 
 0.59873128  0.25358735  1.05809268  1.63878133 
 0.59875757  0.25416027  1.05801496  1.63914687 
 0.59875757  0.25424061  1.05801849  1.63919280 
 0.59875799  0.25468795  1.05801307  1.63944275 
 0.59876980  0.25409859  1.05798049  1.63913366 
 0.59876980  0.25410892  1.05797465  1.63913788 
 0.59878026  0.25265932  1.05795037  1.63834625 
 0.59878026  0.25229904  1.05794198  1.63814239 
 0.59878932  0.25013188  1.05792718  1.63694833 
 0.59878932  0.24924315  1.05791965  1.63644901 
 0.59879661  0.24657522  1.05791481  1.63497302 
 0.59879661  0.24507897  1.05791184  1.63413495 
 0.59880147  0.24211736  1.05791751  1.63249126 
 0.59880147  0.24003001  1.05792481  1.63132505 
 0.59880168  0.23764305  1.05793843  1.62999326 
 0.59879697  0.23638294  1.05795044  1.62927930 
 0.59878662  0.23272465  1.05798539  1.62721475 
 0.59877873  0.22917407  1.05801470  1.62521500 
 0.59877381  0.22562083  1.05804511  1.62322120 
 0.59877093  0.22228942  1.05806549  1.62135412 
 0.59876930  0.21887374  1.05808498  1.61944262 
 0.59876848  0.21544748  1.05810433  1.61752707 
 0.59876811  0.21195164  1.05812471  1.61557375 
 0.59876796  0.20839224  1.05814889  1.61358611 
 0.59876784  0.20602377  1.05816277  1.61226287 
 0.59876323  0.20306468  1.05818258  1.61059894 
 0.59876080  0.19975490  1.05820918  1.60874544 
 0.59876028  0.19678423  1.05823037  1.60708525 
 0.59876028  0.19484600  1.05824650  1.60600332 
 0.59874715  0.19324611  1.05826026  1.60507747 
 0.59873818  0.18870497  1.05833757  1.60252762 
 0.59873817  0.18685170  1.05834661  1.60149150 
 0.59873908  0.18476511  1.05835978  1.60032775 
 0.59873908  0.18362681  1.05834612  1.59968758 
 0.59877790  0.18142583  1.05826526  1.59853644 
 0.59879529  0.18133679  1.05819141  1.59851588 
 0.59897191  0.17898697  1.05770028  1.59754880 
 0.59901716  0.17883223  1.05755358  1.59754764 
 0.59948636  0.17720860  1.05618512  1.59755639 
 0.59956293  0.17709151  1.05595219  1.59763893 
 0.60049408  0.17623750  1.05322470  1.59898377 
 0.60056411  0.17614947  1.05301782  1.59907163 
 0.60143658  0.17577370  1.05046068  1.60057174 
 0.60143669  0.17568610  1.05046005  1.60052356 
 0.60179486  0.17547942  1.04941354  1.60111216 
 0.60179488  0.17542135  1.04941458  1.60108043 
 0.60190532  0.17527115  1.04909598  1.60121523 
 0.60190534  0.17523646  1.04909695  1.60119636 
 0.60193286  0.17512797  1.04902072  1.60119144 
 0.60193286  0.17510437  1.04902195  1.60117869 
 0.60193975  0.17501983  1.04900670  1.60114659 
 0.60193975  0.17500789  1.04900835  1.60114033 
 0.60194198  0.17493356  1.04900648  1.60110468 
 0.60194221  0.17493020  1.04900725  1.60110353 
 0.60194355  0.17485858  1.04900653  1.60106736 
 0.60194373  0.17485456  1.04900703  1.60106567 
 0.60194448  0.17479633  1.04900673  1.60103547 
 0.60194459  0.17478286  1.04900706  1.60102839 
 0.60194478  0.17475945  1.04900721  1.60101601 
 0.60194483  0.17474684  1.04900720  1.60100920 
 0.60194485  0.17473370  1.04900721  1.60100201 
 0.60194480  0.17471886  1.04900714  1.60099372 
 0.60194480  0.17470622  1.04900715  1.60098677 
 0.60194461  0.17469941  1.04900687  1.60098250 
