Date & Time: 2018-11-19 21:51:15.507213
Euler test case, time = 2.20
dx = 0.01
dt = 1e-05
nSteps = 1000000
[Pressure]   [Density]    [Velocity]    [Internal Energy]
 0.59732108  0.25284313  1.06221422  1.63594403 
 0.59733605  0.25285148  1.06217021  1.63597436 
 0.59758299  0.25298634  1.06144639  1.63647334 
 0.59758303  0.25298611  1.06144644  1.63647332 
 0.59760856  0.25300047  1.06137149  1.63652511 
 0.59777944  0.25309363  1.06087098  1.63687035 
 0.59777947  0.25309386  1.06087086  1.63687053 
 0.59787085  0.25314186  1.06060335  1.63705417 
 0.59787384  0.25314281  1.06059454  1.63705982 
 0.59798642  0.25320490  1.06026505  1.63728770 
 0.59798645  0.25320472  1.06026493  1.63728765 
 0.59808168  0.25325945  1.05998630  1.63748169 
 0.59808170  0.25326167  1.05998620  1.63748296 
 0.59816607  0.25330059  1.05973946  1.63764951 
 0.59816717  0.25330080  1.05973619  1.63765150 
 0.59825679  0.25334001  1.05947417  1.63782722 
 0.59825680  0.25333319  1.05947409  1.63782340 
 0.59833137  0.25339517  1.05925618  1.63798611 
 0.59833200  0.25339483  1.05925429  1.63798699 
 0.59840559  0.25347191  1.05903934  1.63815649 
 0.59840559  0.25348858  1.05903926  1.63816582 
 0.59846987  0.25349009  1.05885164  1.63827700 
 0.59846996  0.25350131  1.05885125  1.63828343 
 0.59852792  0.25342530  1.05868224  1.63834036 
 0.59852793  0.25339814  1.05868212  1.63832514 
 0.59857809  0.25341539  1.05853602  1.63842102 
 0.59857811  0.25337307  1.05853582  1.63839728 
 0.59862188  0.25360557  1.05840856  1.63860283 
 0.59862189  0.25362767  1.05840844  1.63861520 
 0.59865775  0.25381961  1.05830444  1.63878440 
 0.59865776  0.25388420  1.05830431  1.63882056 
 0.59868572  0.25379121  1.05822349  1.63881668 
 0.59868572  0.25386288  1.05822298  1.63885668 
 0.59871139  0.25335480  1.05814910  1.63861655 
 0.59871204  0.25324195  1.05814719  1.63855451 
 0.59874211  0.25311201  1.05806004  1.63853358 
 0.59874211  0.25299931  1.05805971  1.63847043 
 0.59876082  0.25351043  1.05800556  1.63878877 
 0.59876082  0.25362290  1.05800657  1.63885199 
 0.59876205  0.25381393  1.05800163  1.63896064 
 0.59877554  0.25433247  1.05796352  1.63927435 
 0.59877555  0.25453097  1.05796183  1.63938499 
 0.59878510  0.25403261  1.05793610  1.63912304 
 0.59878510  0.25403228  1.05793146  1.63912162 
 0.59879242  0.25266677  1.05791559  1.63837153 
 0.59879242  0.25225328  1.05790994  1.63813864 
 0.59879766  0.25026501  1.05790339  1.63703740 
 0.59879766  0.24922126  1.05790186  1.63645294 
 0.59879926  0.24729820  1.05790526  1.63538172 
 0.59879773  0.24544605  1.05791506  1.63434401 
 0.59879765  0.24452580  1.05792416  1.63383118 
 0.59878293  0.24279565  1.05795806  1.63283491 
 0.59877393  0.24037417  1.05799198  1.63146588 
 0.59876762  0.23766374  1.05800918  1.62993747 
 0.59876372  0.23437513  1.05803132  1.62809260 
 0.59875977  0.23147908  1.05804570  1.62646529 
 0.59875554  0.22787426  1.05806432  1.62444149 
 0.59875172  0.22440814  1.05808176  1.62249590 
 0.59874895  0.22079737  1.05809977  1.62047199 
 0.59874715  0.21712814  1.05811716  1.61841750 
 0.59874651  0.21339571  1.05813853  1.61633129 
 0.59874631  0.21078892  1.05815520  1.61487516 
 0.59873853  0.20816915  1.05817112  1.61339253 
 0.59873399  0.20391982  1.05821479  1.61101158 
 0.59873302  0.20075455  1.05824148  1.60924256 
 0.59873302  0.19867953  1.05825123  1.60808272 
 0.59873782  0.19597451  1.05826356  1.60658262 
 0.59873782  0.19457710  1.05825015  1.60579736 
 0.59877699  0.19134925  1.05818898  1.60407547 
 0.59877982  0.19110927  1.05810737  1.60393169 
 0.59898782  0.18631118  1.05758056  1.60166190 
 0.59902275  0.18603353  1.05743589  1.60156549 
 0.59952975  0.18268814  1.05599456  1.60068438 
 0.59959478  0.18254714  1.05577664  1.60072635 
 0.60054679  0.18012600  1.05300958  1.60123146 
 0.60060168  0.17993974  1.05283627  1.60123259 
 0.60144090  0.17826705  1.05039104  1.60194516 
 0.60144092  0.17799402  1.05038961  1.60179433 
 0.60178277  0.17700551  1.04939622  1.60191902 
 0.60178280  0.17679733  1.04939649  1.60180452 
 0.60189181  0.17616928  1.04908474  1.60167361 
 0.60189183  0.17604240  1.04908605  1.60160407 
 0.60192105  0.17567909  1.04900678  1.60146259 
 0.60192105  0.17560321  1.04900780  1.60142103 
 0.60192880  0.17538016  1.04899118  1.60131463 
 0.60192880  0.17534064  1.04899222  1.60129308 
 0.60193167  0.17519133  1.04899027  1.60121775 
 0.60193167  0.17517501  1.04899085  1.60120887 
 0.60193361  0.17506157  1.04899213  1.60115154 
 0.60193371  0.17505731  1.04899231  1.60114947 
 0.60193552  0.17496250  1.04899355  1.60110208 
 0.60193556  0.17496017  1.04899379  1.60110093 
 0.60193697  0.17487763  1.04899557  1.60105938 
 0.60193721  0.17487140  1.04899601  1.60105662 
 0.60193781  0.17481548  1.04899699  1.60102754 
 0.60193916  0.17479088  1.04899893  1.60101773 
 0.60193916  0.17477823  1.04899893  1.60101077 
 0.60194039  0.17474906  1.04900072  1.60099812 
 0.60194039  0.17473995  1.04900072  1.60099311 
 0.60194212  0.17473241  1.04900325  1.60099376 
