Date & Time: 2018-11-19 21:55:53.130336
Euler test case, time = 2.30
dx = 0.01
dt = 1e-05
nSteps = 1000000
[Pressure]   [Density]    [Velocity]    [Internal Energy]
 0.59740338  0.25288904  1.06197239  1.63611073 
 0.59741587  0.25289601  1.06193571  1.63613603 
 0.59763215  0.25301419  1.06130182  1.63657310 
 0.59763216  0.25301402  1.06130192  1.63657306 
 0.59765707  0.25302759  1.06122882  1.63662334 
 0.59781950  0.25311668  1.06075306  1.63695182 
 0.59781951  0.25311688  1.06075301  1.63695194 
 0.59790591  0.25316327  1.06050005  1.63712613 
 0.59790968  0.25316545  1.06048897  1.63713381 
 0.59802259  0.25322527  1.06015848  1.63736097 
 0.59802261  0.25322443  1.06015840  1.63736053 
 0.59811206  0.25327524  1.05989667  1.63754243 
 0.59811235  0.25327578  1.05989578  1.63754323 
 0.59819926  0.25332515  1.05964153  1.63771999 
 0.59819972  0.25332799  1.05964017  1.63772236 
 0.59828521  0.25336425  1.05939014  1.63788933 
 0.59828523  0.25336281  1.05939008  1.63788854 
 0.59835780  0.25339351  1.05917790  1.63803026 
 0.59835838  0.25338596  1.05917619  1.63802699 
 0.59842953  0.25345192  1.05896822  1.63818606 
 0.59842954  0.25345255  1.05896816  1.63818643 
 0.59849139  0.25352373  1.05878747  1.63833245 
 0.59849147  0.25354204  1.05878719  1.63834285 
 0.59854649  0.25353200  1.05862652  1.63843164 
 0.59854650  0.25354218  1.05862645  1.63843733 
 0.59859446  0.25345618  1.05848648  1.63847150 
 0.59859449  0.25342509  1.05848633  1.63845412 
 0.59863553  0.25345072  1.05836667  1.63853897 
 0.59863554  0.25341932  1.05836651  1.63852136 
 0.59866767  0.25361269  1.05827298  1.63868490 
 0.59866768  0.25361766  1.05827278  1.63868764 
 0.59869445  0.25385341  1.05819508  1.63886572 
 0.59869452  0.25394341  1.05819466  1.63891617 
 0.59872223  0.25380065  1.05811435  1.63888394 
 0.59872253  0.25384555  1.05811303  1.63890946 
 0.59874901  0.25339068  1.05803652  1.63870052 
 0.59874901  0.25327459  1.05803685  1.63863564 
 0.59876397  0.25328131  1.05799327  1.63866510 
 0.59876414  0.25331792  1.05799451  1.63868637 
 0.59876547  0.25306656  1.05798883  1.63854748 
 0.59877950  0.25370800  1.05794934  1.63893096 
 0.59877950  0.25380064  1.05794883  1.63898267 
 0.59878873  0.25423138  1.05792331  1.63923992 
 0.59878873  0.25441701  1.05792205  1.63934347 
 0.59879415  0.25390322  1.05790806  1.63906574 
 0.59879415  0.25380954  1.05790529  1.63901257 
 0.59879676  0.25256266  1.05790173  1.63832041 
 0.59879648  0.25198406  1.05790216  1.63799605 
 0.59879541  0.25060161  1.05790771  1.63722128 
 0.59879542  0.25002580  1.05791565  1.63690117 
 0.59878400  0.25011132  1.05792011  1.63692166 
 0.59876979  0.24647870  1.05799173  1.63487200 
 0.59876688  0.24611489  1.05798838  1.63466026 
 0.59875987  0.24355727  1.05802095  1.63321969 
 0.59875495  0.24189081  1.05803031  1.63227706 
 0.59875110  0.23900530  1.05804551  1.63065621 
 0.59874882  0.23606340  1.05805786  1.62900695 
 0.59874615  0.23329668  1.05806830  1.62745418 
 0.59874277  0.22960621  1.05808348  1.62538367 
 0.59874121  0.22598145  1.05809959  1.62335458 
 0.59874078  0.22216793  1.05811804  1.62122308 
 0.59874072  0.21843621  1.05813833  1.61913859 
 0.59874072  0.21520930  1.05815485  1.61733583 
 0.59874072  0.21210478  1.05816450  1.61559994 
 0.59874629  0.20873753  1.05817502  1.61373102 
 0.59874629  0.20693713  1.05816328  1.61272047 
 0.59877618  0.20338512  1.05811823  1.61079688 
 0.59877620  0.20267036  1.05804794  1.61038173 
 0.59894926  0.19817420  1.05763305  1.60821076 
 0.59897006  0.19827840  1.05746610  1.60828604 
 0.59949776  0.19303154  1.05601701  1.60637608 
 0.59954052  0.19292076  1.05580656  1.60637835 
 0.60051295  0.18819741  1.05303123  1.60562605 
 0.60055631  0.18787977  1.05285735  1.60552395 
 0.60141023  0.18429853  1.05040144  1.60519784 
 0.60141026  0.18378547  1.05038710  1.60491210 
 0.60175889  0.18137015  1.04938978  1.60426134 
 0.60175892  0.18090492  1.04938364  1.60400410 
 0.60187235  0.17910673  1.04906918  1.60323849 
 0.60187237  0.17875635  1.04906831  1.60304556 
 0.60190474  0.17756296  1.04898624  1.60245452 
 0.60190474  0.17731830  1.04898721  1.60232009 
 0.60191435  0.17653343  1.04896973  1.60190905 
 0.60191435  0.17639939  1.04897117  1.60183557 
 0.60191821  0.17588678  1.04896953  1.60156290 
 0.60191824  0.17583125  1.04897044  1.60153259 
 0.60192042  0.17549588  1.04897229  1.60135387 
 0.60192164  0.17541732  1.04897414  1.60131404 
 0.60192168  0.17532258  1.04897377  1.60126196 
 0.60192389  0.17517304  1.04897657  1.60118572 
 0.60192414  0.17516399  1.04897694  1.60118143 
 0.60192592  0.17504566  1.04897964  1.60112128 
 0.60192594  0.17503990  1.04897965  1.60111815 
 0.60192760  0.17494512  1.04898212  1.60107061 
 0.60192760  0.17493878  1.04898211  1.60106712 
 0.60192936  0.17486024  1.04898466  1.60102878 
 0.60192936  0.17484812  1.04898467  1.60102212 
 0.60193111  0.17480169  1.04898721  1.60100140 
 0.60193111  0.17478730  1.04898721  1.60099349 
 0.60193300  0.17477681  1.04898997  1.60099296 
