Date & Time: 2018-11-19 22:00:31.785453
Euler test case, time = 2.40
dx = 0.01
dt = 1e-05
nSteps = 1000000
[Pressure]   [Density]    [Velocity]    [Internal Energy]
 0.59747379  0.25292828  1.06176560  1.63625333 
 0.59748470  0.25293436  1.06173355  1.63627544 
 0.59767917  0.25304070  1.06116366  1.63666848 
 0.59767920  0.25304059  1.06116367  1.63666850 
 0.59770307  0.25305362  1.06109362  1.63671671 
 0.59785782  0.25313829  1.06064038  1.63702953 
 0.59785786  0.25313827  1.06064027  1.63702957 
 0.59794158  0.25318420  1.06039515  1.63719891 
 0.59794560  0.25318680  1.06038334  1.63720725 
 0.59805729  0.25324638  1.06005641  1.63743219 
 0.59805732  0.25324621  1.06005632  1.63743214 
 0.59814170  0.25329091  1.05980940  1.63760191 
 0.59814256  0.25329038  1.05980686  1.63760309 
 0.59823164  0.25334245  1.05954626  1.63778506 
 0.59823166  0.25334347  1.05954618  1.63778566 
 0.59831270  0.25338827  1.05930913  1.63794979 
 0.59831271  0.25339096  1.05930909  1.63795130 
 0.59838372  0.25341640  1.05910145  1.63808737 
 0.59838416  0.25341409  1.05910015  1.63808682 
 0.59845269  0.25344411  1.05889982  1.63822121 
 0.59845270  0.25343616  1.05889977  1.63821677 
 0.59851198  0.25349971  1.05872652  1.63835410 
 0.59851200  0.25350132  1.05872644  1.63835503 
 0.59856437  0.25356816  1.05857345  1.63848234 
 0.59856437  0.25358762  1.05857341  1.63849324 
 0.59861031  0.25356471  1.05843926  1.63855924 
 0.59861031  0.25357085  1.05843921  1.63856267 
 0.59864786  0.25348934  1.05832961  1.63858150 
 0.59864787  0.25346600  1.05832957  1.63856842 
 0.59867724  0.25346294  1.05824392  1.63861716 
 0.59867725  0.25341877  1.05824378  1.63859240 
 0.59870401  0.25363254  1.05816584  1.63875810 
 0.59870411  0.25364303  1.05816542  1.63876410 
 0.59873287  0.25387593  1.05808170  1.63894392 
 0.59873289  0.25396643  1.05808153  1.63899457 
 0.59875469  0.25377841  1.05801813  1.63892680 
 0.59875469  0.25376560  1.05801809  1.63891962 
 0.59876713  0.25351812  1.05798199  1.63880252 
 0.59876729  0.25348586  1.05798191  1.63878484 
 0.59876945  0.25325002  1.05797532  1.63865650 
 0.59878246  0.25325114  1.05793796  1.63867963 
 0.59878246  0.25317020  1.05793733  1.63863417 
 0.59879086  0.25370083  1.05791379  1.63894581 
 0.59879098  0.25382266  1.05791326  1.63901414 
 0.59879435  0.25401070  1.05790424  1.63912536 
 0.59879435  0.25401902  1.05790411  1.63912998 
 0.59879435  0.25388802  1.05790528  1.63905698 
 0.59879275  0.25392641  1.05790774  1.63907513 
 0.59879013  0.25264698  1.05791674  1.63835503 
 0.59879013  0.25226986  1.05792538  1.63814630 
 0.59878059  0.25276821  1.05793268  1.63840329 
 0.59876112  0.25039747  1.05800730  1.63704768 
 0.59875741  0.25045228  1.05799878  1.63706682 
 0.59875242  0.24731095  1.05803091  1.63530462 
 0.59875241  0.24590098  1.05803366  1.63451615 
 0.59875241  0.24416498  1.05803816  1.63354564 
 0.59875377  0.24192281  1.05804502  1.63229580 
 0.59875377  0.23990408  1.05804770  1.63116654 
 0.59875757  0.23671053  1.05805713  1.62939085 
 0.59875757  0.23420933  1.05806234  1.62799211 
 0.59876226  0.23056759  1.05807548  1.62596860 
 0.59876226  0.22786158  1.05808174  1.62445538 
 0.59876867  0.22402851  1.05809351  1.62232858 
 0.59876868  0.22167579  1.05808794  1.62101026 
 0.59878849  0.21770956  1.05806893  1.61883522 
 0.59878849  0.21637727  1.05801802  1.61807780 
 0.59890002  0.21174398  1.05777085  1.61570800 
 0.59890958  0.21160104  1.05762057  1.61561831 
 0.59937143  0.20562864  1.05638269  1.61316365 
 0.59940634  0.20554666  1.05617218  1.61315947 
 0.60036766  0.20030803  1.05345316  1.61206642 
 0.60040535  0.20019756  1.05324858  1.61205620 
 0.60133493  0.19500106  1.05060874  1.61095633 
 0.60133500  0.19434096  1.05056128  1.61058251 
 0.60173033  0.19006789  1.04945185  1.60899139 
 0.60173035  0.18925591  1.04942478  1.60853891 
 0.60185800  0.18577904  1.04908142  1.60687659 
 0.60185803  0.18504933  1.04906810  1.60647252 
 0.60189353  0.18247959  1.04897956  1.60513028 
 0.60189354  0.18180139  1.04897388  1.60475608 
 0.60190183  0.18005432  1.04895667  1.60381237 
 0.60190183  0.17956367  1.04895424  1.60354198 
 0.60190515  0.17824981  1.04894762  1.60282622 
 0.60190527  0.17767547  1.04894927  1.60251086 
 0.60190527  0.17728373  1.04894940  1.60229537 
 0.60190598  0.17663403  1.04895082  1.60193996 
 0.60190598  0.17637801  1.04895090  1.60179913 
 0.60190728  0.17592146  1.04895245  1.60155150 
 0.60190728  0.17580672  1.04895249  1.60148838 
 0.60190928  0.17548203  1.04895520  1.60131525 
 0.60190940  0.17544078  1.04895547  1.60129291 
 0.60191186  0.17523620  1.04895924  1.60118719 
 0.60191187  0.17522406  1.04895922  1.60118054 
 0.60191426  0.17508537  1.04896269  1.60111087 
 0.60191426  0.17507858  1.04896269  1.60110713 
 0.60191677  0.17496437  1.04896633  1.60105124 
 0.60191678  0.17494886  1.04896634  1.60104272 
 0.60191923  0.17487881  1.04896991  1.60101095 
 0.60191923  0.17485853  1.04896991  1.60099979 
 0.60192183  0.17484298  1.04897370  1.60099844 
