Date & Time: 2018-11-19 22:05:09.417946
Euler test case, time = 2.50
dx = 0.01
dt = 1e-05
nSteps = 1000000
[Pressure]   [Density]    [Velocity]    [Internal Energy]
 0.59753612  0.25296297  1.06158258  1.63637957 
 0.59754588  0.25296840  1.06155393  1.63639933 
 0.59772394  0.25306584  1.06103218  1.63675925 
 0.59772394  0.25306572  1.06103225  1.63675922 
 0.59774671  0.25307832  1.06096545  1.63680530 
 0.59789506  0.25315931  1.06053099  1.63710508 
 0.59789508  0.25315921  1.06053093  1.63710504 
 0.59797732  0.25320434  1.06029014  1.63727139 
 0.59798131  0.25320665  1.06027845  1.63727951 
 0.59809075  0.25326647  1.05995811  1.63750073 
 0.59809076  0.25326682  1.05995807  1.63750094 
 0.59817168  0.25330907  1.05972126  1.63766341 
 0.59817314  0.25330938  1.05971698  1.63766607 
 0.59826224  0.25335753  1.05945629  1.63784589 
 0.59826225  0.25335665  1.05945624  1.63784541 
 0.59833892  0.25340292  1.05923201  1.63800284 
 0.59833892  0.25340453  1.05923198  1.63800375 
 0.59840940  0.25344194  1.05902589  1.63814561 
 0.59840951  0.25344475  1.05902554  1.63814737 
 0.59847496  0.25346467  1.05883420  1.63827081 
 0.59847497  0.25346140  1.05883417  1.63826898 
 0.59853148  0.25348570  1.05866898  1.63837956 
 0.59853149  0.25347673  1.05866894  1.63837454 
 0.59858184  0.25354148  1.05852180  1.63849722 
 0.59858185  0.25354543  1.05852178  1.63849943 
 0.59862492  0.25360218  1.05839594  1.63860513 
 0.59862492  0.25361918  1.05839592  1.63861465 
 0.59865888  0.25359484  1.05829675  1.63865931 
 0.59865889  0.25360438  1.05829671  1.63866464 
 0.59868677  0.25350797  1.05821536  1.63865853 
 0.59868684  0.25348133  1.05821512  1.63864373 
 0.59871442  0.25347599  1.05813465  1.63868812 
 0.59871467  0.25342915  1.05813381  1.63866229 
 0.59874190  0.25366326  1.05805446  1.63884012 
 0.59874190  0.25369552  1.05805443  1.63885817 
 0.59875945  0.25384883  1.05800332  1.63897413 
 0.59875945  0.25390761  1.05800334  1.63900704 
 0.59877066  0.25376692  1.05797061  1.63894755 
 0.59877081  0.25372578  1.05797072  1.63892491 
 0.59877258  0.25377106  1.05796488  1.63895311 
 0.59878604  0.25339141  1.05792605  1.63876388 
 0.59878604  0.25328579  1.05792595  1.63870476 
 0.59879252  0.25336497  1.05790735  1.63876028 
 0.59879252  0.25338465  1.05790719  1.63877125 
 0.59879292  0.25360441  1.05790635  1.63889499 
 0.59879292  0.25368775  1.05790676  1.63894174 
 0.59879177  0.25371082  1.05790908  1.63895240 
 0.59879053  0.25425059  1.05791387  1.63925264 
 0.59878451  0.25366243  1.05793086  1.63891301 
 0.59878450  0.25346604  1.05793656  1.63880462 
 0.59877630  0.25388046  1.05795322  1.63902050 
 0.59875487  0.25259375  1.05801951  1.63826457 
 0.59875487  0.25199926  1.05801895  1.63793168 
 0.59875487  0.25090849  1.05802033  1.63732154 
 0.59875529  0.24951454  1.05802302  1.63654311 
 0.59875529  0.24830149  1.05802298  1.63586415 
 0.59875773  0.24627976  1.05802446  1.63473904 
 0.59875773  0.24491970  1.05802286  1.63397739 
 0.59876210  0.24244445  1.05802410  1.63260324 
 0.59876210  0.24085875  1.05802083  1.63171488 
 0.59876974  0.23779049  1.05802173  1.63001687 
 0.59876974  0.23605214  1.05801315  1.62904176 
 0.59878698  0.23236710  1.05800075  1.62701932 
 0.59878699  0.23097353  1.05796872  1.62623155 
 0.59885312  0.22654809  1.05784454  1.62389043 
 0.59885314  0.22610351  1.05774193  1.62361719 
 0.59916482  0.22028101  1.05696085  1.62095730 
 0.59919127  0.22034741  1.05675017  1.62101147 
 0.60006517  0.21410825  1.05433057  1.61916568 
 0.60010939  0.21394616  1.05408964  1.61913179 
 0.60117307  0.20811318  1.05109277  1.61789398 
 0.60117308  0.20754658  1.05102338  1.61756587 
 0.60167985  0.20232660  1.04961874  1.61565117 
 0.60167990  0.20143329  1.04957066  1.61514905 
 0.60184739  0.19675060  1.04913575  1.61289878 
 0.60184738  0.19571806  1.04910430  1.61232405 
 0.60189568  0.19168290  1.04899795  1.61020283 
 0.60189568  0.19046451  1.04898296  1.60952946 
 0.60190950  0.18726297  1.04895963  1.60779800 
 0.60190950  0.18598113  1.04895607  1.60709209 
 0.60191103  0.18405338  1.04895322  1.60603481 
 0.60191019  0.18308472  1.04895235  1.60549963 
 0.60190945  0.18151168  1.04895219  1.60463233 
 0.60190885  0.18023770  1.04895254  1.60393003 
 0.60190807  0.17916196  1.04895204  1.60333615 
 0.60190747  0.17840829  1.04895158  1.60291995 
 0.60190721  0.17766697  1.04895151  1.60251145 
 0.60190681  0.17704312  1.04895121  1.60216717 
 0.60190640  0.17655142  1.04895073  1.60189555 
 0.60190610  0.17627127  1.04895043  1.60174061 
 0.60190588  0.17597796  1.04895022  1.60157868 
 0.60190576  0.17576738  1.04895014  1.60146251 
 0.60190567  0.17557840  1.04895004  1.60135831 
 0.60190568  0.17544608  1.04895008  1.60128552 
 0.60190566  0.17532476  1.04895009  1.60121875 
 0.60190578  0.17520873  1.04895029  1.60115525 
 0.60190578  0.17512036  1.04895030  1.60110664 
 0.60190616  0.17503692  1.04895087  1.60106178 
 0.60190616  0.17498290  1.04895088  1.60103206 
 0.60190741  0.17495595  1.04895269  1.60102069 
