Date & Time: 2018-11-19 22:46:57.116936
Euler test case, time = 3.40
dx = 0.01
dt = 1e-05
nSteps = 1000000
[Pressure]   [Density]    [Velocity]    [Internal Energy]
 0.59793733  0.25318529  1.06040563  1.63719171 
 0.59794341  0.25318865  1.06038781  1.63720400 
 0.59806355  0.25325459  1.06003604  1.63744699 
 0.59806356  0.25325457  1.06003608  1.63744700 
 0.59808136  0.25326437  1.05998389  1.63748301 
 0.59819888  0.25332888  1.05963994  1.63772070 
 0.59819890  0.25332889  1.05963988  1.63772074 
 0.59826852  0.25336709  1.05943616  1.63786155 
 0.59827131  0.25336863  1.05942800  1.63786718 
 0.59835764  0.25341597  1.05917543  1.63804178 
 0.59835764  0.25341598  1.05917541  1.63804179 
 0.59842218  0.25345130  1.05898664  1.63817227 
 0.59842322  0.25345185  1.05898360  1.63817435 
 0.59848947  0.25348821  1.05878982  1.63830837 
 0.59848948  0.25348822  1.05878980  1.63830838 
 0.59854354  0.25351793  1.05863173  1.63841776 
 0.59854400  0.25351827  1.05863038  1.63841874 
 0.59859407  0.25354540  1.05848399  1.63851982 
 0.59859407  0.25354543  1.05848397  1.63851985 
 0.59863294  0.25356615  1.05837036  1.63859813 
 0.59863294  0.25356594  1.05837035  1.63859801 
 0.59866530  0.25358396  1.05827577  1.63866362 
 0.59866530  0.25358382  1.05827577  1.63866354 
 0.59869446  0.25360111  1.05819054  1.63872326 
 0.59869471  0.25360185  1.05818981  1.63872410 
 0.59872367  0.25361666  1.05810517  1.63878209 
 0.59872368  0.25361710  1.05810516  1.63878233 
 0.59874526  0.25362499  1.05804209  1.63882379 
 0.59874527  0.25362405  1.05804208  1.63882327 
 0.59876095  0.25363171  1.05799627  1.63885447 
 0.59876095  0.25362988  1.05799626  1.63885345 
 0.59877365  0.25364547  1.05795916  1.63888398 
 0.59877365  0.25364720  1.05795915  1.63888495 
 0.59878333  0.25365632  1.05793091  1.63890666 
 0.59878333  0.25365968  1.05793090  1.63890854 
 0.59878834  0.25364818  1.05791629  1.63891070 
 0.59878834  0.25364517  1.05791630  1.63890902 
 0.59878913  0.25363797  1.05791399  1.63890636 
 0.59878914  0.25363597  1.05791401  1.63890525 
 0.59878904  0.25363280  1.05791430  1.63890330 
 0.59878737  0.25363847  1.05791921  1.63890362 
 0.59878689  0.25363418  1.05792060  1.63890041 
 0.59877867  0.25365269  1.05794465  1.63889668 
 0.59877795  0.25365666  1.05794675  1.63889766 
 0.59876320  0.25365927  1.05798989  1.63887383 
 0.59876320  0.25366561  1.05798990  1.63887737 
 0.59875856  0.25363653  1.05800351  1.63885313 
 0.59875856  0.25362690  1.05800352  1.63884774 
 0.59875861  0.25361824  1.05800340  1.63884300 
 0.59875879  0.25360335  1.05800287  1.63883497 
 0.59876104  0.25359515  1.05799634  1.63883424 
 0.59876168  0.25358424  1.05799443  1.63882925 
 0.59877312  0.25360947  1.05796105  1.63886301 
 0.59877433  0.25360122  1.05795747  1.63886046 
 0.59880675  0.25368696  1.05786281  1.63896409 
 0.59881048  0.25370136  1.05785178  1.63897850 
 0.59890743  0.25378668  1.05756872  1.63919263 
 0.59891857  0.25381426  1.05753567  1.63922702 
 0.59920373  0.25390919  1.05670347  1.63976964 
 0.59922821  0.25392598  1.05663046  1.63982064 
 0.59992224  0.25420902  1.05460740  1.64117083 
 0.59996263  0.25420838  1.05448718  1.64123922 
 0.60106808  0.25480439  1.05127127  1.64347144 
 0.60106821  0.25478388  1.05127022  1.64346017 
 0.60164242  0.25520803  1.04960245  1.64468296 
 0.60164253  0.25521522  1.04960199  1.64468707 
 0.60183542  0.25545873  1.04904225  1.64515338 
 0.60183545  0.25549118  1.04904193  1.64517124 
 0.60190053  0.25557127  1.04885345  1.64532747 
 0.60190053  0.25564718  1.04885261  1.64536901 
 0.60192472  0.25532429  1.04878351  1.64523338 
 0.60192472  0.25536880  1.04878098  1.64525718 
 0.60193555  0.25456146  1.04875253  1.64483265 
 0.60193556  0.25455433  1.04874702  1.64482726 
 0.60194399  0.25276847  1.04872798  1.64386120 
 0.60194399  0.25212568  1.04872893  1.64350797 
 0.60194247  0.25115505  1.04873300  1.64297147 
 0.60194220  0.24951914  1.04873817  1.64207254 
 0.60194220  0.24812805  1.04874093  1.64130826 
 0.60194290  0.24621451  1.04874561  1.64025891 
 0.60194290  0.24445143  1.04874909  1.63929022 
 0.60194402  0.24214132  1.04875561  1.63802425 
 0.60194386  0.24017314  1.04876188  1.63694305 
 0.60194377  0.23821922  1.04876809  1.63586982 
 0.60194158  0.23581280  1.04877955  1.63454374 
 0.60194056  0.23312507  1.04879180  1.63306602 
 0.60194005  0.23046881  1.04880219  1.63160636 
 0.60193997  0.22772906  1.04881517  1.63010243 
 0.60193997  0.22531761  1.04882769  1.62877907 
 0.60194067  0.22249409  1.04884302  1.62723140 
 0.60194067  0.21999613  1.04885437  1.62586005 
 0.60194179  0.21716701  1.04886721  1.62430962 
 0.60194179  0.21468115  1.04887712  1.62294447 
 0.60194291  0.21180607  1.04889008  1.62136867 
 0.60194291  0.20932244  1.04889980  1.62000459 
 0.60194405  0.20668693  1.04891022  1.61855990 
 0.60194259  0.20383144  1.04892503  1.61698860 
 0.60194255  0.20078962  1.04893770  1.61531779 
 0.60194255  0.19809137  1.04894786  1.61383550 
 0.60194254  0.19684875  1.04895004  1.61315232 
