Date & Time: 2018-11-19 23:05:29.539971
Euler test case, time = 3.80
dx = 0.01
dt = 1e-05
nSteps = 1000000
[Pressure]   [Density]    [Velocity]    [Internal Energy]
 0.59807777  0.25326279  1.05999402  1.63747585 
 0.59808330  0.25326584  1.05997781  1.63748705 
 0.59819263  0.25332588  1.05965782  1.63770817 
 0.59819263  0.25332587  1.05965784  1.63770819 
 0.59820892  0.25333483  1.05961012  1.63774113 
 0.59831546  0.25339334  1.05929840  1.63795663 
 0.59831547  0.25339335  1.05929836  1.63795665 
 0.59837777  0.25342754  1.05911611  1.63808267 
 0.59838019  0.25342888  1.05910901  1.63808757 
 0.59845550  0.25347021  1.05888872  1.63823991 
 0.59845552  0.25347022  1.05888866  1.63823994 
 0.59851091  0.25350061  1.05872669  1.63835197 
 0.59851183  0.25350111  1.05872399  1.63835382 
 0.59856774  0.25353179  1.05856051  1.63846692 
 0.59856774  0.25353180  1.05856050  1.63846692 
 0.59861166  0.25355586  1.05843210  1.63855574 
 0.59861171  0.25355591  1.05843196  1.63855585 
 0.59864795  0.25357566  1.05832602  1.63862908 
 0.59864796  0.25357563  1.05832599  1.63862908 
 0.59867802  0.25359208  1.05823811  1.63868987 
 0.59867830  0.25359219  1.05823730  1.63869040 
 0.59870891  0.25360915  1.05814783  1.63875242 
 0.59870892  0.25360922  1.05814781  1.63875247 
 0.59873383  0.25362282  1.05807500  1.63880283 
 0.59873384  0.25362294  1.05807499  1.63880291 
 0.59875235  0.25363239  1.05802090  1.63883996 
 0.59875235  0.25363229  1.05802090  1.63883990 
 0.59876696  0.25363978  1.05797821  1.63886917 
 0.59876696  0.25363940  1.05797821  1.63886896 
 0.59877877  0.25364724  1.05794371  1.63889361 
 0.59877877  0.25364755  1.05794371  1.63889379 
 0.59878613  0.25365206  1.05792221  1.63890895 
 0.59878613  0.25365244  1.05792221  1.63890917 
 0.59878818  0.25365155  1.05791626  1.63891218 
 0.59878818  0.25365086  1.05791628  1.63891179 
 0.59878813  0.25365028  1.05791641  1.63891139 
 0.59878785  0.25364970  1.05791724  1.63891060 
 0.59878743  0.25364756  1.05791849  1.63890867 
 0.59878344  0.25364712  1.05793016  1.63890160 
 0.59878298  0.25364637  1.05793151  1.63890038 
 0.59877160  0.25364512  1.05796480  1.63888016 
 0.59877122  0.25364670  1.05796592  1.63888039 
 0.59876097  0.25363878  1.05799591  1.63885838 
 0.59876096  0.25363865  1.05799591  1.63885830 
 0.59875989  0.25363235  1.05799906  1.63885294 
 0.59875989  0.25363035  1.05799907  1.63885183 
 0.59876021  0.25362899  1.05799818  1.63885161 
 0.59876096  0.25362542  1.05799598  1.63885090 
 0.59876758  0.25362812  1.05797666  1.63886377 
 0.59876866  0.25362612  1.05797348  1.63886451 
 0.59879308  0.25364971  1.05790216  1.63891961 
 0.59879571  0.25365078  1.05789441  1.63892471 
 0.59886496  0.25370396  1.05769214  1.63907332 
 0.59887179  0.25371239  1.05767194  1.63908969 
 0.59905741  0.25381303  1.05713001  1.63946458 
 0.59907306  0.25382780  1.05708350  1.63949948 
 0.59952224  0.25404427  1.05577322  1.64039172 
 0.59954956  0.25405777  1.05569163  1.64044565 
 0.60044766  0.25451968  1.05307585  1.64224635 
 0.60047171  0.25452209  1.05300428  1.64228861 
 0.60136511  0.25502964  1.05040727  1.64410695 
 0.60136522  0.25502707  1.05040670  1.64410566 
 0.60173796  0.25527822  1.04932445  1.64488600 
 0.60173801  0.25528582  1.04932429  1.64489026 
 0.60186689  0.25538762  1.04895025  1.64516830 
 0.60186690  0.25539855  1.04895022  1.64517433 
 0.60191322  0.25540369  1.04881585  1.64525695 
 0.60191322  0.25540795  1.04881582  1.64525930 
 0.60193169  0.25535973  1.04876228  1.64526461 
 0.60193170  0.25535706  1.04876225  1.64526314 
 0.60193954  0.25528487  1.04873952  1.64523698 
 0.60193955  0.25524109  1.04873948  1.64521289 
 0.60194274  0.25536690  1.04873026  1.64528761 
 0.60194274  0.25539822  1.04873024  1.64530483 
 0.60194306  0.25546410  1.04872937  1.64534163 
 0.60194306  0.25547552  1.04872931  1.64534789 
 0.60194306  0.25546470  1.04872952  1.64534199 
 0.60194268  0.25543473  1.04873045  1.64532480 
 0.60194255  0.25518571  1.04873094  1.64518767 
 0.60194256  0.25492642  1.04873118  1.64504517 
 0.60194256  0.25462703  1.04873087  1.64488044 
 0.60194307  0.25398546  1.04873046  1.64452880 
 0.60194307  0.25365811  1.04872955  1.64434854 
 0.60194421  0.25270662  1.04872863  1.64382792 
 0.60194421  0.25217839  1.04872738  1.64353710 
 0.60194583  0.25084348  1.04872707  1.64280697 
 0.60194583  0.25002211  1.04872628  1.64235509 
 0.60194757  0.24835761  1.04872780  1.64144449 
 0.60194757  0.24720347  1.04872858  1.64081001 
 0.60194912  0.24524853  1.04873281  1.63973993 
 0.60194912  0.24377278  1.04873613  1.63892924 
 0.60195014  0.24183761  1.04874197  1.63786907 
 0.60195014  0.23981887  1.04874997  1.63676091 
 0.60195013  0.23782760  1.04875592  1.63566732 
 0.60195152  0.23545664  1.04876466  1.63436904 
 0.60195150  0.23286835  1.04877814  1.63294884 
 0.60195150  0.23071167  1.04878699  1.63176487 
 0.60195263  0.22828139  1.04879845  1.63043384 
 0.60195251  0.22646460  1.04880701  1.62943638 
 0.60195355  0.22547372  1.04881234  1.62889525 
