Date & Time: 2018-11-20 00:20:11.777651
Euler test case, time = 5.40
dx = 0.01
dt = 1e-05
nSteps = 1000000
[Pressure]   [Density]    [Velocity]    [Internal Energy]
 0.59851195  0.25350200  1.05872258  1.63835425 
 0.59851527  0.25350383  1.05871286  1.63836098 
 0.59857761  0.25353808  1.05853057  1.63848708 
 0.59857761  0.25353808  1.05853057  1.63848709 
 0.59858634  0.25354288  1.05850503  1.63850475 
 0.59864003  0.25357238  1.05834805  1.63861337 
 0.59864004  0.25357238  1.05834804  1.63861338 
 0.59866793  0.25358769  1.05826651  1.63866980 
 0.59866912  0.25358835  1.05826303  1.63867220 
 0.59870262  0.25360675  1.05816510  1.63873998 
 0.59870262  0.25360675  1.05816510  1.63873998 
 0.59872626  0.25361973  1.05809598  1.63878782 
 0.59872660  0.25361992  1.05809501  1.63878849 
 0.59874844  0.25363191  1.05803116  1.63883267 
 0.59874844  0.25363191  1.05803115  1.63883268 
 0.59876452  0.25364073  1.05798418  1.63886519 
 0.59876465  0.25364080  1.05798378  1.63886547 
 0.59877751  0.25364785  1.05794620  1.63889148 
 0.59877751  0.25364785  1.05794620  1.63889148 
 0.59878392  0.25365136  1.05792747  1.63890445 
 0.59878392  0.25365136  1.05792747  1.63890445 
 0.59878539  0.25365214  1.05792319  1.63890740 
 0.59878539  0.25365213  1.05792319  1.63890740 
 0.59878536  0.25365211  1.05792329  1.63890733 
 0.59878508  0.25365194  1.05792412  1.63890675 
 0.59878476  0.25365177  1.05792504  1.63890612 
 0.59878175  0.25365009  1.05793387  1.63890001 
 0.59878143  0.25364992  1.05793479  1.63889937 
 0.59877330  0.25364542  1.05795856  1.63888291 
 0.59877298  0.25364524  1.05795949  1.63888226 
 0.59876646  0.25364163  1.05797856  1.63886905 
 0.59876646  0.25364162  1.05797856  1.63886905 
 0.59876640  0.25364157  1.05797875  1.63886892 
 0.59876645  0.25364160  1.05797859  1.63886902 
 0.59876776  0.25364229  1.05797477  1.63887167 
 0.59876901  0.25364298  1.05797113  1.63887418 
 0.59878146  0.25364980  1.05793474  1.63889937 
 0.59878311  0.25365071  1.05792991  1.63890270 
 0.59882276  0.25367246  1.05781406  1.63898291 
 0.59882618  0.25367434  1.05780400  1.63898982 
 0.59892355  0.25372781  1.05751957  1.63918682 
 0.59893029  0.25373154  1.05749966  1.63920043 
 0.59914186  0.25384777  1.05688192  1.63962856 
 0.59915387  0.25385444  1.05684629  1.63965273 
 0.59956800  0.25408193  1.05563818  1.64049090 
 0.59958628  0.25409215  1.05558358  1.64052764 
 0.60030620  0.25448750  1.05348636  1.64198489 
 0.60032830  0.25449989  1.05342056  1.64202936 
 0.60117667  0.25496550  1.05095350  1.64374678 
 0.60117667  0.25496556  1.05095310  1.64374671 
 0.60163133  0.25521513  1.04963260  1.64466722 
 0.60163135  0.25521515  1.04963246  1.64466725 
 0.60182283  0.25532031  1.04907665  1.64505497 
 0.60182284  0.25532034  1.04907660  1.64505501 
 0.60189773  0.25536142  1.04885929  1.64520662 
 0.60189774  0.25536146  1.04885925  1.64520666 
 0.60192644  0.25537700  1.04877598  1.64526466 
 0.60192645  0.25537699  1.04877596  1.64526466 
 0.60193727  0.25538269  1.04874459  1.64528643 
 0.60193727  0.25538262  1.04874459  1.64528640 
 0.60194103  0.25538470  1.04873368  1.64529403 
 0.60194103  0.25538467  1.04873368  1.64529401 
 0.60194216  0.25538552  1.04873041  1.64529644 
 0.60194216  0.25538557  1.04873041  1.64529647 
 0.60194252  0.25538592  1.04872940  1.64529727 
 0.60194252  0.25538607  1.04872940  1.64529735 
 0.60194272  0.25538570  1.04872883  1.64529751 
 0.60194273  0.25538586  1.04872881  1.64529760 
 0.60194302  0.25538462  1.04872798  1.64529742 
 0.60194304  0.25538425  1.04872792  1.64529726 
 0.60194367  0.25538455  1.04872609  1.64529852 
 0.60194371  0.25538438  1.04872600  1.64529848 
 0.60194486  0.25538611  1.04872267  1.64530142 
 0.60194488  0.25538634  1.04872262  1.64530158 
 0.60194518  0.25538671  1.04872174  1.64530231 
 0.60194678  0.25538882  1.04871712  1.64530622 
 0.60194678  0.25538926  1.04871712  1.64530646 
 0.60194767  0.25538911  1.04871455  1.64530792 
 0.60194768  0.25538969  1.04871450  1.64530827 
 0.60194844  0.25538634  1.04871232  1.64530772 
 0.60194844  0.25538615  1.04871232  1.64530762 
 0.60194891  0.25538223  1.04871095  1.64530628 
 0.60194891  0.25538089  1.04871095  1.64530555 
 0.60194931  0.25538212  1.04870982  1.64530691 
 0.60194931  0.25538111  1.04870981  1.64530635 
 0.60194961  0.25538840  1.04870894  1.64531090 
 0.60194961  0.25538963  1.04870894  1.64531157 
 0.60194981  0.25539340  1.04870839  1.64531399 
 0.60194981  0.25539537  1.04870839  1.64531507 
 0.60194992  0.25538902  1.04870810  1.64531177 
 0.60194992  0.25538862  1.04870810  1.64531155 
 0.60194997  0.25538039  1.04870797  1.64530711 
 0.60194997  0.25537843  1.04870798  1.64530603 
 0.60194998  0.25537817  1.04870794  1.64530593 
 0.60194998  0.25537791  1.04870794  1.64530579 
 0.60194999  0.25538081  1.04870793  1.64530740 
 0.60194999  0.25538151  1.04870793  1.64530778 
 0.60194999  0.25538167  1.04870794  1.64530788 
 0.60194999  0.25538158  1.04870794  1.64530783 
 0.60195000  0.25538133  1.04870795  1.64530770 
