Date & Time: 2018-11-20 01:07:07.288656
Euler test case, time = 6.40
dx = 0.01
dt = 1e-05
nSteps = 1000000
[Pressure]   [Density]    [Velocity]    [Internal Energy]
 0.59866617  0.25358687  1.05827143  1.63866627 
 0.59866810  0.25358793  1.05826579  1.63867017 
 0.59870424  0.25360779  1.05816013  1.63874329 
 0.59870424  0.25360779  1.05816013  1.63874330 
 0.59870933  0.25361059  1.05814526  1.63875359 
 0.59874038  0.25362765  1.05805449  1.63881641 
 0.59874038  0.25362765  1.05805449  1.63881641 
 0.59875625  0.25363637  1.05800810  1.63884852 
 0.59875686  0.25363671  1.05800632  1.63884975 
 0.59877322  0.25364569  1.05795850  1.63888285 
 0.59877322  0.25364569  1.05795850  1.63888285 
 0.59878137  0.25365017  1.05793469  1.63889933 
 0.59878137  0.25365017  1.05793469  1.63889933 
 0.59878397  0.25365159  1.05792710  1.63890458 
 0.59878397  0.25365159  1.05792710  1.63890458 
 0.59878399  0.25365160  1.05792702  1.63890463 
 0.59878396  0.25365158  1.05792711  1.63890457 
 0.59878379  0.25365148  1.05792762  1.63890422 
 0.59878200  0.25365049  1.05793284  1.63890060 
 0.59878176  0.25365036  1.05793357  1.63890010 
 0.59877600  0.25364718  1.05795039  1.63888846 
 0.59877569  0.25364701  1.05795131  1.63888782 
 0.59877046  0.25364413  1.05796658  1.63887725 
 0.59877046  0.25364413  1.05796658  1.63887725 
 0.59877043  0.25364410  1.05796668  1.63887718 
 0.59877048  0.25364413  1.05796652  1.63887728 
 0.59877184  0.25364487  1.05796257  1.63888002 
 0.59877295  0.25364548  1.05795931  1.63888228 
 0.59878464  0.25365190  1.05792514  1.63890592 
 0.59878614  0.25365272  1.05792075  1.63890895 
 0.59882255  0.25367272  1.05781438  1.63898260 
 0.59882553  0.25367436  1.05780562  1.63898863 
 0.59891216  0.25372196  1.05755252  1.63916392 
 0.59891775  0.25372505  1.05753604  1.63917520 
 0.59909891  0.25382458  1.05700702  1.63954179 
 0.59910849  0.25382990  1.05697862  1.63956110 
 0.59945155  0.25401837  1.05597759  1.64025538 
 0.59946593  0.25402639  1.05593468  1.64028430 
 0.60004969  0.25434705  1.05423333  1.64146590 
 0.60006707  0.25435683  1.05418123  1.64150080 
 0.60090409  0.25481638  1.05174573  1.64319522 
 0.60090428  0.25481661  1.05174450  1.64319550 
 0.60148275  0.25513414  1.05006373  1.64436664 
 0.60148284  0.25513421  1.05006332  1.64436681 
 0.60175400  0.25528307  1.04927608  1.64491581 
 0.60175404  0.25528310  1.04927593  1.64491590 
 0.60186925  0.25534634  1.04894159  1.64514915 
 0.60186927  0.25534636  1.04894152  1.64514920 
 0.60191530  0.25537161  1.04880794  1.64524240 
 0.60191531  0.25537161  1.04880793  1.64524241 
 0.60193293  0.25538127  1.04875681  1.64527807 
 0.60193293  0.25538126  1.04875681  1.64527808 
 0.60193932  0.25538476  1.04873825  1.64529102 
 0.60193933  0.25538476  1.04873825  1.64529102 
 0.60194150  0.25538593  1.04873196  1.64529541 
 0.60194150  0.25538593  1.04873196  1.64529541 
 0.60194225  0.25538631  1.04872978  1.64529691 
 0.60194225  0.25538631  1.04872978  1.64529691 
 0.60194263  0.25538649  1.04872867  1.64529767 
 0.60194263  0.25538649  1.04872867  1.64529767 
 0.60194297  0.25538665  1.04872768  1.64529835 
 0.60194298  0.25538665  1.04872766  1.64529837 
 0.60194348  0.25538691  1.04872622  1.64529936 
 0.60194350  0.25538692  1.04872616  1.64529940 
 0.60194434  0.25538736  1.04872371  1.64530110 
 0.60194437  0.25538739  1.04872363  1.64530116 
 0.60194564  0.25538801  1.04871994  1.64530370 
 0.60194565  0.25538802  1.04871991  1.64530372 
 0.60194687  0.25538861  1.04871638  1.64530615 
 0.60194687  0.25538859  1.04871638  1.64530614 
 0.60194775  0.25538908  1.04871384  1.64530792 
 0.60194775  0.25538910  1.04871384  1.64530793 
 0.60194840  0.25538943  1.04871196  1.64530924 
 0.60194840  0.25538942  1.04871197  1.64530923 
 0.60194851  0.25538952  1.04871164  1.64530948 
 0.60194911  0.25538978  1.04870992  1.64531065 
 0.60194911  0.25538979  1.04870993  1.64531065 
 0.60194938  0.25538978  1.04870915  1.64531112 
 0.60194939  0.25538978  1.04870912  1.64531114 
 0.60194965  0.25538975  1.04870837  1.64531157 
 0.60194965  0.25538970  1.04870837  1.64531155 
 0.60194977  0.25538977  1.04870801  1.64531180 
 0.60194977  0.25538973  1.04870801  1.64531178 
 0.60194983  0.25538997  1.04870784  1.64531201 
 0.60194983  0.25539000  1.04870784  1.64531203 
 0.60194986  0.25539014  1.04870777  1.64531215 
 0.60194986  0.25539023  1.04870777  1.64531220 
 0.60194987  0.25538991  1.04870775  1.64531204 
 0.60194987  0.25538990  1.04870775  1.64531203 
 0.60194987  0.25538927  1.04870775  1.64531170 
 0.60194987  0.25538912  1.04870775  1.64531161 
 0.60194987  0.25538868  1.04870775  1.64531137 
 0.60194987  0.25538849  1.04870775  1.64531127 
 0.60194987  0.25538886  1.04870775  1.64531147 
 0.60194987  0.25538888  1.04870775  1.64531149 
 0.60194987  0.25538980  1.04870776  1.64531200 
 0.60194987  0.25539009  1.04870776  1.64531216 
 0.60194988  0.25538996  1.04870776  1.64531209 
 0.60194988  0.25538985  1.04870776  1.64531203 
 0.60194988  0.25538966  1.04870776  1.64531194 
