Date & Time: 2018-11-20 01:44:39.119241
Euler test case, time = 7.20
dx = 0.01
dt = 1e-05
nSteps = 1000000
[Pressure]   [Density]    [Velocity]    [Internal Energy]
 0.59874132  0.25362821  1.05805170  1.63881831 
 0.59874251  0.25362887  1.05804819  1.63882073 
 0.59876358  0.25364044  1.05798662  1.63886335 
 0.59876358  0.25364044  1.05798661  1.63886335 
 0.59876633  0.25364195  1.05797859  1.63886891 
 0.59877964  0.25364927  1.05793968  1.63889584 
 0.59877964  0.25364927  1.05793967  1.63889585 
 0.59878283  0.25365102  1.05793037  1.63890229 
 0.59878283  0.25365102  1.05793037  1.63890229 
 0.59878300  0.25365111  1.05792987  1.63890263 
 0.59878300  0.25365111  1.05792987  1.63890263 
 0.59878288  0.25365104  1.05793021  1.63890239 
 0.59878136  0.25365020  1.05793467  1.63889931 
 0.59878114  0.25365009  1.05793529  1.63889888 
 0.59877624  0.25364739  1.05794961  1.63888897 
 0.59877611  0.25364731  1.05795001  1.63888869 
 0.59877315  0.25364569  1.05795864  1.63888271 
 0.59877315  0.25364569  1.05795864  1.63888271 
 0.59877322  0.25364572  1.05795845  1.63888285 
 0.59877346  0.25364585  1.05795775  1.63888333 
 0.59877619  0.25364735  1.05794976  1.63888886 
 0.59877700  0.25364779  1.05794741  1.63889048 
 0.59879119  0.25365559  1.05790592  1.63891920 
 0.59879274  0.25365645  1.05790138  1.63892234 
 0.59883270  0.25367840  1.05778462  1.63900318 
 0.59883571  0.25368006  1.05777579  1.63900926 
 0.59892635  0.25372987  1.05751097  1.63919268 
 0.59893178  0.25373287  1.05749497  1.63920363 
 0.59911425  0.25383313  1.05696214  1.63957286 
 0.59912323  0.25383812  1.05693552  1.63959096 
 0.59945747  0.25402176  1.05596020  1.64026741 
 0.59947065  0.25402910  1.05592090  1.64029390 
 0.60002565  0.25433397  1.05430330  1.64141727 
 0.60004074  0.25434248  1.05425796  1.64144758 
 0.60083888  0.25478071  1.05193531  1.64306328 
 0.60084046  0.25478172  1.05193000  1.64306637 
 0.60143401  0.25510754  1.05020523  1.64426802 
 0.60143411  0.25510762  1.05020477  1.64426821 
 0.60172577  0.25526775  1.04935792  1.64485874 
 0.60172580  0.25526777  1.04935780  1.64485879 
 0.60185559  0.25533903  1.04898112  1.64512158 
 0.60185559  0.25533903  1.04898112  1.64512158 
 0.60190937  0.25536855  1.04882506  1.64523046 
 0.60190937  0.25536855  1.04882506  1.64523046 
 0.60193046  0.25538012  1.04876386  1.64527317 
 0.60193046  0.25538012  1.04876385  1.64527317 
 0.60193831  0.25538442  1.04874110  1.64528905 
 0.60193831  0.25538442  1.04874110  1.64528905 
 0.60194108  0.25538593  1.04873305  1.64529466 
 0.60194108  0.25538593  1.04873305  1.64529466 
 0.60194209  0.25538648  1.04873012  1.64529670 
 0.60194209  0.25538648  1.04873012  1.64529670 
 0.60194261  0.25538675  1.04872862  1.64529774 
 0.60194261  0.25538675  1.04872862  1.64529774 
 0.60194303  0.25538697  1.04872739  1.64529859 
 0.60194303  0.25538697  1.04872738  1.64529860 
 0.60194355  0.25538724  1.04872589  1.64529963 
 0.60194356  0.25538725  1.04872584  1.64529966 
 0.60194434  0.25538766  1.04872360  1.64530122 
 0.60194436  0.25538767  1.04872353  1.64530127 
 0.60194553  0.25538830  1.04872015  1.64530362 
 0.60194555  0.25538831  1.04872009  1.64530366 
 0.60194680  0.25538898  1.04871645  1.64530620 
 0.60194680  0.25538898  1.04871645  1.64530620 
 0.60194770  0.25538946  1.04871384  1.64530801 
 0.60194770  0.25538945  1.04871384  1.64530801 
 0.60194835  0.25538980  1.04871196  1.64530932 
 0.60194835  0.25538980  1.04871196  1.64530932 
 0.60194884  0.25539005  1.04871054  1.64531030 
 0.60194884  0.25539005  1.04871054  1.64531030 
 0.60194921  0.25539023  1.04870948  1.64531104 
 0.60194921  0.25539023  1.04870948  1.64531104 
 0.60194947  0.25539034  1.04870872  1.64531156 
 0.60194947  0.25539034  1.04870872  1.64531155 
 0.60194952  0.25539036  1.04870859  1.64531164 
 0.60194972  0.25539044  1.04870801  1.64531204 
 0.60194972  0.25539044  1.04870801  1.64531203 
 0.60194978  0.25539046  1.04870782  1.64531215 
 0.60194979  0.25539046  1.04870782  1.64531216 
 0.60194982  0.25539045  1.04870773  1.64531221 
 0.60194982  0.25539045  1.04870773  1.64531221 
 0.60194983  0.25539043  1.04870770  1.64531221 
 0.60194983  0.25539043  1.04870770  1.64531221 
 0.60194983  0.25539039  1.04870769  1.64531219 
 0.60194983  0.25539038  1.04870769  1.64531219 
 0.60194983  0.25539035  1.04870769  1.64531217 
 0.60194983  0.25539034  1.04870769  1.64531217 
 0.60194983  0.25539032  1.04870769  1.64531216 
 0.60194983  0.25539031  1.04870769  1.64531216 
 0.60194983  0.25539030  1.04870769  1.64531215 
 0.60194983  0.25539030  1.04870769  1.64531215 
 0.60194983  0.25539026  1.04870769  1.64531214 
 0.60194983  0.25539027  1.04870769  1.64531214 
 0.60194983  0.25539019  1.04870770  1.64531210 
 0.60194984  0.25539019  1.04870770  1.64531210 
 0.60194984  0.25539011  1.04870770  1.64531206 
 0.60194984  0.25539010  1.04870770  1.64531205 
 0.60194984  0.25539005  1.04870770  1.64531203 
 0.60194984  0.25539004  1.04870770  1.64531202 
 0.60194984  0.25539003  1.04870770  1.64531202 
