Date & Time: 2018-11-20 02:03:23.011113
Euler test case, time = 7.60
dx = 0.01
dt = 1e-05
nSteps = 1000000
[Pressure]   [Density]    [Velocity]    [Internal Energy]
 0.59876522  0.25364136  1.05798180  1.63886668 
 0.59876599  0.25364178  1.05797956  1.63886823 
 0.59877769  0.25364820  1.05794537  1.63889189 
 0.59877769  0.25364820  1.05794537  1.63889189 
 0.59877888  0.25364886  1.05794188  1.63889431 
 0.59878252  0.25365086  1.05793124  1.63890167 
 0.59878252  0.25365086  1.05793124  1.63890168 
 0.59878250  0.25365085  1.05793131  1.63890163 
 0.59878218  0.25365067  1.05793224  1.63890098 
 0.59878191  0.25365053  1.05793302  1.63890044 
 0.59877918  0.25364902  1.05794100  1.63889492 
 0.59877889  0.25364886  1.05794185  1.63889433 
 0.59877472  0.25364657  1.05795406  1.63888588 
 0.59877472  0.25364657  1.05795406  1.63888588 
 0.59877457  0.25364649  1.05795448  1.63888559 
 0.59877459  0.25364650  1.05795441  1.63888563 
 0.59877523  0.25364685  1.05795255  1.63888693 
 0.59877608  0.25364731  1.05795007  1.63888864 
 0.59878405  0.25365169  1.05792678  1.63890477 
 0.59878516  0.25365230  1.05792354  1.63890700 
 0.59881126  0.25366664  1.05784726  1.63895981 
 0.59881345  0.25366785  1.05784083  1.63896424 
 0.59887635  0.25370241  1.05765706  1.63909150 
 0.59888039  0.25370465  1.05764516  1.63909967 
 0.59901166  0.25377679  1.05726172  1.63936530 
 0.59901857  0.25378061  1.05724131  1.63937924 
 0.59926669  0.25391694  1.05651699  1.63988135 
 0.59927738  0.25392289  1.05648522  1.63990288 
 0.59970581  0.25415825  1.05523571  1.64076998 
 0.59972038  0.25416640  1.05519215  1.64079925 
 0.60039228  0.25453544  1.05323516  1.64215934 
 0.60040844  0.25454451  1.05318698  1.64219184 
 0.60115806  0.25495604  1.05100709  1.64370941 
 0.60115814  0.25495615  1.05100651  1.64370952 
 0.60158933  0.25519287  1.04975406  1.64458251 
 0.60158942  0.25519294  1.04975373  1.64458268 
 0.60179425  0.25530539  1.04915913  1.64499740 
 0.60179427  0.25530541  1.04915904  1.64499745 
 0.60188369  0.25535450  1.04889953  1.64517850 
 0.60188370  0.25535451  1.04889951  1.64517851 
 0.60192030  0.25537460  1.04879331  1.64525261 
 0.60192030  0.25537460  1.04879330  1.64525262 
 0.60193448  0.25538238  1.04875217  1.64528132 
 0.60193448  0.25538238  1.04875216  1.64528132 
 0.60193969  0.25538523  1.04873705  1.64529187 
 0.60193969  0.25538523  1.04873705  1.64529187 
 0.60194155  0.25538625  1.04873164  1.64529564 
 0.60194155  0.25538625  1.04873164  1.64529564 
 0.60194233  0.25538667  1.04872939  1.64529721 
 0.60194233  0.25538667  1.04872939  1.64529721 
 0.60194283  0.25538694  1.04872796  1.64529821 
 0.60194283  0.25538694  1.04872795  1.64529821 
 0.60194330  0.25538719  1.04872657  1.64529918 
 0.60194331  0.25538719  1.04872655  1.64529919 
 0.60194393  0.25538753  1.04872475  1.64530045 
 0.60194395  0.25538754  1.04872470  1.64530048 
 0.60194487  0.25538803  1.04872202  1.64530234 
 0.60194490  0.25538804  1.04872196  1.64530239 
 0.60194617  0.25538873  1.04871826  1.64530497 
 0.60194617  0.25538874  1.04871825  1.64530498 
 0.60194727  0.25538933  1.04871507  1.64530718 
 0.60194727  0.25538933  1.04871507  1.64530718 
 0.60194804  0.25538974  1.04871284  1.64530873 
 0.60194804  0.25538974  1.04871284  1.64530873 
 0.60194860  0.25539004  1.04871119  1.64530987 
 0.60194860  0.25539004  1.04871119  1.64530987 
 0.60194903  0.25539026  1.04870996  1.64531073 
 0.60194903  0.25539026  1.04870996  1.64531073 
 0.60194934  0.25539041  1.04870905  1.64531135 
 0.60194934  0.25539041  1.04870905  1.64531135 
 0.60194956  0.25539052  1.04870843  1.64531178 
 0.60194956  0.25539052  1.04870843  1.64531178 
 0.60194969  0.25539057  1.04870805  1.64531204 
 0.60194969  0.25539056  1.04870805  1.64531204 
 0.60194971  0.25539057  1.04870799  1.64531208 
 0.60194979  0.25539060  1.04870775  1.64531224 
 0.60194979  0.25539060  1.04870775  1.64531224 
 0.60194981  0.25539060  1.04870770  1.64531227 
 0.60194981  0.25539060  1.04870770  1.64531227 
 0.60194982  0.25539058  1.04870768  1.64531227 
 0.60194982  0.25539058  1.04870768  1.64531227 
 0.60194982  0.25539055  1.04870768  1.64531226 
 0.60194982  0.25539055  1.04870768  1.64531226 
 0.60194982  0.25539053  1.04870768  1.64531225 
 0.60194982  0.25539052  1.04870768  1.64531225 
 0.60194982  0.25539052  1.04870768  1.64531225 
 0.60194982  0.25539051  1.04870768  1.64531224 
 0.60194982  0.25539049  1.04870768  1.64531223 
 0.60194982  0.25539048  1.04870768  1.64531222 
 0.60194982  0.25539047  1.04870768  1.64531222 
 0.60194982  0.25539045  1.04870768  1.64531221 
 0.60194982  0.25539044  1.04870768  1.64531220 
 0.60194982  0.25539042  1.04870768  1.64531219 
 0.60194982  0.25539040  1.04870768  1.64531218 
 0.60194982  0.25539039  1.04870768  1.64531217 
 0.60194982  0.25539036  1.04870768  1.64531216 
 0.60194982  0.25539035  1.04870768  1.64531216 
 0.60194982  0.25539032  1.04870768  1.64531214 
 0.60194982  0.25539031  1.04870768  1.64531213 
 0.60194983  0.25539030  1.04870768  1.64531213 
