Date & Time: 2018-11-20 03:27:46.339446
Euler test case, time = 9.40
dx = 0.01
dt = 1e-05
nSteps = 1000000
[Pressure]   [Density]    [Velocity]    [Internal Energy]
 0.59877889  0.25364887  1.05794186  1.63889432 
 0.59877897  0.25364891  1.05794161  1.63889449 
 0.59878113  0.25365010  1.05793529  1.63889886 
 0.59878154  0.25365033  1.05793409  1.63889969 
 0.59879037  0.25365518  1.05790831  1.63891754 
 0.59879134  0.25365571  1.05790547  1.63891951 
 0.59881628  0.25366942  1.05783255  1.63896999 
 0.59881816  0.25367046  1.05782704  1.63897379 
 0.59887475  0.25370156  1.05766171  1.63908827 
 0.59887811  0.25370341  1.05765183  1.63909507 
 0.59899155  0.25376575  1.05732045  1.63932461 
 0.59899714  0.25376884  1.05730397  1.63933589 
 0.59920514  0.25388314  1.05669665  1.63975681 
 0.59921369  0.25388789  1.05667131  1.63977402 
 0.59956592  0.25408141  1.05564370  1.64048689 
 0.59957756  0.25408791  1.05560896  1.64051028 
 0.60012448  0.25438834  1.05401522  1.64161731 
 0.60013741  0.25439562  1.05397639  1.64164327 
 0.60087982  0.25480327  1.05181616  1.64314618 
 0.60087991  0.25480343  1.05181531  1.64314626 
 0.60142140  0.25510069  1.05024181  1.64424252 
 0.60142149  0.25510077  1.05024139  1.64424268 
 0.60170471  0.25525627  1.04941903  1.64481612 
 0.60170476  0.25525631  1.04941885  1.64481621 
 0.60184041  0.25533079  1.04902512  1.64509089 
 0.60184042  0.25533080  1.04902510  1.64509090 
 0.60190090  0.25536401  1.04884959  1.64521336 
 0.60190090  0.25536401  1.04884958  1.64521336 
 0.60192628  0.25537794  1.04877594  1.64526475 
 0.60192628  0.25537794  1.04877593  1.64526476 
 0.60193638  0.25538349  1.04874664  1.64528520 
 0.60193638  0.25538349  1.04874664  1.64528520 
 0.60194026  0.25538562  1.04873537  1.64529306 
 0.60194026  0.25538562  1.04873537  1.64529306 
 0.60194183  0.25538648  1.04873083  1.64529624 
 0.60194183  0.25538648  1.04873083  1.64529624 
 0.60194265  0.25538693  1.04872845  1.64529789 
 0.60194265  0.25538693  1.04872845  1.64529789 
 0.60194328  0.25538728  1.04872661  1.64529917 
 0.60194328  0.25538728  1.04872661  1.64529918 
 0.60194392  0.25538763  1.04872473  1.64530048 
 0.60194393  0.25538764  1.04872471  1.64530049 
 0.60194470  0.25538806  1.04872247  1.64530206 
 0.60194472  0.25538807  1.04872243  1.64530209 
 0.60194573  0.25538862  1.04871948  1.64530414 
 0.60194575  0.25538863  1.04871943  1.64530418 
 0.60194693  0.25538928  1.04871602  1.64530656 
 0.60194693  0.25538928  1.04871602  1.64530656 
 0.60194781  0.25538976  1.04871345  1.64530835 
 0.60194781  0.25538976  1.04871345  1.64530835 
 0.60194845  0.25539011  1.04871160  1.64530965 
 0.60194845  0.25539011  1.04871160  1.64530965 
 0.60194892  0.25539037  1.04871024  1.64531060 
 0.60194892  0.25539037  1.04871024  1.64531060 
 0.60194926  0.25539056  1.04870925  1.64531129 
 0.60194926  0.25539056  1.04870925  1.64531129 
 0.60194950  0.25539068  1.04870858  1.64531176 
 0.60194950  0.25539068  1.04870858  1.64531176 
 0.60194964  0.25539076  1.04870815  1.64531205 
 0.60194964  0.25539076  1.04870815  1.64531205 
 0.60194973  0.25539081  1.04870790  1.64531223 
 0.60194973  0.25539081  1.04870790  1.64531223 
 0.60194977  0.25539083  1.04870777  1.64531232 
 0.60194977  0.25539083  1.04870777  1.64531232 
 0.60194980  0.25539084  1.04870770  1.64531236 
 0.60194980  0.25539084  1.04870770  1.64531236 
 0.60194980  0.25539084  1.04870767  1.64531238 
 0.60194980  0.25539084  1.04870767  1.64531238 
 0.60194981  0.25539084  1.04870766  1.64531238 
 0.60194981  0.25539084  1.04870766  1.64531238 
 0.60194981  0.25539084  1.04870766  1.64531238 
 0.60194981  0.25539084  1.04870766  1.64531238 
 0.60194981  0.25539084  1.04870766  1.64531238 
 0.60194981  0.25539084  1.04870766  1.64531238 
 0.60194981  0.25539083  1.04870766  1.64531238 
 0.60194981  0.25539083  1.04870766  1.64531238 
 0.60194981  0.25539083  1.04870766  1.64531238 
 0.60194981  0.25539083  1.04870766  1.64531238 
 0.60194981  0.25539083  1.04870766  1.64531238 
 0.60194981  0.25539083  1.04870766  1.64531238 
 0.60194981  0.25539082  1.04870766  1.64531238 
 0.60194981  0.25539082  1.04870766  1.64531238 
 0.60194981  0.25539082  1.04870766  1.64531238 
 0.60194981  0.25539082  1.04870766  1.64531238 
 0.60194981  0.25539081  1.04870766  1.64531238 
 0.60194981  0.25539081  1.04870766  1.64531238 
 0.60194981  0.25539081  1.04870766  1.64531237 
 0.60194981  0.25539081  1.04870766  1.64531237 
 0.60194981  0.25539080  1.04870766  1.64531237 
 0.60194981  0.25539080  1.04870766  1.64531237 
 0.60194981  0.25539080  1.04870766  1.64531237 
 0.60194981  0.25539079  1.04870766  1.64531236 
 0.60194981  0.25539079  1.04870766  1.64531236 
 0.60194981  0.25539079  1.04870766  1.64531236 
 0.60194981  0.25539078  1.04870766  1.64531235 
 0.60194981  0.25539078  1.04870766  1.64531235 
 0.60194981  0.25539078  1.04870766  1.64531235 
 0.60194981  0.25539077  1.04870766  1.64531235 
 0.60194981  0.25539077  1.04870766  1.64531235 
 0.60194981  0.25539077  1.04870766  1.64531234 
