Date & Time: 2018-11-20 03:37:08.640525
Euler test case, time = 9.60
dx = 0.01
dt = 1e-05
nSteps = 1000000
[Pressure]   [Density]    [Velocity]    [Internal Energy]
 0.59878087  0.25364996  1.05793604  1.63889834 
 0.59878114  0.25365011  1.05793526  1.63889888 
 0.59878795  0.25365385  1.05791535  1.63891266 
 0.59878875  0.25365429  1.05791301  1.63891428 
 0.59880884  0.25366533  1.05785431  1.63895492 
 0.59881045  0.25366622  1.05784958  1.63895818 
 0.59885766  0.25369217  1.05771164  1.63905370 
 0.59886058  0.25369377  1.05770307  1.63905959 
 0.59895704  0.25374679  1.05742126  1.63925478 
 0.59896196  0.25374951  1.05740677  1.63926471 
 0.59914164  0.25384825  1.05688207  1.63962831 
 0.59914930  0.25385249  1.05685939  1.63964375 
 0.59945843  0.25402234  1.05595732  1.64026936 
 0.59946923  0.25402836  1.05592513  1.64029109 
 0.59995994  0.25429792  1.05449472  1.64128429 
 0.59997296  0.25430524  1.05445567  1.64131045 
 0.60067716  0.25469196  1.05240580  1.64273595 
 0.60068411  0.25469592  1.05238479  1.64274990 
 0.60130521  0.25503688  1.05057940  1.64400730 
 0.60130527  0.25503696  1.05057899  1.64400740 
 0.60164490  0.25522343  1.04959268  1.64469503 
 0.60164493  0.25522346  1.04959254  1.64469508 
 0.60181202  0.25531520  1.04910752  1.64503340 
 0.60181202  0.25531521  1.04910750  1.64503340 
 0.60188830  0.25535709  1.04888616  1.64518784 
 0.60188830  0.25535709  1.04888614  1.64518785 
 0.60192100  0.25537505  1.04879124  1.64525407 
 0.60192101  0.25537505  1.04879124  1.64525407 
 0.60193427  0.25538233  1.04875273  1.64528094 
 0.60193427  0.25538233  1.04875273  1.64528094 
 0.60193944  0.25538517  1.04873775  1.64529139 
 0.60193944  0.25538517  1.04873775  1.64529139 
 0.60194148  0.25538629  1.04873183  1.64529552 
 0.60194148  0.25538629  1.04873183  1.64529552 
 0.60194245  0.25538682  1.04872901  1.64529749 
 0.60194245  0.25538682  1.04872901  1.64529749 
 0.60194312  0.25538719  1.04872705  1.64529886 
 0.60194313  0.25538719  1.04872705  1.64529886 
 0.60194377  0.25538755  1.04872518  1.64530016 
 0.60194377  0.25538755  1.04872517  1.64530017 
 0.60194451  0.25538795  1.04872305  1.64530166 
 0.60194452  0.25538796  1.04872301  1.64530168 
 0.60194545  0.25538847  1.04872031  1.64530357 
 0.60194547  0.25538848  1.04872026  1.64530360 
 0.60194664  0.25538912  1.04871685  1.64530598 
 0.60194664  0.25538912  1.04871685  1.64530598 
 0.60194762  0.25538966  1.04871403  1.64530795 
 0.60194762  0.25538966  1.04871403  1.64530795 
 0.60194831  0.25539004  1.04871202  1.64530936 
 0.60194831  0.25539004  1.04871202  1.64530936 
 0.60194882  0.25539032  1.04871054  1.64531039 
 0.60194882  0.25539032  1.04871054  1.64531039 
 0.60194919  0.25539052  1.04870947  1.64531114 
 0.60194919  0.25539052  1.04870947  1.64531114 
 0.60194944  0.25539066  1.04870872  1.64531165 
 0.60194944  0.25539066  1.04870872  1.64531165 
 0.60194961  0.25539075  1.04870824  1.64531199 
 0.60194961  0.25539075  1.04870824  1.64531199 
 0.60194971  0.25539080  1.04870795  1.64531219 
 0.60194971  0.25539080  1.04870795  1.64531219 
 0.60194976  0.25539083  1.04870779  1.64531230 
 0.60194976  0.25539083  1.04870779  1.64531230 
 0.60194979  0.25539084  1.04870771  1.64531235 
 0.60194979  0.25539084  1.04870771  1.64531235 
 0.60194980  0.25539085  1.04870768  1.64531238 
 0.60194980  0.25539085  1.04870768  1.64531238 
 0.60194981  0.25539085  1.04870766  1.64531239 
 0.60194981  0.25539085  1.04870766  1.64531239 
 0.60194981  0.25539085  1.04870766  1.64531239 
 0.60194981  0.25539085  1.04870766  1.64531239 
 0.60194981  0.25539085  1.04870766  1.64531239 
 0.60194981  0.25539085  1.04870766  1.64531239 
 0.60194981  0.25539084  1.04870766  1.64531239 
 0.60194981  0.25539084  1.04870766  1.64531239 
 0.60194981  0.25539084  1.04870766  1.64531239 
 0.60194981  0.25539084  1.04870766  1.64531239 
 0.60194981  0.25539084  1.04870766  1.64531239 
 0.60194981  0.25539084  1.04870766  1.64531239 
 0.60194981  0.25539084  1.04870766  1.64531239 
 0.60194981  0.25539084  1.04870766  1.64531239 
 0.60194981  0.25539083  1.04870766  1.64531239 
 0.60194981  0.25539083  1.04870766  1.64531238 
 0.60194981  0.25539083  1.04870766  1.64531238 
 0.60194981  0.25539083  1.04870766  1.64531238 
 0.60194981  0.25539083  1.04870766  1.64531238 
 0.60194981  0.25539082  1.04870766  1.64531238 
 0.60194981  0.25539082  1.04870766  1.64531237 
 0.60194981  0.25539082  1.04870766  1.64531237 
 0.60194981  0.25539082  1.04870766  1.64531237 
 0.60194981  0.25539082  1.04870766  1.64531237 
 0.60194981  0.25539081  1.04870766  1.64531237 
 0.60194981  0.25539081  1.04870766  1.64531237 
 0.60194981  0.25539081  1.04870766  1.64531237 
 0.60194981  0.25539081  1.04870766  1.64531237 
 0.60194981  0.25539080  1.04870766  1.64531236 
 0.60194981  0.25539080  1.04870766  1.64531236 
 0.60194981  0.25539079  1.04870766  1.64531236 
 0.60194981  0.25539079  1.04870766  1.64531236 
 0.60194981  0.25539079  1.04870766  1.64531236 
 0.60194981  0.25539079  1.04870766  1.64531236 
