Date & Time: 2018-11-19 20:32:55.907096
Euler test case, time = 0.50
dx = 0.01
dt = 1e-05
nSteps = 1000000
[Pressure]   [Density]    [Velocity]    [Internal Energy]
 0.58943252  0.24867442  1.08505763  1.61996972 
 0.58948271  0.24869482  1.08491415  1.62006849 
 0.58969844  0.24895309  1.08426276  1.62058393 
 0.59192200  0.24983636  1.07763846  1.62487306 
 0.59236471  0.24938065  1.07631163  1.62535888 
 0.59595571  0.25302884  1.06559734  1.63354611 
 0.59595621  0.25341339  1.06551587  1.63374369 
 0.59651993  0.25519003  1.06382830  1.63570300 
 0.59652349  0.25651591  1.06370243  1.63642784 
 0.59684512  0.25162233  1.06284093  1.63423296 
 0.59684520  0.25139430  1.06266873  1.63405836 
 0.59717537  0.24088023  1.06183681  1.62873433 
 0.59721804  0.23433570  1.06180275  1.62514308 
 0.59721803  0.23019994  1.06169031  1.62278418 
 0.59733209  0.22007087  1.06156374  1.61733110 
 0.59733208  0.21605085  1.06148719  1.61504841 
 0.59742960  0.20603376  1.06128787  1.60960520 
 0.59747749  0.19811186  1.06130192  1.60526654 
 0.59747752  0.19536275  1.06122048  1.60370149 
 0.59758824  0.18782536  1.06102287  1.59969464 
 0.59758827  0.18592805  1.06098678  1.59861963 
 0.59767272  0.18097926  1.06079303  1.59600813 
 0.59767286  0.18024701  1.06077646  1.59559333 
 0.59775196  0.17743199  1.06055390  1.59416539 
 0.59775198  0.17707740  1.06054710  1.59396474 
 0.59782160  0.17590036  1.06034875  1.59343986 
 0.59783394  0.17569076  1.06033094  1.59334956 
 0.59789038  0.17525488  1.06017356  1.59321638 
 0.59791581  0.17511965  1.06011362  1.59319283 
 0.59794843  0.17494282  1.05998378  1.59315093 
 0.59796795  0.17484574  1.05988469  1.59312685 
 0.59798238  0.17474839  1.05976110  1.59308535 
 0.59799302  0.17467398  1.05964885  1.59304937 
 0.59799505  0.17461272  1.05954503  1.59300085 
 0.59797284  0.17454129  1.05937177  1.59287320 
 0.59791548  0.17447091  1.05917087  1.59265318 
 0.59799749  0.17441296  1.05916225  1.59282410 
 0.59806800  0.17436255  1.05915410  1.59297059 
 0.59736467  0.17425595  1.05801156  1.59094173 
 0.59700686  0.17418628  1.05738682  1.58989311 
 0.59956669  0.17429565  1.06099960  1.59702078 
 0.60011811  0.17428924  1.06170838  1.59852683 
 0.58582252  0.17331619  1.04068738  1.55840963 
 0.58640850  0.17331511  1.04154783  1.56002925 
 0.64295589  0.17683955  1.12228960  1.71875742 
 0.61422418  0.17479648  1.08178385  1.63783880 
 0.31846838  0.15238181  0.59484495  0.82313037 
 0.16522808  0.13743253  0.23700698  0.41693015 
 0.11256002  0.12870504  0.05801519  0.28161664 
 0.10199977  0.12573563  0.00986255  0.25500554 
 0.10029367  0.12511370  0.00146710  0.25073430 
 0.10004217  0.12501645  0.00021024  0.25010543 
 0.10000596  0.12500233  0.00003003  0.25001491 
 0.10000086  0.12500033  0.00000421  0.25000214 
 0.10000012  0.12500005  0.00000061  0.25000029 
 0.10000002  0.12500001  0.00000008  0.25000004 
 0.10000000  0.12500000  0.00000001  0.25000001 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
