Date & Time: 2018-11-19 20:41:57.090456
Euler test case, time = 0.70
dx = 0.01
dt = 1e-05
nSteps = 1000000
[Pressure]   [Density]    [Velocity]    [Internal Energy]
 0.59041095  0.24905886  1.08232970  1.62190584 
 0.59053601  0.24911920  1.08197930  1.62215937 
 0.59107766  0.24951044  1.08030908  1.62329195 
 0.59490361  0.25169639  1.06897565  1.63106689 
 0.59490371  0.25177189  1.06896860  1.63110838 
 0.59650649  0.25229403  1.06423209  1.63413907 
 0.59650656  0.25216745  1.06422508  1.63406568 
 0.59683860  0.25231259  1.06323095  1.63471115 
 0.59684503  0.25182187  1.06319016  1.63443893 
 0.59719607  0.25460404  1.06215152  1.63660797 
 0.59719612  0.25549514  1.06213318  1.63710578 
 0.59738106  0.25460550  1.06158623  1.63691844 
 0.59738108  0.25466854  1.06153338  1.63693972 
 0.59747264  0.25088601  1.06131017  1.63497799 
 0.59747264  0.25018561  1.06121498  1.63455828 
 0.59759311  0.24358470  1.06097918  1.63108161 
 0.59759310  0.24152855  1.06087694  1.62989809 
 0.59770356  0.23316900  1.06072399  1.62543224 
 0.59770355  0.22996107  1.06063843  1.62360667 
 0.59779958  0.22098395  1.06054185  1.61877469 
 0.59779961  0.21734668  1.06047252  1.61671327 
 0.59788247  0.20874222  1.06038788  1.61206339 
 0.59788249  0.20537704  1.06032320  1.61015742 
 0.59795491  0.19777421  1.06022275  1.60604353 
 0.59795491  0.19511982  1.06016300  1.60453931 
 0.59801957  0.18880428  1.06003510  1.60112619 
 0.59801957  0.18705990  1.05998354  1.60013591 
 0.59808225  0.18207516  1.05982166  1.59746104 
 0.59808225  0.18106940  1.05979482  1.59689104 
 0.59813609  0.17793311  1.05962426  1.59523219 
 0.59813734  0.17743943  1.05961401  1.59495625 
 0.59818478  0.17602448  1.05943490  1.59424709 
 0.59818479  0.17587295  1.05942689  1.59416057 
 0.59822464  0.17529095  1.05927326  1.59390508 
 0.59822465  0.17521906  1.05926209  1.59386269 
 0.59826588  0.17494771  1.05911288  1.59378587 
 0.59826588  0.17492270  1.05910650  1.59377068 
 0.59830439  0.17473692  1.05897303  1.59373805 
 0.59830439  0.17472272  1.05896799  1.59372916 
 0.59834170  0.17458886  1.05884579  1.59372479 
 0.59834170  0.17458080  1.05884372  1.59371989 
 0.59837639  0.17446037  1.05873204  1.59371846 
 0.59837680  0.17445292  1.05872813  1.59371460 
 0.59840591  0.17435125  1.05863338  1.59371291 
 0.59840591  0.17434092  1.05862693  1.59370593 
 0.59843360  0.17425423  1.05854234  1.59371098 
 0.59843459  0.17424141  1.05853740  1.59370533 
 0.59846043  0.17416778  1.05846954  1.59371618 
 0.59846653  0.17414720  1.05845645  1.59371750 
 0.59848478  0.17409494  1.05840986  1.59372527 
 0.59849570  0.17406438  1.05838330  1.59373056 
 0.59850551  0.17403315  1.05835444  1.59373227 
 0.59851017  0.17400689  1.05832348  1.59372351 
 0.59847999  0.17397343  1.05823838  1.59361366 
 0.59846368  0.17394646  1.05817877  1.59354679 
 0.59863544  0.17392917  1.05839450  1.59400625 
 0.59867772  0.17391194  1.05842490  1.59410789 
 0.59784070  0.17383587  1.05717954  1.59174373 
 0.59785630  0.17382137  1.05717486  1.59177375 
 0.60137139  0.17402786  1.06225380  1.60161352 
 0.59958285  0.17390025  1.05962984  1.59658608 
 0.58552520  0.17298666  1.03906159  1.55719545 
 0.59878513  0.17379197  1.05816195  1.59426084 
 0.65016953  0.17704084  1.13144524  1.73874486 
 0.57694665  0.17164969  1.02340437  1.53225585 
 0.27945303  0.14904263  0.51584321  0.71846225 
 0.14915381  0.13520501  0.18864489  0.37529028 
 0.10890989  0.12779381  0.04212053  0.27238808 
 0.10137825  0.12551604  0.00682708  0.25344856 
 0.10019952  0.12507747  0.00099614  0.25049887 
 0.10002828  0.12501104  0.00014148  0.25007070 
 0.10000399  0.12500156  0.00001990  0.25000997 
 0.10000056  0.12500022  0.00000280  0.25000140 
 0.10000008  0.12500003  0.00000039  0.25000020 
 0.10000001  0.12500000  0.00000006  0.25000003 
 0.10000000  0.12500000  0.00000001  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
