Date & Time: 2018-11-19 20:46:32.498633
Euler test case, time = 0.80
dx = 0.01
dt = 1e-05
nSteps = 1000000
[Pressure]   [Density]    [Velocity]    [Internal Energy]
 0.59123966  0.24950373  1.07997475  1.62360292 
 0.59140338  0.24959682  1.07950439  1.62393975 
 0.59216672  0.24994378  1.07719437  1.62542764 
 0.59568366  0.25202324  1.06679723  1.63261747 
 0.59568387  0.25206406  1.06679320  1.63264013 
 0.59667877  0.25266008  1.06384730  1.63467361 
 0.59667878  0.25278892  1.06384413  1.63474570 
 0.59699328  0.25224746  1.06289777  1.63497170 
 0.59700532  0.25183655  1.06285910  1.63475934 
 0.59731056  0.25289747  1.06194026  1.63587481 
 0.59731058  0.25293479  1.06193111  1.63589344 
 0.59745822  0.25452169  1.06148208  1.63703598 
 0.59745848  0.25509198  1.06146921  1.63735443 
 0.59755993  0.25442595  1.06116166  1.63714978 
 0.59755997  0.25476294  1.06111375  1.63732668 
 0.59766550  0.25104439  1.06082901  1.63542118 
 0.59766555  0.25040131  1.06075015  1.63503850 
 0.59776109  0.24454010  1.06054185  1.63192585 
 0.59776113  0.24271209  1.06045144  1.63087464 
 0.59785184  0.23537322  1.06030395  1.62693811 
 0.59785186  0.23255566  1.06022034  1.62533375 
 0.59793817  0.22446897  1.06011720  1.62097997 
 0.59793817  0.22116351  1.06004630  1.61910594 
 0.59801971  0.21302558  1.05996535  1.61471922 
 0.59801973  0.20980163  1.05990469  1.61289469 
 0.59809567  0.20220374  1.05982491  1.60879971 
 0.59809569  0.19949665  1.05977167  1.60726817 
 0.59816554  0.19282695  1.05967897  1.60367842 
 0.59816555  0.19087007  1.05963455  1.60257075 
 0.59822941  0.18530884  1.05952076  1.59958593 
 0.59822941  0.18412138  1.05949256  1.59891391 
 0.59828914  0.17989250  1.05934783  1.59666214 
 0.59828914  0.17927410  1.05934201  1.59631405 
 0.59833549  0.17684779  1.05919617  1.59504118 
 0.59833651  0.17658381  1.05919806  1.59489600 
 0.59837440  0.17561960  1.05905276  1.59442284 
 0.59837593  0.17552395  1.05905000  1.59437251 
 0.59840601  0.17510867  1.05892275  1.59419123 
 0.59840601  0.17506185  1.05891704  1.59416392 
 0.59843052  0.17484696  1.05880563  1.59408408 
 0.59843476  0.17482107  1.05879690  1.59407856 
 0.59845537  0.17466795  1.05868904  1.59402431 
 0.59845537  0.17464760  1.05867750  1.59401076 
 0.59847175  0.17453184  1.05859725  1.59397203 
 0.59847192  0.17451259  1.05858613  1.59395960 
 0.59849058  0.17441078  1.05849368  1.59393214 
 0.59849115  0.17440352  1.05848708  1.59392829 
 0.59850458  0.17429978  1.05841733  1.59389088 
 0.59850458  0.17428437  1.05840732  1.59388040 
 0.59851988  0.17421007  1.05834484  1.59386552 
 0.59851989  0.17420146  1.05834140  1.59386007 
 0.59853312  0.17412005  1.05828699  1.59383754 
 0.59853339  0.17411274  1.05828303  1.59383340 
 0.59854325  0.17405147  1.05823982  1.59381576 
 0.59854325  0.17404277  1.05823443  1.59380990 
 0.59855439  0.17399114  1.05819522  1.59380161 
 0.59855553  0.17398015  1.05819392  1.59379808 
 0.59856240  0.17394217  1.05816414  1.59378852 
 0.59856260  0.17392463  1.05815082  1.59377674 
 0.59856955  0.17389991  1.05813523  1.59377741 
 0.59858194  0.17388237  1.05813383  1.59379831 
 0.59859085  0.17387021  1.05813269  1.59381357 
 0.59857971  0.17385497  1.05809826  1.59377086 
 0.59853765  0.17383766  1.05802254  1.59364208 
 0.59862359  0.17383099  1.05813138  1.59387321 
 0.59877344  0.17382998  1.05833690  1.59428508 
 0.59832599  0.17379175  1.05767302  1.59302298 
 0.59779117  0.17374984  1.05688566  1.59151785 
 0.59998948  0.17388242  1.06006739  1.59767325 
 0.60170633  0.17398659  1.06255868  1.60248396 
 0.59098212  0.17329152  1.04688394  1.57241610 
 0.58550247  0.17294169  1.03900336  1.55710388 
 0.63458492  0.17598931  1.10905849  1.69469666 
 0.64504035  0.17676641  1.12564820  1.72458981 
 0.39300786  0.15780046  0.72612117  1.02411996 
 0.19028038  0.14041891  0.30604461  0.48227700 
 0.11881948  0.13007385  0.08361010  0.29750334 
 0.10306307  0.12609357  0.01501106  0.25767188 
 0.10045143  0.12517390  0.00225129  0.25112888 
 0.10006436  0.12502509  0.00032157  0.25016091 
 0.10000907  0.12500354  0.00004536  0.25002267 
 0.10000127  0.12500050  0.00000636  0.25000319 
 0.10000018  0.12500007  0.00000089  0.25000045 
 0.10000003  0.12500001  0.00000012  0.25000006 
 0.10000000  0.12500000  0.00000002  0.25000001 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
 0.10000000  0.12500000  0.00000000  0.25000000 
