Date & Time: 2018-11-19 20:55:46.935561
Euler test case, time = 1.00
dx = 0.01
dt = 1e-05
nSteps = 1000000
[Pressure]   [Density]    [Velocity]    [Internal Energy]
 0.59311127  0.25055057  1.07454997  1.62742823 
 0.59326405  0.25063171  1.07410461  1.62773712 
 0.59406634  0.25111152  1.07171307  1.62937528 
 0.59647586  0.25235937  1.06461269  1.63420174 
 0.59647601  0.25232360  1.06461118  1.63418142 
 0.59694554  0.25266575  1.06322244  1.63517584 
 0.59695431  0.25268546  1.06319728  1.63520214 
 0.59727483  0.25298628  1.06224482  1.63591738 
 0.59727486  0.25308248  1.06224458  1.63597168 
 0.59747015  0.25283525  1.06165937  1.63616328 
 0.59747019  0.25278603  1.06165863  1.63613544 
 0.59758459  0.25248446  1.06131010  1.63615809 
 0.59758675  0.25218247  1.06130156  1.63599113 
 0.59770695  0.25325345  1.06093579  1.63679649 
 0.59770698  0.25330471  1.06093113  1.63682416 
 0.59781471  0.25460388  1.06060413  1.63773633 
 0.59781497  0.25507342  1.06059513  1.63799864 
 0.59790626  0.25436452  1.06032041  1.63775404 
 0.59790626  0.25462719  1.06028837  1.63789304 
 0.59798935  0.25157628  1.06006065  1.63632511 
 0.59798935  0.25118739  1.06000350  1.63609138 
 0.59806956  0.24628459  1.05981658  1.63348869 
 0.59806955  0.24502208  1.05974629  1.63276140 
 0.59814627  0.23884245  1.05960065  1.62944628 
 0.59814627  0.23675044  1.05952963  1.62825405 
 0.59821811  0.22980234  1.05942148  1.62450734 
 0.59821811  0.22710900  1.05935800  1.62298061 
 0.59828359  0.21989840  1.05927851  1.61907978 
 0.59828361  0.21694174  1.05922489  1.61740871 
 0.59834181  0.20992906  1.05916217  1.61360630 
 0.59834182  0.20706059  1.05911668  1.61198739 
 0.59839301  0.20059731  1.05905873  1.60847803 
 0.59839301  0.19809925  1.05901893  1.60706875 
 0.59843754  0.19241352  1.05895854  1.60397945 
 0.59843753  0.19044921  1.05892481  1.60287125 
 0.59847588  0.18567901  1.05885844  1.60027961 
 0.59847588  0.18432713  1.05883214  1.59951663 
 0.59850979  0.18054656  1.05875583  1.59746758 
 0.59850980  0.17973865  1.05874195  1.59701212 
 0.59853786  0.17728091  1.05866229  1.59568984 
 0.59853786  0.17690071  1.05865719  1.59547583 
 0.59856333  0.17573207  1.05857480  1.59486929 
 0.59856357  0.17560512  1.05857130  1.59479813 
 0.59858621  0.17512150  1.05849633  1.59456986 
 0.59858621  0.17506419  1.05849301  1.59453714 
 0.59860116  0.17483356  1.05844407  1.59443627 
 0.59860116  0.17480138  1.05844103  1.59441768 
 0.59861322  0.17463060  1.05840364  1.59434524 
 0.59861396  0.17459861  1.05840057  1.59432861 
 0.59863100  0.17454452  1.05834815  1.59433123 
 0.59863787  0.17445185  1.05832976  1.59429310 
 0.59863798  0.17441898  1.05832607  1.59427429 
 0.59864428  0.17440075  1.05831317  1.59427745 
 0.59865578  0.17428067  1.05827817  1.59423252 
 0.59865579  0.17426126  1.05827843  1.59422170 
 0.59866058  0.17419929  1.05826028  1.59419564 
 0.59866279  0.17415620  1.05824451  1.59417411 
 0.59866322  0.17413134  1.05823506  1.59415953 
 0.59866360  0.17410476  1.05822183  1.59414316 
 0.59866372  0.17406930  1.05820343  1.59412023 
 0.59866372  0.17404843  1.05819398  1.59410680 
 0.59866344  0.17400808  1.05817495  1.59408000 
 0.59866340  0.17399514  1.05816855  1.59407147 
 0.59866206  0.17394943  1.05814539  1.59403828 
 0.59866204  0.17393971  1.05814487  1.59403269 
 0.59865585  0.17389461  1.05811903  1.59398722 
 0.59865441  0.17389086  1.05811715  1.59398117 
 0.59864839  0.17386158  1.05809347  1.59394536 
 0.59864648  0.17385929  1.05809074  1.59393880 
 0.59864206  0.17383761  1.05807084  1.59391195 
 0.59863875  0.17383182  1.05806443  1.59389926 
 0.59863780  0.17382280  1.05805721  1.59389051 
 0.59863443  0.17381073  1.05804667  1.59387339 
 0.59862998  0.17380333  1.05803719  1.59385638 
 0.59862743  0.17379801  1.05803125  1.59384593 
 0.59862700  0.17379361  1.05802897  1.59384199 
 0.59862670  0.17378692  1.05802654  1.59383705 
 0.59862097  0.17378104  1.05801591  1.59381747 
 0.59861749  0.17377805  1.05800902  1.59380583 
 0.59862120  0.17377514  1.05801142  1.59381392 
 0.59863011  0.17377300  1.05802172  1.59383689 
 0.59860708  0.17376936  1.05798519  1.59377055 
 0.59857260  0.17376542  1.05793276  1.59367253 
 0.59869458  0.17377162  1.05810766  1.59401310 
 0.59881231  0.17377791  1.05827703  1.59434207 
 0.59822252  0.17373900  1.05741767  1.59268789 
 0.59784950  0.17371426  1.05687429  1.59164171 
 0.60063168  0.17389046  1.06091231  1.59943910 
 0.60168135  0.17395693  1.06244497  1.60238374 
 0.58865743  0.17312015  1.04340499  1.56588101 
 0.58663289  0.17299195  1.04060120  1.56024447 
 0.64415378  0.17658160  1.12256914  1.72164511 
 0.63480067  0.17602697  1.11118594  1.69567493 
 0.33903874  0.15389515  0.63367954  0.87849513 
 0.17359572  0.13844293  0.26058253  0.43868966 
 0.11445379  0.12913388  0.06595477  0.28641534 
 0.10230490  0.12584005  0.01134817  0.25577035 
 0.10033662  0.12513014  0.00167982  0.25084173 
 0.10005081  0.12501982  0.00025397  0.25012702 
 0.10000010  0.12500004  0.00000048  0.25000024 
