Date & Time: 2018-11-20 03:55:50.731739
Euler test case, time = 10.00
dx = 0.01
dt = 1e-05
nSteps = 1000000
[Pressure]   [Density]    [Velocity]    [Internal Energy]
 0.59879765  0.25365919  1.05788694  1.63893227 
 0.59879896  0.25365991  1.05788311  1.63893492 
 0.59883168  0.25367789  1.05778749  1.63900112 
 0.59883384  0.25367908  1.05778118  1.63900548 
 0.59890286  0.25371701  1.05757951  1.63914514 
 0.59890664  0.25371910  1.05756839  1.63915278 
 0.59903964  0.25379219  1.05717994  1.63942190 
 0.59904571  0.25379555  1.05716199  1.63943415 
 0.59928152  0.25392512  1.05647362  1.63991135 
 0.59929051  0.25393012  1.05644693  1.63992945 
 0.59967787  0.25414293  1.05531710  1.64071343 
 0.59968969  0.25414954  1.05528177  1.64073718 
 0.60027540  0.25447126  1.05357550  1.64192276 
 0.60029001  0.25447946  1.05353187  1.64195214 
 0.60101224  0.25487600  1.05143099  1.64341422 
 0.60101229  0.25487611  1.05143042  1.64341425 
 0.60148695  0.25513670  1.05005134  1.64437524 
 0.60148699  0.25513674  1.05005113  1.64437529 
 0.60173402  0.25527238  1.04933389  1.64487547 
 0.60173404  0.25527239  1.04933381  1.64487550 
 0.60185243  0.25533740  1.04899021  1.64511521 
 0.60185245  0.25533741  1.04899013  1.64511526 
 0.60190548  0.25536653  1.04883624  1.64522264 
 0.60190549  0.25536654  1.04883622  1.64522266 
 0.60192791  0.25537884  1.04877118  1.64526805 
 0.60192791  0.25537884  1.04877118  1.64526805 
 0.60193692  0.25538379  1.04874504  1.64528629 
 0.60193692  0.25538379  1.04874504  1.64528629 
 0.60194045  0.25538573  1.04873479  1.64529345 
 0.60194045  0.25538573  1.04873478  1.64529345 
 0.60194195  0.25538655  1.04873046  1.64529647 
 0.60194195  0.25538655  1.04873046  1.64529648 
 0.60194278  0.25538701  1.04872804  1.64529816 
 0.60194278  0.25538701  1.04872804  1.64529817 
 0.60194345  0.25538738  1.04872609  1.64529953 
 0.60194346  0.25538738  1.04872608  1.64529953 
 0.60194415  0.25538776  1.04872407  1.64530093 
 0.60194416  0.25538776  1.04872405  1.64530095 
 0.60194497  0.25538821  1.04872169  1.64530259 
 0.60194498  0.25538822  1.04872165  1.64530262 
 0.60194602  0.25538879  1.04871864  1.64530472 
 0.60194604  0.25538879  1.04871860  1.64530475 
 0.60194715  0.25538941  1.04871536  1.64530701 
 0.60194715  0.25538941  1.04871536  1.64530701 
 0.60194798  0.25538986  1.04871296  1.64530868 
 0.60194798  0.25538986  1.04871296  1.64530868 
 0.60194858  0.25539019  1.04871122  1.64530989 
 0.60194858  0.25539019  1.04871122  1.64530989 
 0.60194901  0.25539043  1.04870996  1.64531078 
 0.60194901  0.25539043  1.04870996  1.64531078 
 0.60194932  0.25539060  1.04870906  1.64531141 
 0.60194932  0.25539060  1.04870906  1.64531141 
 0.60194953  0.25539071  1.04870846  1.64531183 
 0.60194953  0.25539071  1.04870846  1.64531183 
 0.60194966  0.25539078  1.04870808  1.64531210 
 0.60194966  0.25539078  1.04870808  1.64531210 
 0.60194974  0.25539082  1.04870786  1.64531225 
 0.60194974  0.25539082  1.04870786  1.64531225 
 0.60194978  0.25539084  1.04870775  1.64531233 
 0.60194978  0.25539084  1.04870775  1.64531233 
 0.60194980  0.25539085  1.04870769  1.64531237 
 0.60194980  0.25539085  1.04870769  1.64531237 
 0.60194980  0.25539086  1.04870767  1.64531238 
 0.60194980  0.25539086  1.04870767  1.64531238 
 0.60194981  0.25539086  1.04870766  1.64531239 
 0.60194981  0.25539086  1.04870766  1.64531239 
 0.60194981  0.25539086  1.04870766  1.64531239 
 0.60194981  0.25539086  1.04870766  1.64531239 
 0.60194981  0.25539086  1.04870766  1.64531239 
 0.60194981  0.25539086  1.04870766  1.64531239 
 0.60194981  0.25539086  1.04870766  1.64531239 
 0.60194981  0.25539086  1.04870766  1.64531239 
 0.60194981  0.25539085  1.04870766  1.64531239 
 0.60194981  0.25539085  1.04870766  1.64531239 
 0.60194981  0.25539085  1.04870766  1.64531239 
 0.60194981  0.25539085  1.04870766  1.64531239 
 0.60194981  0.25539085  1.04870766  1.64531239 
 0.60194981  0.25539085  1.04870766  1.64531239 
 0.60194981  0.25539085  1.04870766  1.64531239 
 0.60194981  0.25539085  1.04870766  1.64531239 
 0.60194981  0.25539085  1.04870766  1.64531239 
 0.60194981  0.25539085  1.04870766  1.64531239 
 0.60194981  0.25539085  1.04870766  1.64531239 
 0.60194981  0.25539084  1.04870766  1.64531239 
 0.60194981  0.25539084  1.04870766  1.64531239 
 0.60194981  0.25539084  1.04870766  1.64531239 
 0.60194981  0.25539084  1.04870766  1.64531239 
 0.60194981  0.25539084  1.04870766  1.64531239 
 0.60194981  0.25539084  1.04870766  1.64531239 
 0.60194981  0.25539084  1.04870766  1.64531238 
 0.60194981  0.25539083  1.04870766  1.64531238 
 0.60194981  0.25539083  1.04870766  1.64531238 
 0.60194981  0.25539083  1.04870766  1.64531238 
 0.60194981  0.25539083  1.04870766  1.64531238 
 0.60194981  0.25539083  1.04870766  1.64531238 
 0.60194981  0.25539082  1.04870766  1.64531238 
 0.60194981  0.25539082  1.04870766  1.64531237 
 0.60194981  0.25539082  1.04870766  1.64531237 
 0.60194981  0.25539082  1.04870766  1.64531237 
 0.60194981  0.25539082  1.04870766  1.64531237 
